Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.38,31.0,28.0,3.0,0.14,,32.7,30.0,2.8,0.13,,Matches
Jan Paul van Hecke,nl NED,DF,25-220,20,1800.0,90.0,95.2,20.0,20,90.0,20,0,,0,1.4,31.0,28.0,3.0,0.15,0.15,31.6,28.6,3.0,0.15,0.39,Matches
Lewis Dunk,eng ENG,DF,34-054,20,1755.0,88.0,92.9,19.5,19,90.0,19,1,45.0,0,1.4,31.0,27.0,4.0,0.21,0.87,31.3,27.7,3.5,0.18,0.68,Matches
Yankuba Minteh,gm GAM,FW,21-176,19,1541.0,81.0,81.5,17.1,18,83.0,8,1,45.0,0,1.32,25.0,23.0,2.0,0.12,-0.14,26.7,23.3,3.4,0.2,0.34,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-099,20,1605.0,80.0,84.9,17.8,17,88.0,14,3,38.0,1,1.3,26.0,23.0,3.0,0.17,0.17,26.6,25.5,1.1,0.06,-0.47,Matches
Yasin Ayari,se SWE,MF,22-100,19,1521.0,80.0,80.5,16.9,16,86.0,12,3,48.0,0,1.47,25.0,18.0,7.0,0.41,1.39,26.0,21.8,4.2,0.25,0.6,Matches
Georginio Rutter,fr FRA,"MF,FW",23-269,19,1337.0,70.0,70.7,14.9,16,78.0,3,3,31.0,0,1.53,21.0,14.0,7.0,0.47,1.12,22.2,17.6,4.6,0.31,0.6,Matches
Diego Gómez,py PAR,"MF,FW",22-293,19,1271.0,67.0,67.2,14.1,15,77.0,2,4,31.0,0,1.47,17.0,20.0,-3.0,-0.21,-1.08,21.1,19.0,2.1,0.15,0.05,Matches
Carlos Baleba,cm CMR,MF,22-011,16,896.0,56.0,47.4,10.0,14,62.0,1,2,16.0,0,1.44,10.0,13.0,-3.0,-0.3,-0.84,12.6,12.7,0.0,0.0,-0.26,Matches
Mats Wieffer,nl NED,DF,26-059,16,1181.0,74.0,62.5,13.1,13,84.0,9,3,29.0,0,1.31,19.0,17.0,2.0,0.15,0.03,21.5,16.4,5.1,0.39,0.69,Matches
