Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
João Gomes,br BRA,MF,24-336,20,1594.0,80.0,84.3,17.7,18,85.0,13,2,34.0,0,0.35,12.0,32.0,-20.0,-1.13,0.7,16.0,23.2,-7.1,-0.4,0.2,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-269,16,1389.0,87.0,73.5,15.4,16,87.0,13,0,,1,0.44,11.0,30.0,-19.0,-1.23,0.03,14.9,21.3,-6.4,-0.41,0.08,Matches
André,br BRA,MF,24-182,20,1425.0,71.0,75.4,15.8,15,84.0,11,5,34.0,0,0.3,9.0,30.0,-21.0,-1.33,-0.36,14.2,24.4,-10.2,-0.64,-0.84,Matches
Jørgen Strand Larsen,no NOR,FW,25-342,19,1313.0,69.0,69.5,14.6,14,83.0,7,5,31.0,0,0.37,6.0,25.0,-19.0,-1.3,-0.21,12.8,19.9,-7.1,-0.49,-0.17,Matches
Jhon Arias,co COL,"FW,MF",28-115,20,1048.0,52.0,55.4,11.6,13,73.0,2,7,15.0,1,0.35,11.0,18.0,-7.0,-0.6,1.43,11.6,13.5,-1.9,-0.16,0.61,Matches
Hugo Bueno,es ESP,"DF,MF",23-118,18,1163.0,65.0,61.5,12.9,12,85.0,8,6,25.0,0,0.39,11.0,21.0,-10.0,-0.77,1.21,12.4,16.2,-3.8,-0.29,0.36,Matches
Sam Johnstone,eng ENG,GK,32-295,12,1080.0,90.0,57.1,12.0,12,90.0,12,0,,9,0.17,6.0,24.0,-18.0,-1.5,-0.61,9.7,17.9,-8.2,-0.68,-0.58,Matches
Toti Gomes,pt POR,DF,26-363,13,949.0,73.0,50.2,10.5,12,79.0,7,1,1.0,2,0.08,4.0,25.0,-21.0,-1.99,-1.51,7.9,17.8,-9.9,-0.94,-1.01,Matches
Santiago Bueno,uy URU,DF,27-066,12,1025.0,85.0,54.2,11.4,11,90.0,11,1,35.0,8,0.5,11.0,21.0,-10.0,-0.88,0.79,11.5,14.8,-3.3,-0.29,0.32,Matches
Emmanuel Agbadou,ci CIV,DF,28-211,13,1011.0,78.0,53.5,11.2,11,85.0,10,2,38.0,2,0.15,6.0,25.0,-19.0,-1.69,-0.97,9.4,16.5,-7.1,-0.63,-0.43,Matches
