Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Ben Winterburn,eng ENG,MF,21-132,1,7.0,7.0,0.4,0.1,0,,0,1,7.0,0,0.0,0.0,2.0,-2.0,-25.71,-25.52,0.0,0.3,-0.3,-3.95,-4.0,Matches
Julian Araujo,mx MEX,DF,24-154,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Philip Billing,dk DEN,MF,29-217,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Malcom Dacosta,ec ECU,MF,17-272,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Will Dennis,eng ENG,GK,25-188,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
Romain Faivre,fr FRA,"FW,MF",27-184,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Fraser Forster,eng ENG,GK,37-303,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Remy Rees-Dottin,eng ENG,FW,19-314,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Squad Total,,,25.7,21,1890.0,90.0,100.0,21.0,231,82.0,134,98,20.0,91,1.24,34.0,40.0,-6.0,-0.29,,32.0,31.2,0.8,0.04,,
Opponent Total,,,26.7,21,1890.0,90.0,100.0,21.0,231,82.0,144,86,23.0,103,1.38,40.0,34.0,6.0,0.29,,31.2,32.0,-0.8,-0.04,,
