Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
David Raya,es ESP,GK,30-121,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,2.33,40.0,14.0,26.0,1.24,,35.8,14.8,21.0,1.0,,Matches
Martín Zubimendi,es ESP,MF,26-346,21,1769.0,84.0,93.6,19.7,20,85.0,15,1,61.0,0,2.33,35.0,13.0,22.0,1.12,-1.86,33.4,14.1,19.3,0.98,-0.33,Matches
Declan Rice,eng ENG,MF,27-000,20,1696.0,85.0,89.7,18.8,19,88.0,15,1,23.0,0,2.3,33.0,13.0,20.0,1.06,-1.72,30.2,11.5,18.7,0.99,-0.11,Matches
Jurriën Timber,nl NED,DF,24-211,20,1641.0,82.0,86.8,18.2,18,87.0,15,2,34.0,0,2.3,34.0,12.0,22.0,1.21,-0.24,29.8,10.8,19.1,1.05,0.33,Matches
Bukayo Saka,eng ENG,FW,24-131,19,1422.0,75.0,75.2,15.8,16,83.0,10,3,33.0,0,2.42,30.0,9.0,21.0,1.33,0.37,28.8,8.7,20.0,1.27,1.07,Matches
William Saliba,fr FRA,DF,24-296,17,1354.0,80.0,71.6,15.0,16,82.0,14,1,45.0,0,2.47,33.0,9.0,24.0,1.6,1.26,27.2,10.1,17.1,1.14,0.48,Matches
Viktor Gyökeres,se SWE,FW,27-224,19,1290.0,68.0,68.3,14.3,16,76.0,6,3,24.0,0,2.37,28.0,6.0,22.0,1.53,0.93,26.1,8.8,17.2,1.2,0.63,Matches
Riccardo Calafiori,it ITA,DF,23-240,16,1255.0,78.0,66.4,13.9,16,78.0,6,0,,0,2.25,24.0,7.0,17.0,1.22,-0.06,24.7,6.9,17.7,1.27,0.81,Matches
Gabriel Magalhães,br BRA,DF,28-026,15,1266.0,84.0,67.0,14.1,14,89.0,13,1,20.0,0,2.4,26.0,7.0,19.0,1.35,0.34,23.1,8.6,14.6,1.03,0.1,Matches
Leandro Trossard,be BEL,FW,31-041,17,1131.0,67.0,59.8,12.6,12,82.0,3,5,30.0,2,2.47,27.0,9.0,18.0,1.43,0.48,23.7,7.9,15.8,1.26,0.64,Matches
Eberechi Eze,eng ENG,"MF,FW",27-199,15,923.0,62.0,48.8,10.3,11,74.0,2,4,27.0,4,2.07,19.0,6.0,13.0,1.27,0.06,18.1,4.7,13.4,1.31,0.59,Matches
Martin Ødegaard,no NOR,MF,27-028,15,874.0,58.0,46.2,9.7,11,71.0,5,4,25.0,0,2.33,20.0,8.0,12.0,1.24,0.0,17.4,10.1,7.3,0.75,-0.47,Matches
Mikel Merino,es ESP,"MF,FW",29-206,19,940.0,49.0,49.7,10.4,10,77.0,5,9,19.0,2,2.37,21.0,8.0,13.0,1.24,0.01,16.9,5.9,10.9,1.05,0.09,Matches
