player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Guimarães,BRA,MF,27,34.3,1666,1580,77,68,22,13,26,3,4,2,1,0,1369,9,36
Burn,ENG,DF,33,35.0,1891,1859,31,23,0,12,3,4,0,0,0,0,1677,1,16
Isak,SWE,FW,25,29.6,660,579,75,0,6,3,15,9,3,0,0,0,493,6,24
Schär,SUI,DF,33,30.6,1863,1787,68,62,4,29,10,6,0,0,0,0,1558,8,8
Livramento,ENG,DF,22,29.6,1546,1302,239,16,1,1,45,222,1,0,0,0,1317,5,26
Joelinton,BRA,"MF,FW",28,26.6,1043,1014,26,11,7,2,16,14,0,0,0,0,863,3,23
Murphy,ENG,FW,30,24.8,938,884,46,5,5,6,113,27,14,1,0,0,644,8,48
Tonali,ITA,MF,25,27.2,1411,1363,42,24,7,7,34,9,8,5,1,1,1185,6,25
Pope,ENG,GK,33,26.0,721,483,238,66,0,0,0,0,0,0,0,0,529,0,0
Gordon,ENG,FW,24,25.5,935,813,114,24,9,4,122,33,51,34,7,0,689,8,36
Hall,ENG,DF,20,24.3,1592,1300,287,68,4,2,110,164,55,45,2,0,1300,5,27
Barnes,ENG,FW,27,17.7,566,552,12,3,4,1,44,7,2,0,0,0,443,2,17
Trippier,ENG,DF,34,14.2,1218,973,242,50,3,3,79,132,59,24,8,14,1000,3,16
Willock,ENG,"MF,FW",25,11.4,341,335,4,0,0,2,16,4,0,0,0,0,281,2,6
Dúbravka,SVK,GK,36,10.0,333,246,86,27,0,1,0,0,0,0,0,0,265,1,0
Longstaff,ENG,MF,27,8.9,349,344,4,2,2,3,5,0,1,0,0,1,295,1,12
Kelly,ENG,DF,26,3.4,181,159,22,7,0,0,1,15,0,0,0,0,146,0,5
Botman,NED,DF,25,3.2,174,168,6,6,0,1,0,0,0,0,0,0,152,0,0
Krafth,SWE,DF,30,3.5,143,128,15,4,0,0,1,11,0,0,0,0,113,0,3
Wilson,ENG,FW,33,3.2,41,35,5,0,0,0,2,0,0,0,0,0,29,1,4
Miley,ENG,MF,19,3.2,170,169,0,0,1,0,0,0,0,0,0,0,150,1,4
Almirón,PAR,FW,31,1.7,66,64,1,0,1,0,0,1,0,0,0,0,54,1,2
Osula,DEN,FW,21,1.2,18,16,2,0,0,0,1,0,0,0,0,0,11,0,0
Targett,ENG,DF,29,0.2,15,15,0,0,0,0,1,0,0,0,0,0,14,0,0
