player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Walker-Peters,ENG,DF,28,32.4,1693,1500,190,36,5,2,51,144,3,0,0,0,1493,3,33
Fernandes,POR,MF,20,30.3,1275,1111,163,59,8,10,105,10,50,36,13,0,1017,1,35
Harwood-Bellis,ENG,DF,23,30.5,2093,2011,79,51,3,9,10,25,0,0,0,0,1835,3,10
Bednarek,POL,DF,29,28.1,1687,1606,79,33,0,7,1,1,0,0,0,0,1564,2,4
Ramsdale,ENG,GK,27,28.0,1154,867,280,100,0,4,0,0,0,0,0,0,737,7,0
Downes,ENG,MF,26,21.9,1007,979,27,27,7,1,3,0,0,0,0,0,906,1,12
Aribo,NGA,"MF,DF",28,21.7,1006,992,13,4,2,1,10,4,0,0,0,0,892,1,15
Dibling,ENG,"FW,MF",19,20.1,603,568,32,4,8,2,28,3,11,8,0,0,489,3,16
Manning,IRL,"DF,MF",28,16.2,803,634,162,38,1,3,84,92,32,24,5,0,619,7,21
Ugochukwu,FRA,MF,21,17.4,680,671,9,9,2,0,6,0,0,0,0,0,577,0,11
Stephens,ENG,DF,31,14.4,876,835,40,18,0,2,1,14,0,0,0,0,805,1,4
Sugawara,JPN,"DF,MF",24,16.3,862,743,118,17,1,7,69,91,10,4,6,0,689,1,21
Sulemana,GHA,"FW,MF",23,14.1,329,326,2,0,0,2,25,2,0,0,0,0,262,1,7
Armstrong,ENG,"FW,MF",28,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12
Archer,ENG,FW,23,15.5,235,215,19,0,2,0,3,0,0,0,0,0,191,1,7
Bree,ENG,DF,27,10.9,549,508,40,9,0,0,27,27,3,2,0,0,459,1,9
Onuachu,NGA,FW,30,11.4,257,255,0,0,0,4,0,0,0,0,0,0,156,2,7
Wood-Gordon,ENG,DF,22,6.9,391,381,9,3,0,0,3,1,0,0,0,0,363,1,1
Smallbone,IRL,MF,25,7.2,332,271,59,12,0,2,34,4,24,15,6,0,257,2,7
McCarthy,ENG,GK,35,5.0,156,126,29,6,0,1,0,0,0,0,0,0,117,1,1
Lallana,ENG,MF,37,4.0,260,255,4,3,1,0,4,0,0,0,0,0,221,1,3
Brereton,CHI,FW,26,5.0,166,163,2,1,1,0,5,1,0,0,0,0,128,1,3
Fraser,SCO,"FW,DF",31,3.4,103,97,5,0,0,0,12,3,2,2,0,0,77,1,2
Welington,BRA,"DF,MF",24,3.4,118,97,21,3,0,0,11,17,1,0,0,0,92,0,7
Stewart,SCO,FW,28,3.2,71,70,1,1,0,0,0,0,0,0,0,0,50,0,2
Lumley,ENG,GK,30,3.0,151,128,22,7,0,0,0,0,0,0,0,0,106,1,0
Armel Bella Kotchap,GER,DF,23,3.7,224,219,4,4,0,0,0,0,0,0,0,0,202,1,1
Taylor,ENG,DF,31,3.0,177,146,30,7,0,0,9,21,2,1,1,0,154,1,3
Grønbaek,DEN,"FW,MF",23,1.6,18,18,0,0,0,0,1,0,0,0,0,0,13,0,1
Cornet,CIV,FW,28,0.8,22,20,2,0,0,0,3,0,2,2,0,0,17,0,0
Edozie,ENG,"DF,FW",22,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2
Robinson,ENG,"MF,FW",18,0.4,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Amo-Ameyaw,ENG,"FW,DF",18,0.3,9,8,1,0,0,0,2,0,1,0,0,0,8,0,0
Edwards,ENG,DF,22,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Alcaraz,ARG,MF,22,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0
