player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Onana,CMR,GK,29,33.0,1259,1032,222,82,1,2,0,0,0,0,0,0,920,5,0
Fernandes,POR,MF,30,31.6,2111,1868,228,95,27,19,181,18,88,43,21,5,1598,15,49
Mazraoui,MAR,DF,27,30.3,1719,1528,190,23,7,5,22,157,0,0,0,0,1475,1,34
Dalot,POR,DF,26,31.0,1659,1414,241,13,4,8,65,228,0,0,0,0,1336,4,36
Matthijs de Ligt,NED,DF,25,23.6,1380,1350,27,19,0,9,6,1,0,0,0,0,1241,3,11
Garnacho,ARG,"MF,FW",20,24.2,820,795,24,3,2,9,56,16,2,1,0,0,646,1,54
Manuel Ugarte Ribeiro,URU,MF,24,19.6,898,872,23,7,2,5,7,2,0,0,0,0,789,3,12
Højlund,DEN,FW,22,20.4,308,283,22,0,2,0,7,0,0,0,0,0,233,3,6
Martínez,ARG,DF,27,19.5,1342,1285,54,15,5,3,9,16,0,0,0,0,1200,3,7
Mainoo,ENG,MF,20,17.7,812,784,23,13,2,4,6,6,0,0,0,0,701,5,17
Diallo,CIV,"FW,MF",22,19.1,864,778,82,4,3,1,40,47,31,23,1,1,720,4,17
Maguire,ENG,DF,32,17.5,996,953,39,24,0,8,3,1,0,0,0,0,856,4,3
Casemiro,BRA,MF,33,14.8,854,830,17,15,9,8,19,2,0,0,0,0,670,7,21
Zirkzee,NED,"FW,MF",23,15.6,410,400,9,1,6,2,4,0,0,0,0,0,292,1,15
Yoro,FRA,DF,19,12.9,766,745,20,9,2,1,1,7,0,0,0,0,708,1,5
Rashford,ENG,"FW,MF",27,10.9,343,334,9,1,6,5,27,4,1,1,0,0,253,0,10
Eriksen,DEN,MF,33,11.5,733,631,101,31,8,8,83,5,61,24,19,5,579,1,6
Dorgu,DEN,DF,20,7.4,378,316,61,6,0,1,31,54,1,0,0,0,304,1,5
Mount,ENG,MF,26,5.4,199,189,10,5,2,1,9,2,3,3,0,0,162,0,5
Lindelöf,SWE,DF,30,5.8,242,238,4,3,0,0,1,1,0,0,0,0,224,0,1
Amass,ENG,DF,18,3.8,181,150,31,2,0,0,9,29,0,0,0,0,149,0,3
Evans,NIR,DF,37,3.2,196,177,19,5,0,0,0,3,0,0,0,0,174,0,1
Bayındır,TUR,GK,27,3.0,129,106,23,5,0,0,0,0,0,0,0,0,77,0,2
Shaw,ENG,DF,29,3.0,247,236,11,2,1,1,10,2,4,0,1,0,210,0,6
Fredricson,ENG,DF,20,1.8,122,119,3,3,0,0,0,0,0,0,0,0,110,0,2
Malacia,NED,DF,25,1.1,55,49,6,0,0,0,1,6,0,0,0,0,49,0,2
Obi-Martin,DEN,FW,17,1.7,23,21,2,0,0,0,0,0,0,0,0,0,19,0,0
Heaven,ENG,DF,18,1.1,49,48,1,1,0,0,0,0,0,0,0,0,40,0,2
Collyer,ENG,MF,21,2.0,92,88,4,1,0,0,0,2,0,0,0,0,76,0,2
Antony,BRA,"DF,MF",25,1.6,69,62,7,2,0,0,5,5,0,0,0,0,56,0,1
McTominay,SCO,MF,28,0.2,10,8,2,0,0,0,0,1,0,0,0,0,10,0,0
