Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21.0,602,842,71.5,15309,9850,115,115,100.0,333,337,98.8,154,386,39.9,0,0.0,0.0,0.0,0,15,0,0,0,Matches
Micky van de Ven,nl NED,DF,24-270,19.9,970,1086,89.3,19529,6112,273,288,94.8,605,632,95.7,84,146,57.5,1,0.6,0.3,0.4,5,51,1,0,49,Matches
Pedro Porro,es ESP,DF,26-123,18.8,814,1175,69.3,15301,6576,367,414,88.6,331,422,78.4,109,283,38.5,1,1.8,2.2,-0.8,25,85,31,15,100,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,17.1,415,579,71.7,6846,1630,230,253,90.9,129,180,71.7,46,102,45.1,5,2.8,2.4,2.2,22,24,23,15,42,Matches
Rodrigo Bentancur,uy URU,MF,28-203,15.7,627,748,83.8,10105,2195,297,338,87.9,293,330,88.8,27,50,54.0,1,0.8,0.7,0.2,9,45,5,1,41,Matches
Cristian Romero,ar ARG,DF,27-262,16.2,755,869,86.9,14338,5585,240,266,90.2,448,484,92.6,60,104,57.7,1,1.1,1.1,-0.1,8,56,5,0,52,Matches
Djed Spence,eng ENG,DF,25-158,15.0,569,730,77.9,9581,2662,282,315,89.5,235,290,81.0,43,78,55.1,0,0.7,0.7,-0.7,6,57,6,2,59,Matches
João Palhinha,pt POR,MF,30-189,14.5,500,617,81.0,8611,2250,227,259,87.6,220,250,88.0,40,71,56.3,2,0.3,0.5,1.7,4,43,3,0,49,Matches
Richarlison,br BRA,FW,28-249,14.3,132,219,60.3,1919,527,80,111,72.1,33,55,60.0,9,14,64.3,3,2.1,1.2,0.9,14,8,6,0,23,Matches
Xavi Simons,nl NED,"MF,FW",22-268,10.3,334,424,78.8,5656,1257,157,187,84.0,139,162,85.8,28,51,54.9,3,1.6,1.6,1.4,10,26,14,2,66,Matches
Randal Kolo Muani,fr FRA,FW,27-040,9.3,110,149,73.8,1479,351,71,90,78.9,30,39,76.9,4,6,66.7,0,0.8,0.8,-0.8,10,4,9,3,14,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,8.9,222,302,73.5,3619,890,112,129,86.8,86,114,75.4,18,44,40.9,2,0.3,0.3,1.7,4,28,5,1,33,Matches
Archie Gray,eng ENG,MF,19-308,6.7,192,225,85.3,3214,772,90,95,94.7,84,100,84.0,12,18,66.7,0,0.1,0.1,-0.1,2,24,2,0,18,Matches
Pape Matar Sarr,sn SEN,MF,23-122,7.9,274,336,81.5,4198,904,139,162,85.8,110,129,85.3,12,18,66.7,2,0.7,0.4,1.3,5,30,3,1,27,Matches
Kevin Danso,at AUT,DF,27-117,6.5,325,403,80.6,6362,2244,93,100,93.0,197,213,92.5,30,78,38.5,0,0.0,0.2,0.0,0,19,2,0,22,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,8.0,194,250,77.6,2950,820,109,127,85.8,64,82,78.0,15,22,68.2,1,1.3,0.8,-0.3,12,19,11,5,29,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,6.8,106,166,63.9,1682,323,63,76,82.9,31,53,58.5,8,23,34.8,0,0.4,0.3,-0.4,6,7,4,3,12,Matches
Destiny Udogie,it ITA,DF,23-047,6.8,312,370,84.3,4809,1864,160,179,89.4,142,157,90.4,6,16,37.5,1,0.4,0.3,0.6,7,37,7,1,37,Matches
Mathys Tel,fr FRA,FW,20-262,5.2,88,132,66.7,1590,509,45,57,78.9,27,36,75.0,13,28,46.4,0,0.1,0.5,-0.1,4,6,2,2,5,Matches
Ben Davies,wls WAL,DF,32-265,1.3,56,69,81.2,1035,467,29,32,90.6,20,25,80.0,7,12,58.3,0,0.1,0.1,-0.1,1,6,1,1,3,Matches
Dominic Solanke,eng ENG,FW,28-122,0.4,2,2,100.0,19,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Radu Drăgușin,ro ROU,DF,23-345,0.1,2,7,28.6,29,22,1,1,100.0,1,3,33.3,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Dane Scarlett,eng ENG,FW,21-296,0.0,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.9,21.0,7602,9701,78.4,138197,47810,3182,3596,88.5,3559,4094,86.9,725,1552,46.7,23,15.7,14.5,7.3,154,591,140,52,681,
Opponent Total,,,26.7,21.0,7347,9397,78.2,130304,46696,3185,3630,87.7,3291,3796,86.7,670,1422,47.1,21,20.4,20.3,0.6,177,586,149,42,746,
