Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,20.7,419,583,71.9,6090,2074,242,297,81.5,125,175,71.4,28,51,54.9,4,3.2,2.4,0.8,23,33,29,1,68,Matches
Ezri Konsa,eng ENG,DF,28-083,19.7,1187,1256,94.5,20775,6820,470,475,98.9,644,665,96.8,56,89,62.9,0,0.4,0.4,-0.4,4,66,4,0,62,Matches
Matty Cash,pl POL,DF,28-160,19.7,779,1012,77.0,13524,4123,331,363,91.2,353,426,82.9,70,172,40.7,2,1.8,1.8,0.2,18,61,18,5,68,Matches
John McGinn,sct SCO,"FW,MF",31-088,17.5,461,609,75.7,8131,2058,205,233,88.0,196,243,80.7,49,95,51.6,2,2.1,1.8,-0.1,24,35,20,10,70,Matches
Ollie Watkins,eng ENG,FW,30-015,17.4,176,262,67.2,2042,294,121,164,73.8,37,53,69.8,3,7,42.9,1,1.2,0.9,-0.2,11,7,4,0,15,Matches
Emiliano Martínez,ar ARG,GK,33-134,16.5,532,694,76.7,13744,8456,110,110,100.0,294,296,99.3,127,284,44.7,0,0.0,0.0,0.0,0,15,2,0,2,Matches
Boubacar Kamara,fr FRA,MF,26-052,15.7,722,820,88.0,11471,3492,368,400,92.0,286,316,90.5,48,66,72.7,3,0.8,0.9,2.2,15,76,16,0,86,Matches
Lucas Digne,fr FRA,DF,32-178,13.3,477,637,74.9,7760,3095,240,267,89.9,198,259,76.4,29,70,41.4,3,1.3,1.7,1.7,16,29,15,8,36,Matches
Youri Tielemans,be BEL,MF,28-252,12.6,609,739,82.4,10317,3168,304,349,87.1,236,268,88.1,53,85,62.4,4,2.8,1.9,1.2,19,68,17,3,81,Matches
Amadou Onana,be BEL,MF,24-151,9.9,359,411,87.3,6150,1521,158,169,93.5,157,181,86.7,32,44,72.7,0,0.1,0.2,-0.1,2,24,6,0,40,Matches
Pau Torres,es ESP,DF,28-363,10.6,562,641,87.7,10196,3894,218,229,95.2,279,295,94.6,51,98,52.0,0,0.0,0.2,0.0,0,42,0,0,41,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,8.5,237,308,76.9,3197,934,151,169,89.3,56,78,71.8,12,21,57.1,2,1.4,1.0,0.6,16,19,11,0,39,Matches
Ian Maatsen,nl NED,DF,23-310,7.8,337,417,80.8,5494,1660,178,196,90.8,129,161,80.1,24,42,57.1,0,1.5,0.8,-1.5,9,28,6,1,35,Matches
Victor Lindelöf,se SWE,DF,31-181,6.3,359,381,94.2,5963,1900,154,157,98.1,186,197,94.4,11,15,73.3,1,0.3,0.0,0.7,2,15,0,0,12,Matches
Evann Guessand,ci CIV,FW,24-197,5.7,68,97,70.1,808,179,47,58,81.0,16,23,69.6,1,1,100.0,1,0.6,0.6,0.4,3,2,4,0,8,Matches
Tyrone Mings,eng ENG,DF,32-307,5.5,311,348,89.4,5937,2150,104,112,92.9,179,185,96.8,25,45,55.6,0,0.1,0.1,-0.1,3,29,1,0,27,Matches
Donyell Malen,nl NED,FW,27-005,7.3,75,103,72.8,1014,198,44,53,83.0,22,28,78.6,2,5,40.0,1,0.4,0.3,0.6,7,5,5,0,14,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,4.9,229,253,90.5,3388,816,120,127,94.5,93,102,91.2,7,9,77.8,0,0.0,0.1,0.0,2,17,2,0,13,Matches
Marco Bizot,nl NED,GK,34-310,4.5,148,184,80.4,3432,1953,36,36,100.0,81,81,100.0,31,67,46.3,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Jadon Sancho,eng ENG,FW,25-295,3.5,116,138,84.1,1630,344,62,68,91.2,44,49,89.8,4,5,80.0,0,0.5,0.6,-0.5,6,5,6,0,16,Matches
