Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
João Gomes,br BRA,MF,24-336,17.7,757,889,85.2,11715,2624,389,435,89.4,276,310,89.0,51,74,68.9,0,0.5,0.9,-0.5,7,71,17,7,90,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-269,15.4,687,815,84.3,13484,4816,230,262,87.8,380,410,92.7,75,128,58.6,1,0.8,1.2,0.2,7,75,11,2,67,Matches
André,br BRA,MF,24-182,15.8,641,731,87.7,11012,3189,304,320,95.0,267,287,93.0,56,97,57.7,0,0.5,0.7,-0.5,10,58,4,1,58,Matches
Jørgen Strand Larsen,no NOR,FW,25-342,14.6,160,249,64.3,2014,364,104,144,72.2,37,58,63.8,6,11,54.5,1,0.6,0.4,0.4,6,18,0,0,13,Matches
Jhon Arias,co COL,"FW,MF",28-115,11.6,354,412,85.9,5407,961,198,218,90.8,126,145,86.9,20,28,71.4,0,0.6,0.6,-0.6,11,23,8,3,33,Matches
Hugo Bueno,es ESP,"DF,MF",23-118,12.9,483,622,77.7,7910,2074,236,265,89.1,201,244,82.4,36,80,45.0,1,1.3,1.6,-0.3,20,26,22,21,32,Matches
Sam Johnstone,eng ENG,GK,32-295,12.0,301,496,60.7,10313,8110,38,39,97.4,125,125,100.0,138,331,41.7,0,0.0,0.0,0.0,0,19,0,0,1,Matches
Toti Gomes,pt POR,DF,26-363,10.5,508,598,84.9,9117,2805,193,212,91.0,268,294,91.2,37,75,49.3,0,0.2,0.2,-0.2,5,35,4,2,23,Matches
Santiago Bueno,uy URU,DF,27-066,11.4,416,473,87.9,8264,2676,115,130,88.5,253,267,94.8,45,67,67.2,0,0.1,0.5,-0.1,4,29,1,1,30,Matches
Emmanuel Agbadou,ci CIV,DF,28-211,11.2,510,633,80.6,10851,4234,156,171,91.2,286,315,90.8,66,135,48.9,0,0.2,0.3,-0.2,3,60,7,3,37,Matches
Hwang Hee-chan,kr KOR,"FW,MF",29-353,9.8,192,264,72.7,2972,801,105,138,76.1,71,96,74.0,10,18,55.6,1,0.8,0.8,0.2,7,13,9,2,23,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-122,12.3,333,467,71.3,5534,1629,167,193,86.5,136,194,70.1,24,59,40.7,0,1.3,1.0,-1.3,12,15,15,12,16,Matches
Yerson Mosquera,co COL,DF,24-257,9.6,282,360,78.3,5144,1871,96,114,84.2,160,185,86.5,18,45,40.0,0,0.3,0.3,-0.3,6,28,2,2,12,Matches
Marshall Munetsi,zw ZIM,"MF,FW",29-206,9.7,110,184,59.8,1761,588,54,92,58.7,44,60,73.3,8,14,57.1,1,0.5,0.4,0.5,3,16,3,2,18,Matches
José Sá,pt POR,GK,32-362,9.0,184,302,60.9,5956,4687,26,26,100.0,86,88,97.7,71,184,38.6,0,0.1,0.1,-0.1,1,10,1,0,0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-201,7.7,199,265,75.1,3535,882,91,104,87.5,81,107,75.7,24,41,58.5,0,0.4,0.6,-0.4,4,16,16,2,40,Matches
David Møller Wolfe,no NOR,"DF,MF",23-266,7.9,185,268,69.0,2904,1176,95,119,79.8,74,104,71.2,12,27,44.4,2,1.6,1.0,0.4,7,9,5,5,18,Matches
Matt Doherty,ie IRL,DF,33-363,6.6,199,248,80.2,3703,1306,82,92,89.1,97,111,87.4,18,37,48.6,0,0.4,0.2,-0.4,3,15,2,1,21,Matches
Tolu Arokodare,ng NGA,FW,25-052,7.5,80,141,56.7,1025,144,48,80,60.0,23,37,62.2,2,5,40.0,0,0.6,0.2,-0.6,8,5,1,0,6,Matches
Ki-Jana Hoever,nl NED,"DF,MF",23-361,4.7,140,209,67.0,2731,840,56,72,77.8,64,91,70.3,18,38,47.4,0,0.5,0.4,-0.5,4,15,8,4,13,Matches
Mateus Mane,pt POR,MF,18-120,5.0,75,108,69.4,1119,407,43,52,82.7,26,38,68.4,5,11,45.5,1,0.2,0.4,0.8,5,9,6,4,14,Matches
Rodrigo Gomes,pt POR,"FW,DF",22-191,3.7,96,130,73.8,1430,254,57,68,83.8,31,44,70.5,4,8,50.0,0,0.1,0.2,-0.1,2,4,1,1,7,Matches
Fer López,es ESP,"MF,FW",21-235,2.6,77,109,70.6,1333,297,32,44,72.7,40,47,85.1,4,9,44.4,1,0.7,0.6,0.3,3,10,8,0,20,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",22-095,0.3,3,3,100.0,40,14,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Sasa Kalajdzic,at AUT,FW,28-191,0.2,4,6,66.7,41,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
