Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21.0,423,609,69.5,11431,7687,89,89,100.0,214,214,100.0,120,299,40.1,0,0.0,0.0,0.0,0,9,0,0,0,Matches
Adrien Truffert,fr FRA,DF,24-055,20.5,848,1086,78.1,12301,3931,506,554,91.3,284,368,77.2,35,97,36.1,1,1.2,1.1,-0.2,16,66,20,17,85,Matches
Antoine Semenyo,gh GHA,"FW,MF",26-007,20.0,423,615,68.8,6721,1924,230,278,82.7,137,194,70.6,40,93,43.0,3,2.1,1.8,0.9,25,23,28,3,68,Matches
Marcos Senesi,ar ARG,DF,28-249,19.5,943,1245,75.7,20214,9891,274,313,87.5,483,548,88.1,176,341,51.6,4,2.9,3.5,1.1,18,145,31,7,126,Matches
Marcus Tavernier,eng ENG,"MF,FW",26-298,18.8,602,786,76.6,9528,2616,320,367,87.2,223,266,83.8,42,100,42.0,3,2.4,2.1,0.6,27,59,26,4,95,Matches
Alex Scott,eng ENG,MF,22-146,15.7,548,699,78.4,8677,1857,284,314,90.4,217,253,85.8,31,97,32.0,0,1.3,0.8,-1.3,10,42,7,2,50,Matches
Evanilson,br BRA,FW,26-100,15.6,193,245,78.8,2066,333,131,151,86.8,36,47,76.6,3,5,60.0,0,1.7,0.8,-1.7,17,8,6,0,13,Matches
Bafodé Diakité,fr FRA,DF,25-008,14.0,658,747,88.1,13096,4576,182,193,94.3,406,438,92.7,62,100,62.0,0,0.1,0.2,-0.1,3,59,1,0,44,Matches
Tyler Adams,us USA,MF,26-334,13.3,605,695,87.1,10197,2497,265,295,89.8,298,323,92.3,32,51,62.7,1,0.1,0.3,0.9,2,59,1,0,61,Matches
Álex Jiménez,es ESP,"DF,FW",20-251,12.8,396,511,77.5,6744,2273,198,232,85.3,155,184,84.2,36,62,58.1,0,0.3,0.6,-0.3,4,39,16,5,50,Matches
David Brooks,wls WAL,"FW,MF",28-190,10.4,282,401,70.3,4388,1448,147,173,85.0,104,141,73.8,20,47,42.6,2,2.6,2.8,-0.6,20,29,13,6,37,Matches
Justin Kluivert,nl NED,MF,26-254,10.2,280,375,74.7,4602,1042,124,154,80.5,122,143,85.3,21,47,44.7,0,1.5,1.5,-1.5,21,22,12,4,36,Matches
Adam Smith,eng ENG,DF,34-260,5.8,140,200,70.0,2367,956,70,81,86.4,56,72,77.8,13,41,31.7,1,0.4,0.1,0.6,2,19,0,0,15,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-205,6.4,101,153,66.0,1400,204,57,77,74.0,34,47,72.3,3,7,42.9,0,0.4,0.2,-0.4,6,3,1,0,6,Matches
James Hill,eng ENG,DF,24-004,6.4,168,243,69.1,3309,1389,60,67,89.6,85,112,75.9,20,52,38.5,0,0.1,0.3,-0.1,1,20,4,1,21,Matches
Lewis Cook,eng ENG,"MF,DF",28-345,5.6,288,357,80.7,4819,1352,123,136,90.4,148,167,88.6,12,42,28.6,1,0.3,0.3,0.7,9,26,5,3,34,Matches
Veljko Milosavljević,rs SRB,DF,18-200,4.1,161,190,84.7,3174,988,52,57,91.2,93,97,95.9,15,31,48.4,0,0.1,0.2,-0.1,1,15,0,0,12,Matches
Amine Adli,ma MAR,"FW,MF",25-249,4.9,135,189,71.4,1864,463,80,99,80.8,44,59,74.6,6,14,42.9,0,0.5,0.4,-0.5,6,12,4,0,19,Matches
Ryan Christie,sct SCO,MF,30-326,3.3,146,192,76.0,2496,567,70,82,85.4,61,74,82.4,11,21,52.4,0,0.1,0.2,-0.1,2,26,3,1,25,Matches
Enes Ünal,tr TUR,"FW,MF",28-249,1.3,11,20,55.0,86,10,10,15,66.7,0,2,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Ben Gannon-Doak,sct SCO,FW,20-064,0.6,18,25,72.0,228,34,14,16,87.5,4,8,50.0,0,0,,1,0.6,0.1,0.4,1,0,1,0,1,Matches
Julio Soler,ar ARG,"DF,FW",20-332,0.4,21,26,80.8,269,56,14,15,93.3,5,6,83.3,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Hamed Junior Traorè,ci CIV,MF,25-332,0.2,2,3,66.7,23,18,1,1,100.0,1,2,50.0,0,0,,1,0.2,0.0,0.8,1,0,0,0,0,Matches
Ben Winterburn,eng ENG,MF,21-132,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.7,21.0,7392,9613,76.9,130000,46112,3301,3760,87.8,3210,3765,85.3,699,1552,45.0,18,18.5,17.3,-0.5,192,681,180,53,800,
Opponent Total,,,26.7,21.0,7101,9332,76.1,127397,51082,3216,3722,86.4,2992,3577,83.6,732,1535,47.7,26,22.3,17.9,3.7,192,589,168,36,709,
