Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Bruno Guimarães,br BRA,MF,28-059,19.4,907,1084,83.7,15505,4680,429,466,92.1,375,423,88.7,79,135,58.5,3,2.3,2.5,0.7,29,114,37,6,162,Matches
Sandro Tonali,it ITA,MF,25-251,15.9,755,932,81.0,12791,3714,366,405,90.4,308,360,85.6,64,130,49.2,1,1.9,1.5,-0.9,17,96,14,4,106,Matches
Malick Thiaw,de GER,DF,24-159,16.5,780,883,88.3,15328,5368,244,271,90.0,441,475,92.8,85,114,74.6,0,0.3,0.4,-0.3,2,58,3,0,68,Matches
Nick Woltemade,de GER,FW,23-334,14.0,156,217,71.9,2053,387,98,116,84.5,42,65,64.6,7,8,87.5,2,1.2,0.8,0.8,11,9,3,0,16,Matches
Nick Pope,eng ENG,GK,33-270,14.8,287,428,67.1,7787,5073,41,42,97.6,159,160,99.4,86,224,38.4,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Dan Burn,eng ENG,DF,33-250,13.9,518,689,75.2,9170,3542,212,248,85.5,267,318,84.0,32,91,35.2,2,0.3,0.3,1.7,5,33,5,1,39,Matches
Joelinton,br BRA,MF,29-153,13.6,434,530,81.9,6158,1602,250,291,85.9,145,170,85.3,15,24,62.5,0,1.4,0.9,-1.4,11,49,6,0,63,Matches
Anthony Gordon,eng ENG,FW,24-324,11.1,268,371,72.2,4325,1360,148,180,82.2,97,133,72.9,18,44,40.9,1,2.8,2.5,-1.8,16,34,18,7,46,Matches
Jacob Murphy,eng ENG,FW,30-324,11.2,261,418,62.4,4361,1570,141,184,76.6,82,133,61.7,30,66,45.5,1,3.5,2.4,-2.5,17,26,32,16,36,Matches
Fabian Schär,ch SUI,DF,34-025,12.1,677,805,84.1,14680,6107,178,189,94.2,392,417,94.0,103,185,55.7,0,0.2,0.6,-0.2,4,56,3,0,49,Matches
Valentino Livramento,eng ENG,DF,23-063,11.7,552,645,85.6,8542,2607,312,346,90.2,193,217,88.9,32,54,59.3,1,0.4,0.6,0.6,10,52,9,5,53,Matches
Lewis Miley,eng ENG,"MF,DF",19-258,11.4,572,648,88.3,8131,2323,338,351,96.3,188,214,87.9,25,46,54.3,3,1.1,1.9,1.9,11,51,4,1,38,Matches
Lewis Hall,eng ENG,DF,21-128,10.5,533,671,79.4,8805,2829,254,284,89.4,234,270,86.7,33,87,37.9,1,1.2,1.5,-0.2,11,50,12,2,68,Matches
Harvey Barnes,eng ENG,FW,28-036,10.6,223,308,72.4,3179,853,144,166,86.7,66,96,68.8,9,24,37.5,0,1.4,1.8,-1.4,13,12,13,5,34,Matches
Sven Botman,nl NED,DF,26-002,7.8,375,434,86.4,6987,2844,142,155,91.6,197,212,92.9,33,56,58.9,1,0.6,0.3,0.4,5,6,0,0,23,Matches
Kieran Trippier,eng ENG,DF,35-117,7.8,463,583,79.4,8428,3413,191,218,87.6,214,250,85.6,48,93,51.6,0,0.8,0.9,-0.8,14,48,12,2,75,Matches
Anthony Elanga,se SWE,"FW,MF",23-262,7.6,203,295,68.8,2798,775,126,158,79.7,58,90,64.4,8,25,32.0,1,1.1,0.5,-0.1,8,13,11,5,19,Matches
Aaron Ramsdale,eng ENG,GK,27-245,6.2,166,220,75.5,4369,2694,21,22,95.5,100,102,98.0,45,96,46.9,0,0.1,0.0,-0.1,1,2,0,0,0,Matches
Jacob Ramsey,eng ENG,MF,24-231,5.7,255,283,90.1,3675,832,158,168,94.0,84,93,90.3,10,12,83.3,0,0.7,0.6,-0.7,9,12,6,2,26,Matches
Yoane Wissa,cd COD,FW,29-133,2.7,29,38,76.3,429,83,18,23,78.3,8,9,88.9,2,2,100.0,0,0.2,0.4,-0.2,1,3,2,0,6,Matches
Joe Willock,eng ENG,"MF,FW",26-147,2.7,93,117,79.5,1406,236,51,57,89.5,37,45,82.2,4,8,50.0,0,0.3,0.1,-0.3,3,11,2,0,11,Matches
William Osula,dk DEN,FW,22-163,2.4,21,26,80.8,287,32,14,17,82.4,7,8,87.5,0,0,,0,0.1,0.0,-0.1,1,1,0,0,2,Matches
Emil Krafth,se SWE,DF,31-165,0.5,22,28,78.6,363,165,7,8,87.5,14,18,77.8,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Jamaal Lascelles,eng ENG,DF,32-064,0.2,6,8,75.0,116,14,1,2,50.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.4,21.0,8556,10661,80.3,149673,53103,3884,4367,88.9,3713,4283,86.7,769,1526,50.4,17,21.4,20.6,-4.4,199,738,192,56,943,
Opponent Total,,,26.7,21.0,7292,9433,77.3,126551,43555,3418,3863,88.5,3065,3588,85.4,645,1512,42.7,13,16.4,15.3,-3.4,171,605,155,35,717,
