Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21.0,583,896,65.1,15998,10767,109,110,99.1,315,318,99.1,157,463,33.9,0,0.4,0.1,-0.4,4,21,2,0,0,Matches
Granit Xhaka,ch SUI,MF,33-109,20.8,915,1143,80.1,18276,5235,332,381,87.1,427,489,87.3,140,232,60.3,5,2.0,2.1,3.0,25,117,21,5,127,Matches
Trai Hume,nir NIR,"DF,MF",23-302,19.4,512,730,70.1,8100,2981,272,325,83.7,180,253,71.1,37,89,41.6,1,1.0,0.9,0.0,15,46,20,5,54,Matches
Nordi Mukiele,fr FRA,DF,28-074,19.0,626,908,68.9,11235,4592,270,312,86.5,277,384,72.1,62,151,41.1,1,1.1,1.2,-0.1,12,49,6,3,56,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,17.5,481,635,75.7,7145,1991,270,319,84.6,159,194,82.0,28,65,43.1,4,2.6,2.2,1.4,29,37,17,5,52,Matches
Omar Alderete,py PAR,DF,29-019,16.3,572,691,82.8,11827,4654,169,190,88.9,327,353,92.6,71,131,54.2,1,0.1,0.7,0.9,3,52,7,2,60,Matches
Noah Sadiki,cd COD,MF,21-028,15.7,454,546,83.2,7264,1707,227,252,90.1,175,200,87.5,36,56,64.3,0,0.4,0.7,-0.4,8,33,13,3,47,Matches
Daniel Ballard,nir NIR,DF,26-114,13.6,492,604,81.5,9525,3486,148,167,88.6,286,313,91.4,46,96,47.9,0,0.7,0.4,-0.7,6,36,2,0,34,Matches
Reinildo Mandava,mz MOZ,DF,31-358,11.4,388,468,82.9,6237,1574,185,199,93.0,176,202,87.1,19,42,45.2,0,0.0,0.1,0.0,0,35,3,1,41,Matches
Wilson Isidor,fr FRA,FW,25-140,10.9,56,95,58.9,671,161,35,47,74.5,14,24,58.3,1,7,14.3,0,0.0,0.1,0.0,0,7,1,0,9,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-180,10.9,373,434,85.9,6713,2216,147,163,90.2,186,208,89.4,31,42,73.8,0,0.2,0.4,-0.2,4,32,5,0,32,Matches
Chemsdine Talbi,ma MAR,"FW,MF",20-250,9.8,197,262,75.2,2997,491,118,139,84.9,61,84,72.6,13,23,56.5,1,0.3,0.5,0.7,7,6,5,2,10,Matches
Simon Adingra,ci CIV,"FW,MF",24-013,7.3,130,192,67.7,1899,297,80,96,83.3,40,56,71.4,6,17,35.3,0,0.9,0.6,-0.9,7,3,6,2,8,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-130,6.8,137,185,74.1,2009,535,75,86,87.2,51,67,76.1,4,12,33.3,0,0.9,0.2,-0.9,8,12,8,1,20,Matches
Brian Brobbey,nl NED,FW,23-347,7.9,62,94,66.0,718,121,36,49,73.5,17,26,65.4,0,1,0.0,1,0.2,0.2,0.8,3,4,2,0,9,Matches
Chris Rigg,eng ENG,"FW,MF",18-210,4.2,71,100,71.0,1057,270,37,53,69.8,21,25,84.0,8,11,72.7,0,0.3,0.3,-0.3,3,7,4,1,8,Matches
Eliezer Mayenda,es ESP,FW,20-251,5.5,33,51,64.7,471,185,18,25,72.0,13,16,81.3,1,3,33.3,0,0.5,0.1,-0.5,3,3,4,0,8,Matches
Habib Diarra,sn SEN,MF,22-011,4.1,96,126,76.2,1361,229,59,66,89.4,31,38,81.6,4,9,44.4,0,0.0,0.1,0.0,1,12,2,0,13,Matches
Dennis Cirkin,eng ENG,DF,23-283,2.8,70,90,77.8,1061,329,35,39,89.7,32,39,82.1,2,5,40.0,0,0.0,0.0,0.0,0,8,0,0,5,Matches
Arthur Masuaku,cd COD,"DF,MF",32-068,1.4,45,62,72.6,732,189,22,24,91.7,18,22,81.8,5,14,35.7,0,0.1,0.1,-0.1,1,3,1,1,5,Matches
Jenson Seelt,nl NED,DF,22-236,1.5,96,110,87.3,1786,705,38,40,95.0,46,48,95.8,10,16,62.5,0,0.0,0.0,0.0,0,6,0,0,14,Matches
Romaine Mundle,eng ENG,"FW,MF",22-265,2.0,30,39,76.9,453,121,16,17,94.1,11,13,84.6,3,5,60.0,0,0.0,0.2,0.0,1,3,1,0,4,Matches
Patrick Roberts,eng ENG,"MF,FW",28-343,0.3,17,21,81.0,192,50,11,12,91.7,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Marc Guiu,es ESP,FW,20-010,0.2,3,5,60.0,30,7,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Dan Neil,eng ENG,MF,24-032,0.2,8,9,88.9,135,50,4,5,80.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Luke O'Nien,eng ENG,"DF,MF",31-054,0.1,11,14,78.6,206,63,2,2,100.0,6,7,85.7,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Squad Total,,,25.9,21.0,6458,8510,75.9,118098,43006,2718,3121,87.1,2875,3387,84.9,687,1495,46.0,14,11.7,11.4,2.3,140,536,131,31,620,
