player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Jordan Pickford,ENG,GK,30,38.0,1057,1595,66.3,33692,25121,152,153,99.3,459,466,98.5,445,966,46.1,1,0.4,0.2,0.6,2,74,8,0,0
Vitaliy Mykolenko,UKR,DF,25,34.2,986,1322,74.6,16470,6579,510,571,89.3,369,500,73.8,87,193,45.1,2,2.6,2.2,-0.6,24,102,40,24,110
Idrissa Gana Gueye,SEN,MF,34,34.0,1230,1422,86.5,20779,5681,607,667,91.0,499,552,90.4,104,144,72.2,3,1.7,2.0,1.3,19,154,10,3,145
James Tarkowski,ENG,DF,31,32.5,1045,1290,81.0,22119,8229,337,399,84.5,525,571,91.9,173,276,62.7,1,2.9,2.4,-1.9,16,83,11,0,75
Abdoulaye Doucouré,MLI,MF,31,28.5,725,903,80.3,10909,2254,382,446,85.7,263,316,83.2,44,60,73.3,2,2.4,1.4,-0.4,28,44,15,0,82
Iliman Ndiaye,SEN,FW,24,27.0,602,736,81.8,9038,1875,349,402,86.8,200,230,87.0,38,55,69.1,0,1.9,1.4,-1.9,18,42,14,5,59
Jarrad Branthwaite,ENG,DF,22,27.9,984,1198,82.1,19285,7699,368,409,90.0,488,539,90.5,121,218,55.5,1,0.7,0.6,0.3,3,86,3,0,66
Jack Harrison,ENG,FW,27,23.1,414,659,62.8,6596,2477,239,295,81.0,122,182,67.0,36,108,33.3,0,3.7,3.1,-3.7,33,28,25,11,51
Ashley Young,ENG,DF,39,20.8,708,999,70.9,13051,5809,337,380,88.7,272,357,76.2,92,214,43.0,3,2.3,2.9,0.7,26,78,25,14,90
Dominic Calvert-Lewin,ENG,FW,27,17.9,181,289,62.6,2113,498,130,187,69.5,37,63,58.7,3,8,37.5,1,0.6,0.7,0.4,7,20,5,1,20
James Garner,ENG,"MF,DF",23,17.7,611,803,76.1,10658,3158,268,309,86.7,270,326,82.8,59,120,49.2,1,1.4,1.4,-0.4,13,60,7,4,50
Jake O'Brien,IRL,DF,23,17.5,577,725,79.6,10580,3946,245,274,89.4,260,317,82.0,63,98,64.3,0,0.6,0.3,-0.6,6,41,8,5,50
Beto,GNB,FW,26,17.0,156,268,58.2,2060,282,92,137,67.2,44,83,53.0,7,9,77.8,0,1.2,0.5,-1.2,12,7,8,1,16
Dwight McNeil,ENG,"MF,FW",24,15.2,461,619,74.5,8501,2790,215,246,87.4,165,200,82.5,70,136,51.5,6,5.2,4.3,0.8,37,40,36,10,69
Jesper Lindstrøm,DEN,FW,24,13.8,297,428,69.4,4593,1335,194,225,86.2,65,99,65.7,29,65,44.6,1,2.0,2.0,-1.0,19,18,12,7,25
Orel Mangala,BEL,MF,26,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34
Michael Keane,ENG,DF,31,11.7,312,377,82.8,7049,2396,96,108,88.9,146,160,91.3,67,89,75.3,0,0.1,0.0,-0.1,2,21,0,0,14
Carlos Alcaraz,ARG,"FW,MF",21,8.5,224,278,80.6,3963,1007,96,112,85.7,95,107,88.8,24,37,64.9,3,1.6,0.7,1.4,13,20,18,3,42
Tim Iroegbunam,ENG,MF,21,6.4,115,158,72.8,1921,621,54,73,74.0,42,50,84.0,14,20,70.0,1,0.2,0.1,0.8,3,10,1,0,15
Armando Broja,ALB,FW,22,3.7,53,73,72.6,594,101,35,45,77.8,10,12,83.3,2,3,66.7,0,0.2,0.1,-0.2,4,3,0,0,2
Nathan Patterson,SCO,DF,22,3.9,130,176,73.9,2272,806,65,72,90.3,52,75,69.3,12,24,50.0,1,0.4,0.4,0.6,4,9,5,3,13
Séamus Coleman,IRL,DF,35,2.4,74,98,75.5,1299,642,36,38,94.7,27,34,79.4,8,19,42.1,0,0.0,0.0,0.0,0,8,2,0,11
Roman Dixon,ENG,DF,19,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0
Harrison Armstrong,ENG,MF,17,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1
Youssef Chermiti,POR,"FW,MF",20,0.5,6,11,54.5,78,14,4,7,57.1,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Mason Holgate,JAM,"FW,DF",27,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,28,38.0,11405,14953,76.3,215027,85013,5039,5809,86.7,4604,5451,84.5,1526,2901,52.6,27,32.2,27.2,-5.2,298,1003,261,92,1041
Opponent Total,,,26,38.0,17944,21623,83.0,306074,100829,8349,9200,90.8,7862,8874,88.6,1365,2627,52.0,35,34.6,34.2,0.4,361,1368,331,76,1627
