player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Bart Verbruggen,NED,GK,21,36.0,1011,1315,76.9,23986,16175,287,289,99.3,476,484,98.3,242,528,45.8,1,0.0,0.0,1.0,1,20,1,0,2
Jan Paul van Hecke,NED,DF,24,32.9,2016,2286,88.2,39486,15217,703,752,93.5,1077,1156,93.2,219,334,65.6,1,1.5,1.4,-0.5,15,226,17,4,228
Carlos Baleba,CMR,MF,20,29.6,1149,1314,87.4,19305,4741,544,591,92.0,487,528,92.2,94,148,63.5,1,1.3,1.2,-0.3,21,109,23,3,118
Kaoru Mitoma,JPN,"FW,MF",27,28.9,749,988,75.8,9777,2226,505,579,87.2,189,265,71.3,23,52,44.2,4,4.6,4.0,-0.6,37,36,36,8,89
Pervis Estupiñán,ECU,DF,26,26.7,1338,1610,83.1,20347,6261,782,839,93.2,451,540,83.5,74,158,46.8,1,2.1,2.5,-1.1,26,105,34,18,132
Danny Welbeck,ENG,FW,33,23.5,417,491,84.9,4936,1008,277,316,87.7,91,105,86.7,11,12,91.7,4,1.4,1.4,2.6,23,18,14,0,47
Lewis Dunk,ENG,DF,32,23.1,1778,1953,91.0,32940,10612,668,693,96.4,954,1002,95.2,143,228,62.7,0,0.5,1.0,-0.5,6,157,6,0,142
João Pedro,BRA,"FW,MF",22,21.6,482,661,72.9,6847,1766,300,381,78.7,133,177,75.1,29,44,65.9,6,5.0,3.1,1.0,30,42,36,5,78
Yasin Ayari,SWE,MF,20,21.8,793,973,81.5,11915,3328,465,509,91.4,269,319,84.3,40,98,40.8,1,2.3,2.6,-1.3,30,55,18,4,75
Jack Hinshelwood,ENG,"MF,DF",19,20.5,870,1046,83.2,13114,3047,510,562,90.7,280,333,84.1,56,107,52.3,2,1.5,1.5,0.5,17,36,9,2,68
Yankuba Minteh,GAM,"FW,MF",20,20.4,348,557,62.5,5531,1843,200,257,77.8,107,172,62.2,31,67,46.3,4,5.0,5.0,-1.0,29,14,36,9,48
Joël Veltman,NED,DF,32,18.9,745,929,80.2,12563,3243,365,406,89.9,307,380,80.8,63,99,63.6,0,0.5,1.3,-0.5,6,66,9,5,85
Georginio Rutter,FRA,"MF,FW",22,18.4,237,355,66.8,3344,1174,144,187,77.0,74,111,66.7,10,16,62.5,3,2.5,1.7,0.5,19,30,16,1,67
Simon Adingra,CIV,"FW,MF",22,12.2,290,382,75.9,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,2,2.5,2.8,-0.5,16,5,17,6,18
Matt O'Riley,DEN,MF,23,10.4,316,413,76.5,5018,1362,161,182,88.5,108,133,81.2,30,63,47.6,2,2.4,2.0,-0.4,21,30,8,1,38
Adam Webster,ENG,DF,29,9.9,636,725,87.7,11765,4541,242,257,94.2,333,354,94.1,53,97,54.6,0,0.5,0.3,-0.5,3,64,2,0,63
Mats Wieffer,NED,"DF,MF",24,11.3,594,698,85.1,9762,2650,286,317,90.2,258,298,86.6,38,50,76.0,3,1.6,1.0,1.4,16,53,9,2,62
Igor,BRA,DF,26,10.7,671,730,91.9,12145,3851,262,271,96.7,364,384,94.8,42,59,71.2,0,0.2,0.3,-0.2,2,39,2,1,49
Tariq Lamptey,GHA,DF,23,9.6,335,413,81.1,5168,1326,185,199,93.0,128,162,79.0,19,40,47.5,2,0.8,0.8,1.2,5,12,6,5,14
Brajan Gruda,GER,"MF,FW",20,7.6,187,251,74.5,2759,970,108,128,84.4,46,63,73.0,18,36,50.0,4,2.1,1.9,1.9,23,12,12,1,26
Ferdi Kadioglu,TUR,"DF,MF",24,4.3,144,175,82.3,2372,698,73,82,89.0,61,74,82.4,9,14,64.3,0,0.2,0.3,-0.2,5,10,9,4,15
Diego Gómez,PAR,MF,21,5.7,243,302,80.5,3715,931,138,159,86.8,84,100,84.0,14,25,56.0,0,0.7,1.2,-0.7,8,14,7,1,27
James Milner,ENG,MF,38,1.9,55,74,74.3,899,347,26,28,92.9,23,30,76.7,4,11,36.4,0,0.2,0.2,-0.2,4,3,1,1,10
Julio Enciso,PAR,"MF,FW",20,3.3,99,150,66.0,1464,392,61,75,81.3,29,40,72.5,5,22,22.7,0,0.2,0.3,-0.2,5,13,4,1,14
Evan Ferguson,IRL,FW,19,2.7,43,58,74.1,484,44,31,36,86.1,8,11,72.7,1,4,25.0,0,0.4,0.4,-0.4,3,1,0,0,1
Jason Steele,ENG,GK,33,2.0,101,112,90.2,2321,1556,21,21,100.0,63,65,96.9,17,26,65.4,0,0.0,0.0,0.0,0,0,0,0,0
Solly March,ENG,"FW,MF",30,1.9,60,95,63.2,990,222,35,40,87.5,16,28,57.1,7,18,38.9,0,0.3,0.3,-0.3,3,2,4,4,2
Billy Gilmour,SCO,MF,23,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11
Eiran Cashin,IRL,DF,22,0.2,23,28,82.1,407,196,9,10,90.0,13,13,100.0,1,5,20.0,0,0.0,0.0,0.0,0,5,0,0,6
Jakub Moder,POL,MF,25,0.1,18,22,81.8,254,82,10,14,71.4,8,8,100.0,0,0,,0,0.2,0.5,-0.2,3,0,1,1,4
Jeremy Sarmiento,ECU,MF,22,0.1,6,6,100.0,74,1,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Harry Howell,ENG,FW,15,0.1,8,9,88.9,100,8,4,4,100.0,3,4,75.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,0
Squad Total,,,24,38.0,15820,19188,82.4,268916,90984,7629,8443,90.4,6541,7472,87.5,1313,2397,54.8,41,40.4,39.1,0.6,377,1189,339,87,1539
Opponent Total,,,26,38.0,14240,17647,80.7,253402,87854,6260,6967,89.9,6537,7370,88.7,1220,2475,49.3,39,41.3,30.2,-2.3,333,1004,248,44,1209
