player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Moisés Caicedo,ECU,"MF,DF",23,35.2,1889,2103,89.8,32552,8601,855,924,92.5,843,911,92.5,155,200,77.5,2,3.0,2.7,-1.0,30,226,31,2,204
Cole Palmer,ENG,MF,23,33.5,1083,1406,77.0,20660,5418,446,519,85.9,444,524,84.7,168,279,60.2,8,10.0,8.5,-2.0,83,156,62,17,203
Levi Colwill,ENG,DF,22,33.0,2252,2516,89.5,41036,14422,775,835,92.8,1313,1378,95.3,138,243,56.8,1,1.1,1.2,-0.1,14,144,7,3,126
Marc Cucurella,ESP,DF,26,31.2,1612,1834,87.9,25457,7268,806,859,93.8,709,788,90.0,67,118,56.8,1,2.1,2.4,-1.1,19,116,12,3,113
Enzo Fernández,ARG,MF,24,30.7,1468,1830,80.2,26029,7308,671,754,89.0,609,714,85.3,155,267,58.1,7,6.7,6.2,0.3,76,161,41,7,207
Robert Sánchez,ESP,GK,27,30.0,840,1184,70.9,20302,13560,201,202,99.5,441,457,96.5,195,513,38.0,0,0.1,0.0,-0.1,2,26,1,0,1
Nicolas Jackson,SEN,FW,23,24.7,303,399,75.9,4088,884,182,223,81.6,92,118,78.0,9,15,60.0,5,4.3,1.9,0.7,28,22,10,1,38
Noni Madueke,ENG,FW,23,20.6,482,621,77.6,7105,1740,292,340,85.9,151,197,76.6,22,39,56.4,3,4.2,3.0,-1.2,31,13,34,8,66
Pedro Neto,POR,FW,25,23.4,663,842,78.7,10830,2302,324,348,93.1,253,309,81.9,59,121,48.8,5,6.1,4.7,-1.1,44,30,37,23,59
Malo Gusto,FRA,DF,21,20.5,1194,1379,86.6,19493,4889,582,624,93.3,516,583,88.5,68,112,60.7,1,1.4,1.9,-0.4,22,111,19,7,119
