player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Rayan Aït-Nouri,ALG,DF,23,32.8,1355,1612,84.1,18564,5505,837,896,93.4,409,470,87.0,44,110,40.0,7,5.0,3.6,2.0,38,70,27,9,104
João Gomes,BRA,MF,24,31.5,1292,1519,85.1,18496,4556,758,831,91.2,399,464,86.0,65,109,59.6,1,1.2,1.8,-0.2,22,109,23,1,151
Nélson Semedo,POR,DF,31,30.6,1012,1263,80.1,15437,4616,544,597,91.1,384,463,82.9,56,121,46.3,4,2.8,1.6,1.2,23,65,27,12,74
Jørgen Strand Larsen,NOR,FW,25,27.7,275,435,63.2,3597,668,167,238,70.2,70,109,64.2,14,20,70.0,2,2.4,1.0,-0.4,19,18,4,1,29
André,BRA,MF,23,26.0,1176,1268,92.7,18523,5118,606,636,95.3,450,474,94.9,74,92,80.4,0,0.8,0.6,-0.8,16,104,4,0,98
José Sá,POR,GK,32,28.0,569,887,64.1,14772,10035,113,114,99.1,314,324,96.9,138,441,31.3,0,0.1,0.0,-0.1,2,19,1,0,2
Matheus Cunha,BRA,"MF,FW",25,27.6,764,1066,71.7,12179,4206,431,505,85.3,215,283,76.0,84,187,44.9,6,7.6,5.2,-1.6,53,90,55,10,137
Toti Gomes,POR,DF,26,27.0,1354,1580,85.7,22522,7856,625,680,91.9,620,670,92.5,81,161,50.3,1,0.9,0.6,0.1,9,79,6,3,73
Matt Doherty,IRL,DF,33,22.5,1042,1261,82.6,19483,6342,420,466,90.1,497,574,86.6,112,181,61.9,1,1.5,1.2,-0.5,11,91,15,1,77
Jean-Ricner Bellegarde,FRA,"MF,FW",26,17.6,424,540,78.5,6582,1289,245,275,89.1,132,164,80.5,33,59,55.9,6,3.6,2.6,2.4,26,27,17,8,39
Santiago Bueno,URU,DF,26,18.7,741,842,88.0,13598,4177,260,281,92.5,417,444,93.9,51,91,56.0,0,0.0,0.1,0.0,0,24,2,0,28
Mario Lemina,GAB,"MF,DF",31,15.2,493,613,80.4,9479,2966,176,207,85.0,249,284,87.7,58,95,61.1,3,1.1,1.2,1.9,10,43,13,4,48
Emmanuel Agbadou,CIV,DF,27,13.7,740,865,85.5,14853,5211,248,268,92.5,390,420,92.9,96,158,60.8,0,0.2,0.3,-0.2,4,31,1,0,24
Marshall Munetsi,ZIM,"MF,FW",28,10.8,132,185,71.4,1609,331,83,107,77.6,38,52,73.1,1,3,33.3,1,1.6,1.0,-0.6,8,5,2,1,8
Craig Dawson,ENG,DF,35,10.8,484,559,86.6,9745,3180,149,161,92.5,267,287,93.0,57,95,60.0,0,0.0,0.1,0.0,2,22,1,0,20
Gonçalo Guedes,POR,"MF,FW",28,9.3,205,281,73.0,3368,838,106,125,84.8,80,105,76.2,13,30,43.3,4,1.1,0.7,2.9,11,13,17,5,33
Sam Johnstone,ENG,GK,32,7.0,184,278,66.2,5548,4270,31,32,96.9,80,82,97.6,72,160,45.0,0,0.0,0.0,0.0,1,6,0,0,0
Pablo Sarabia,ESP,"MF,FW",33,8.3,279,398,70.1,4763,1807,129,147,87.8,98,129,76.0,35,72,48.6,2,1.6,1.8,0.4,13,38,18,2,57
Rodrigo Gomes,POR,"DF,FW",21,7.8,180,267,67.4,2629,909,105,133,78.9,64,91,70.3,6,24,25.0,0,0.9,0.7,-0.9,12,10,12,4,25
Hwang Hee-chan,KOR,"MF,FW",29,7.2,159,195,81.5,2061,395,107,123,87.0,40,47,85.1,4,5,80.0,0,0.1,0.3,-0.1,3,7,4,2,12
Yerson Mosquera,COL,DF,24,4.9,205,240,85.4,3996,1184,66,73,90.4,115,123,93.5,22,35,62.9,0,0.1,0.0,-0.1,2,16,1,1,7
Tommy Doyle,ENG,MF,23,5.4,321,392,81.9,6591,2010,112,119,94.1,138,155,89.0,61,93,65.6,1,0.5,0.3,0.5,7,44,3,0,40
Carlos Forbs,POR,"MF,FW",21,2.7,60,91,65.9,788,228,39,51,76.5,19,26,73.1,1,5,20.0,0,0.0,0.1,0.0,1,2,3,1,8
Daniel Bentley,ENG,GK,31,1.0,20,34,58.8,552,422,2,2,100.0,12,12,100.0,6,20,30.0,0,0.0,0.0,0.0,0,0,0,0,0
Pedro Lima,BRA,DF,18,0.8,28,38,73.7,457,188,14,17,82.4,11,14,78.6,3,5,60.0,0,0.1,0.1,-0.1,2,2,3,2,4
Daniel Podence,POR,"MF,FW",29,0.5,11,16,68.8,132,78,7,7,100.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,1,0,2
Nasser Djiga,BFA,"DF,FW",22,0.2,8,8,100.0,113,32,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Chiquinho,POR,MF,25,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0
Mateus Mane,,MF,na,0.0,4,5,80.0,60,0,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Alfie Pond,ENG,DF,21,0.0,1,1,100.0,23,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Boubacar Traoré,MLI,MF,23,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
