player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Milos Kerkez,HUN,DF,20,37.1,1346,1776,75.8,20911,6878,747,832,89.8,481,617,78.0,84,218,38.5,5,3.9,2.6,1.1,35,87,41,27,159
Antoine Semenyo,GHA,FW,24,35.6,821,1119,73.4,11674,2915,501,586,85.5,252,334,75.4,37,97,38.1,5,5.8,4.3,-0.8,46,49,45,8,109
Illia Zabarnyi,UKR,DF,21,34.5,1404,1710,82.1,29649,10860,373,418,89.2,833,914,91.1,187,346,54.0,1,0.7,0.8,0.3,12,153,7,0,140
Lewis Cook,ENG,"MF,DF",27,33.1,1224,1585,77.2,21139,7153,542,635,85.4,546,641,85.2,109,240,45.4,3,4.1,3.8,-1.1,48,157,26,11,158
Kepa Arrizabalaga,ESP,GK,29,31.0,752,1027,73.2,20531,13943,120,122,98.4,390,397,98.2,241,500,48.2,0,0.0,0.0,0.0,1,10,0,0,2
Justin Kluivert,NED,MF,25,26.0,582,782,74.4,8844,2330,322,382,84.3,189,248,76.2,45,87,51.7,6,4.8,3.7,1.2,45,45,35,6,105
Evanilson,BRA,FW,24,25.8,244,342,71.3,3038,622,154,202,76.2,54,72,75.0,11,16,68.8,1,1.9,1.8,-0.9,26,14,6,0,28
Ryan Christie,SCO,MF,29,23.5,837,1056,79.3,14882,4269,368,417,88.2,378,430,87.9,82,168,48.8,3,3.5,3.0,-0.5,41,118,33,5,137
Dean Huijsen,ESP,DF,19,27.0,1355,1625,83.4,27219,10928,449,500,89.8,712,781,91.2,181,304,59.5,2,2.0,1.6,0.0,15,180,7,2,132
Dango Ouattara,BFA,FW,22,22.3,367,612,60.0,5725,1706,210,288,72.9,120,193,62.2,25,67,37.3,4,5.5,3.3,-1.5,35,21,26,11,43
Tyler Adams,USA,MF,25,21.8,902,1069,84.4,14322,3525,437,489,89.4,393,443,88.7,38,65,58.5,3,1.0,0.8,2.0,18,67,4,1,76
