player,nation,position,age,90s_played,total_passes_completed,total_passes_attempted,pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,xAG,xA,assist_xAG_diff,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Bruno Fernandes,POR,MF,29,33.5,1707,2242,76.1,30541,10698,802,919,87.3,629,769,81.8,223,405,55.1,10,8.5,8.0,1.5,91,214,85,11,325
André Onana,CMR,GK,28,34.0,948,1306,72.6,22819,13922,220,222,99.1,524,529,99.1,199,544,36.6,0,0.2,0.2,-0.2,1,28,0,0,1
Noussair Mazraoui,MAR,DF,26,31.5,1526,1781,85.7,23059,8056,834,913,91.3,574,644,89.1,73,130,56.2,1,1.5,1.9,-0.5,20,125,20,5,115
Diogo Dalot,POR,DF,25,31.3,1347,1673,80.5,21723,6617,694,773,89.8,525,641,81.9,95,170,55.9,3,2.0,2.5,1.0,26,61,25,8,103
Matthijs de Ligt,NED,DF,24,23.6,1241,1380,89.9,21810,5955,454,482,94.2,728,771,94.4,53,108,49.1,0,0.3,0.3,-0.3,6,63,2,1,55
Alejandro Garnacho,ARG,"MF,FW",20,24.4,649,823,78.9,9138,1181,405,458,88.4,183,223,82.1,31,52,59.6,2,4.5,2.8,-2.5,37,22,25,5,56
Rasmus Højlund,DEN,FW,21,22.3,251,336,74.7,2741,486,183,226,81.0,42,62,67.7,4,6,66.7,0,1.8,1.1,-1.8,16,14,5,1,18
Manuel Ugarte Ribeiro,URU,MF,23,19.8,800,910,87.9,13018,2801,410,457,89.7,310,333,93.1,62,83,74.7,2,1.1,0.7,0.9,10,59,9,3,61
Amad Diallo,CIV,"MF,FW",22,21.1,795,949,83.8,11030,2193,493,542,91.0,227,264,86.0,40,72,55.6,6,4.9,4.2,1.1,49,27,35,7,60
Lisandro Martínez,ARG,DF,26,19.5,1200,1342,89.4,20292,7055,522,554,94.2,601,646,93.0,64,116,55.2,1,1.1,1.3,-0.1,9,91,18,2,117
Harry Maguire,ENG,DF,31,19.5,965,1128,85.5,17965,6236,354,392,90.3,517,568,91.0,80,139,57.6,0,0.6,0.3,-0.6,9,48,4,0,51
Kobbie Mainoo,ENG,MF,19,18.3,723,836,86.5,9649,2346,452,490,92.2,192,219,87.7,31,45,68.9,0,1.6,1.8,-1.6,14,50,12,1,65
Casemiro,BRA,MF,32,16.6,780,990,78.8,13010,4069,369,425,86.8,313,374,83.7,69,113,61.1,0,2.3,2.0,-2.3,22,81,23,6,84
Joshua Zirkzee,NED,"FW,MF",23,15.6,292,410,71.2,3600,901,196,251,78.1,61,82,74.4,9,18,50.0,1,1.5,1.1,-0.5,12,26,6,0,44
Leny Yoro,FRA,DF,18,12.9,708,766,92.4,11513,3678,313,328,95.4,351,373,94.1,27,41,65.9,0,0.1,0.2,-0.1,2,44,5,1,52
Marcus Rashford,ENG,"FW,MF",26,10.9,253,343,73.8,3508,868,168,201,83.6,56,85,65.9,14,28,50.0,1,2.1,1.4,-1.1,15,13,16,8,21
Christian Eriksen,DEN,MF,32,11.8,590,749,78.8,9936,3131,312,339,92.0,194,242,80.2,62,130,47.7,2,3.2,2.6,-1.2,31,54,13,6,55
Patrick Dorgu,DEN,DF,19,9.4,400,494,81.0,5631,1295,250,280,89.3,124,159,78.0,12,28,42.9,0,0.7,1.3,-0.7,12,23,11,2,34
Mason Mount,ENG,MF,25,6.9,207,253,81.8,3015,709,120,138,87.0,58,71,81.7,13,18,72.2,0,0.6,0.6,-0.6,8,19,8,2,33
Victor Lindelöf,SWE,DF,30,7.8,362,386,93.8,6074,1912,154,163,94.5,184,191,96.3,20,26,76.9,0,0.1,0.1,-0.1,3,17,2,1,26
Altay Bayındır,TUR,GK,26,4.0,92,152,60.5,2444,1386,13,13,100.0,52,55,94.5,26,81,32.1,0,0.0,0.0,0.0,0,1,0,0,0
Luke Shaw,ENG,DF,29,3.9,249,290,85.9,4252,1388,118,127,92.9,108,119,90.8,20,33,60.6,0,0.7,0.8,-0.7,5,20,3,1,24
Harry Amass,ENG,DF,17,3.8,149,181,82.3,1920,387,97,105,92.4,44,56,78.6,3,11,27.3,0,0.0,0.1,0.0,1,5,0,0,7
Jonny Evans,NIR,DF,36,3.5,192,217,88.5,3090,906,90,95,94.7,89,100,89.0,7,14,50.0,0,0.0,0.0,0.0,0,10,1,0,10
Ayden Heaven,ENG,DF,17,1.9,90,106,84.9,1542,458,35,39,89.7,51,56,91.1,3,7,42.9,0,0.0,0.0,0.0,1,4,0,0,7
Tyler Fredricson,ENG,DF,19,1.8,110,122,90.2,1932,434,47,50,94.0,54,59,91.5,8,9,88.9,0,0.0,0.0,0.0,0,8,0,0,8
Tyrell Malacia,NED,DF,24,1.1,49,55,89.1,642,260,31,33,93.9,13,14,92.9,2,2,100.0,0,0.0,0.0,0.0,1,7,1,0,3
Chidozie Obi-Martin,DEN,FW,16,1.8,20,24,83.3,259,49,10,11,90.9,7,9,77.8,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
Toby Collyer,ENG,MF,20,2.0,76,92,82.6,1127,121,37,43,86.0,32,37,86.5,3,4,75.0,0,0.3,0.4,-0.3,2,3,1,0,5
Antony,BRA,"DF,MF",24,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6
Scott McTominay,SCO,MF,27,0.2,10,10,100.0,186,99,5,5,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1
Squad Total,,,25,38.0,16837,20415,82.5,278154,89708,8233,9125,90.2,6855,7768,88.2,1257,2438,51.6,29,39.7,35.6,-10.7,406,1141,335,73,1448
Opponent Total,,,26,38.0,14277,17770,80.3,237786,82285,6938,7804,88.9,5842,6729,86.8,1071,2230,48.0,36,38.4,32.2,-2.4,309,1064,239,59,1184
