Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Vardy,ENG,FW,38,34,34,2744,30.5,8,4,12,7,1,2,5,0,10.7,9.2,3.0,12.2,28,21,116,0.26,0.13,0.39,0.23,0.36,0.35,0.10,0.45,0.30,0.40
Justin,ENG,DF,27,34,32,2759,30.7,2,1,3,2,0,0,6,0,1.5,1.5,0.6,2.1,39,87,94,0.07,0.03,0.10,0.07,0.10,0.05,0.02,0.07,0.05,0.07
Faes,BEL,DF,27,32,28,2635,29.3,1,0,1,1,0,0,4,0,1.5,1.5,0.1,1.6,12,83,1,0.03,0.00,0.03,0.03,0.03,0.05,0.00,0.06,0.05,0.06
Victor Bernth Kristiansen,DEN,DF,22,29,28,2394,26.6,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,39,69,75,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06
Hermansen,DEN,GK,24,27,27,2385,26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ndidi,NGA,MF,28,27,27,2237,24.9,0,4,4,0,0,0,8,0,2.0,2.0,1.9,3.9,18,67,75,0.00,0.16,0.16,0.00,0.16,0.08,0.08,0.16,0.08,0.16
Bilal El Khannouss,MAR,MF,21,31,26,2092,23.2,2,3,5,2,0,0,4,0,1.2,1.2,4.3,5.5,72,122,84,0.09,0.13,0.22,0.09,0.22,0.05,0.18,0.24,0.05,0.24
Soumaré,FRA,MF,26,29,23,1991,22.1,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,32,100,22,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Winks,ENG,MF,29,22,17,1538,17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.09,0.01,0.09
Coady,ENG,DF,32,20,17,1534,17.0,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,3,30,0,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.03,0.02,0.03
Ayew,GHA,"FW,MF",33,28,17,1485,16.5,5,0,5,4,1,1,5,0,3.0,2.2,1.0,3.2,43,39,79,0.30,0.00,0.30,0.24,0.24,0.18,0.06,0.24,0.13,0.19
Mavididi,ENG,FW,26,30,16,1615,17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.10,0.15,0.25,0.10,0.25
Vestergaard,DEN,DF,32,18,16,1391,15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Buonanotte,ARG,"FW,MF",20,30,14,1504,16.7,5,2,7,5,0,0,8,0,3.9,3.9,3.1,7.0,39,54,72,0.30,0.12,0.42,0.30,0.42,0.24,0.18,0.42,0.24,0.42
Okoli,ITA,DF,23,19,12,1125,12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05
Thomas,ENG,DF,23,12,11,949,10.5,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,4,33,15,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08
