Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Virgil van Dijk,NED,DF,33-309,36,36,3240.0,36.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.2,2.2,0.7,3.0,18.0,182.0,6.0,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08
Salah,EGY,FW,32-332,36,36,3191.0,35.5,28.0,18.0,46.0,19.0,9.0,9.0,1.0,0.0,24.0,17.0,13.5,30.5,148.0,137.0,455.0,0.79,0.51,1.3,0.54,1.04,0.68,0.38,1.06,0.48,0.86
Gravenberch,NED,MF,22-362,35,35,3003.0,33.4,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,2.9,4.0,66.0,171.0,54.0,0.0,0.12,0.12,0.0,0.12,0.03,0.09,0.12,0.03,0.12
Alexis Mac Allister,ARG,MF,26-140,35,30,2600.0,28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,4.7,7.5,36.0,177.0,80.0,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26
Konaté,FRA,DF,25-353,29,28,2410.0,26.8,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,1.0,2.7,21.0,105.0,3.0,0.04,0.07,0.11,0.04,0.11,0.06,0.04,0.1,0.06,0.1
Robertson,SCO,DF,31-063,32,28,2398.0,26.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.2,1.2,4.6,5.8,62.0,167.0,97.0,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.22,0.04,0.22
Alexander-Arnold,ENG,DF,26-218,32,28,2320.0,25.8,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,1.9,1.9,6.7,8.6,50.0,228.0,90.0,0.12,0.23,0.35,0.12,0.35,0.07,0.26,0.33,0.07,0.33
Szoboszlai,HUN,MF,24-200,34,27,2369.0,26.3,5.0,6.0,11.0,5.0,0.0,0.0,6.0,0.0,7.2,7.2,7.2,14.4,68.0,121.0,122.0,0.19,0.23,0.42,0.19,0.42,0.27,0.27,0.55,0.27,0.55
Díaz,COL,FW,28-120,34,27,2303.0,25.6,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0,11.3,11.3,5.0,16.3,106.0,106.0,274.0,0.51,0.2,0.7,0.51,0.7,0.44,0.2,0.64,0.44,0.64
Alisson,BRA,GK,32-223,26,26,2328.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Gakpo,NED,FW,26-006,33,21,1782.0,19.8,10.0,3.0,13.0,10.0,0.0,0.0,5.0,0.0,6.9,6.9,3.5,10.4,53.0,52.0,256.0,0.51,0.15,0.66,0.51,0.66,0.35,0.18,0.53,0.35,0.53
Jones,ENG,"MF,DF",24-103,31,18,1594.0,17.7,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,4.2,4.2,1.0,5.3,26.0,99.0,73.0,0.17,0.17,0.34,0.17,0.34,0.24,0.06,0.3,0.24,0.3
Jota,POR,FW,28-160,25,14,1166.0,13.0,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,7.6,7.6,1.8,9.4,37.0,33.0,87.0,0.46,0.23,0.69,0.46,0.69,0.59,0.14,0.73,0.59,0.73
Kelleher,IRL,GK,26-171,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Núñez,URU,FW,25-323,28,8,1075.0,11.9,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,5.3,5.3,1.3,6.6,23.0,27.0,73.0,0.42,0.17,0.59,0.42,0.59,0.44,0.11,0.55,0.44,0.55
Tsimikas,GRE,DF,29-001,17,8,747.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.1,2.5,16.0,71.0,42.0,0.0,0.12,0.12,0.0,0.12,0.05,0.26,0.3,0.05,0.3
Gomez,ENG,DF,27-355,9,6,519.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,5.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08
Bradley,NIR,DF,21-308,17,5,633.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.5,1.1,28.0,27.0,31.0,0.0,0.14,0.14,0.0,0.14,0.08,0.07,0.15,0.08,0.15
