Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Unnamed: 33_level_0 Matches
Bart Verbruggen,nl NED,GK,22-268,34,34,3060,34.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Jan Paul van Hecke,nl NED,DF,24-339,32,31,2778,30.9,1,1,2,1,0,0,8,1,1.3,1.3,1.5,2.7,53,217,5,0.03,0.03,0.06,0.03,0.06,0.04,0.05,0.09,0.04,0.09,Matches
Carlos Baleba,cm CMR,MF,21-130,32,29,2481,27.6,3,1,4,3,0,0,8,1,3.0,3.0,1.3,4.3,40,114,28,0.11,0.04,0.15,0.11,0.15,0.11,0.05,0.15,0.11,0.15,Matches
Kaoru Mitoma,jp JPN,"FW,MF",27-358,34,28,2532,28.1,9,3,12,9,0,0,1,0,8.8,8.8,4.4,13.2,139,82,279,0.32,0.11,0.43,0.32,0.43,0.31,0.16,0.47,0.31,0.47,Matches
Pervis Estupiñán,ec ECU,DF,27-112,29,25,2312,25.7,1,1,2,1,0,0,5,0,1.1,1.1,2.1,3.1,57,121,109,0.04,0.04,0.08,0.04,0.08,0.04,0.08,0.12,0.04,0.12,Matches
Lewis Dunk,eng ENG,DF,33-173,25,23,2083,23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches
Danny Welbeck,eng ENG,FW,34-168,29,23,2032,22.6,10,4,14,9,1,1,5,0,8.9,8.1,1.3,9.4,20,45,88,0.44,0.18,0.62,0.40,0.58,0.39,0.06,0.45,0.36,0.42,Matches
João Pedro,br BRA,"FW,MF",23-229,27,23,1948,21.6,10,6,16,5,5,5,4,1,8.9,5.0,5.0,10.0,66,78,128,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,Matches
Jack Hinshelwood,eng ENG,"DF,MF",20-032,24,21,1745,19.4,2,2,4,2,0,0,5,0,1.5,1.5,1.3,2.8,18,63,47,0.10,0.10,0.21,0.10,0.21,0.08,0.07,0.14,0.08,0.14,Matches
Yasin Ayari,se SWE,MF,21-219,32,20,1848,20.5,1,1,2,1,0,0,3,0,2.3,2.3,2.2,4.5,30,72,60,0.05,0.05,0.10,0.05,0.10,0.11,0.11,0.22,0.11,0.22,Matches
Joël Veltman,nl NED,DF,33-118,20,19,1665,18.5,0,0,0,0,0,0,4,0,0.5,0.5,0.5,0.9,30,80,32,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Georginio Rutter,fr FRA,"MF,FW",23-023,28,19,1656,18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches
Yankuba Minteh,gm GAM,"FW,MF",20-295,30,18,1666,18.5,6,4,10,6,0,0,6,0,4.0,4.0,4.9,8.9,77,42,174,0.32,0.22,0.54,0.32,0.54,0.21,0.26,0.48,0.21,0.48,Matches
Matt O'Riley,dk DEN,MF,24-173,19,11,905,10.1,1,1,2,1,0,0,1,0,2.0,2.0,1.7,3.7,20,36,49,0.10,0.10,0.20,0.10,0.20,0.20,0.17,0.37,0.20,0.37,Matches
Simon Adingra,ci CIV,"FW,MF",23-132,27,10,988,11.0,2,2,4,2,0,0,0,0,2.2,2.2,2.3,4.6,41,15,120,0.18,0.18,0.36,0.18,0.36,0.20,0.21,0.42,0.20,0.42,Matches
Tariq Lamptey,gh GHA,DF,24-225,15,10,860,9.6,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,32,14,45,0.21,0.21,0.42,0.21,0.42,0.04,0.08,0.12,0.04,0.12,Matches
Igor,br BRA,DF,27-095,12,9,903,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Adam Webster,eng ENG,DF,30-129,12,9,707,7.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,41,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.00,0.07,Matches
Mats Wieffer,nl NED,"MF,DF",25-178,23,8,835,9.3,1,3,4,1,0,0,6,0,0.7,0.7,1.5,2.2,18,55,18,0.11,0.32,0.43,0.11,0.43,0.08,0.16,0.24,0.08,0.24,Matches
Brajan Gruda,de GER,"MF,FW",20-347,19,6,540,6.0,1,3,4,1,0,0,0,0,1.0,1.0,1.5,2.5,17,17,48,0.17,0.50,0.67,0.17,0.67,0.16,0.25,0.42,0.16,0.42,Matches
Ferdi Kadioglu,tr TUR,"DF,MF",25-218,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches
Diego Gómez,py PAR,MF,22-047,14,4,453,5.0,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,6,22,14,0.00,0.00,0.00,0.00,0.00,0.14,0.10,0.24,0.14,0.24,Matches
James Milner,eng ENG,MF,39-129,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
Julio Enciso,py PAR,"MF,FW",21-110,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.38,0.31,0.38,Matches
Evan Ferguson,ie IRL,FW,20-206,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35,Matches
Jason Steele,eng ENG,GK,34-268,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Solly March,eng ENG,"FW,MF",30-297,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.19,0.05,0.19,Matches
Billy Gilmour,sct SCO,MF,23-336,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Eiran Cashin,ie IRL,DF,23-185,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jakub Moder,pl POL,MF,26-036,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45,Matches
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jeremy Sarmiento,ec ECU,MF,22-331,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Valentín Barco,ar ARG,MF,20-294,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Killian Cahill,ie IRL,GK,21-191,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Harry Howell,eng ENG,FW,16-226,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joe Knight,eng ENG,MF,19-234,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ruairi Mcconville,nir NIR,DF,20-012,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mark O'Mahony,ie IRL,FW,20-119,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Carl Rushworth,eng ENG,GK,23-315,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Imari Samuels,eng ENG,DF,22-097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Freddie Simmonds,eng ENG,DF,17-065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jacob Slater,eng ENG,DF,20-220,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Charlie Tasker,eng ENG,DF,19-078,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.7,36,396,3240,36.0,57,38,95,51,6,6,76,3,54.3,49.6,37.8,87.4,766,1432,1416,1.58,1.06,2.64,1.42,2.47,1.51,1.05,2.56,1.38,2.43,
