Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Bueno,URU,DF,26-186,28,18,1683,18.7,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Lemina,GAB,"MF,DF",31-255,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17
Agbadou,CIV,DF,27-331,14,14,1230,13.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,3,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Munetsi,ZIM,"MF,FW",28-326,12,11,968,10.8,1,1,2,1,0,0,0,0,3.2,3.2,1.6,4.7,7,8,28,0.09,0.09,0.19,0.09,0.19,0.29,0.14,0.44,0.29,0.44
Dawson,ENG,DF,35-008,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Guedes,POR,"MF,FW",28-166,27,8,841,9.3,2,4,6,2,0,0,1,0,2.8,2.8,1.1,3.9,36,33,66,0.21,0.43,0.64,0.21,0.64,0.30,0.12,0.41,0.30,0.41
Johnstone,ENG,GK,32-050,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sarabia,ESP,"MF,FW",33-003,22,6,748,8.3,3,2,5,3,0,0,3,0,2.9,2.9,1.6,4.5,12,57,54,0.36,0.24,0.60,0.36,0.60,0.35,0.19,0.54,0.35,0.54
Gomes,POR,"DF,FW",21-311,23,6,704,7.8,2,0,2,2,0,0,0,0,0.6,0.6,0.9,1.5,22,25,72,0.26,0.00,0.26,0.26,0.26,0.07,0.12,0.19,0.07,0.19
Hee-chan,KOR,"MF,FW",29-108,20,5,651,7.2,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,15,12,41,0.28,0.00,0.28,0.28,0.28,0.11,0.02,0.13,0.11,0.13
