Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dixon,ENG,DF,20-139,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Armstrong,ENG,MF,18-115,3,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,Matches
Chermiti,POR,"FW,MF",20-355,4,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches
Holgate,ENG,"FW,DF",28-204,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bates,ENG,MF,19-228,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Begović,BIH,GK,37-328,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ebere,GER,MF,19-239,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Heath,ENG,FW,20-198,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Maupay,FRA,"FW,MF",28-273,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Metcalfe,ENG,MF,20-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sherif,NED,FW,18-338,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Virgínia,POR,GK,25-216,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Total,,,28.8,36,396,3240.0,36.0,36.0,25.0,61.0,34.0,2.0,2.0,77.0,2.0,37.9,36.4,29.0,65.3,461.0,984.0,968.0,1.0,0.69,1.69,0.94,1.64,1.05,0.81,1.86,1.01,1.81,
Total,,,27.0,36,396,3240.0,36.0,44.0,35.0,79.0,44.0,0.0,2.0,44.0,2.0,43.9,42.2,33.0,75.2,682.0,1539.0,1528.0,1.22,0.97,2.19,1.22,2.19,1.22,0.92,2.14,1.17,2.09,
