Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gvardiol,CRO,DF,23-111,35,34,3097.0,34.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,4.4,4.1,2.0,6.1,87.0,256.0,112.0,0.15,0.0,0.15,0.15,0.15,0.13,0.06,0.19,0.12,0.18,Matches
Haaland,NOR,FW,24-297,29,29,2570.0,28.6,21.0,3.0,24.0,19.0,2.0,3.0,2.0,0.0,20.9,18.5,2.9,21.4,20.0,18.0,110.0,0.74,0.11,0.84,0.67,0.77,0.73,0.1,0.83,0.65,0.75,Matches
Silva,POR,"MF,FW",30-277,31,27,2491.0,27.7,3.0,4.0,7.0,3.0,0.0,0.0,7.0,0.0,3.6,3.6,4.4,8.0,98.0,122.0,191.0,0.11,0.14,0.25,0.11,0.25,0.13,0.16,0.29,0.13,0.29,Matches
Ederson,BRA,GK,31-270,24,24,2140.0,23.8,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,1.5,0.0,2.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.07,0.07,0.0,0.07,Matches
Kovačić,CRO,MF,31-008,30,24,2132.0,23.7,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,1.9,1.9,3.6,5.4,54.0,156.0,15.0,0.25,0.04,0.3,0.25,0.3,0.08,0.15,0.23,0.08,0.23,Matches
Dias,POR,DF,28-000,25,23,2091.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,0.3,1.8,38.0,143.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.08,0.06,0.08,Matches
Gündoğan,GER,MF,34-202,31,23,2050.0,22.8,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,2.7,2.7,2.8,5.5,57.0,115.0,86.0,0.0,0.22,0.22,0.0,0.22,0.12,0.12,0.24,0.12,0.24,Matches
Lewis,ENG,"DF,MF",20-174,28,21,1893.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.4,1.4,0.3,1.7,39.0,107.0,78.0,0.05,0.1,0.14,0.05,0.14,0.07,0.02,0.08,0.07,0.08,Matches
Akanji,SUI,DF,29-299,24,21,1834.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,0.4,1.5,41.0,150.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Sávio,BRA,"FW,MF",21-034,28,21,1749.0,19.4,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,5.0,5.0,6.9,11.9,135.0,66.0,244.0,0.05,0.41,0.46,0.05,0.46,0.26,0.35,0.61,0.26,0.61,Matches
Foden,ENG,"MF,FW",24-351,27,20,1768.0,19.6,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.2,5.2,4.8,9.9,50.0,103.0,128.0,0.36,0.1,0.46,0.36,0.46,0.26,0.24,0.51,0.26,0.51,Matches
Kevin De Bruyne,BEL,"MF,FW",33-320,26,18,1628.0,18.1,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,4.2,4.2,7.9,12.1,50.0,153.0,143.0,0.22,0.39,0.61,0.22,0.61,0.23,0.44,0.67,0.23,0.67,Matches
Nunes,POR,"DF,MF",26-260,24,17,1494.0,16.6,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,4.2,5.1,59.0,69.0,156.0,0.06,0.3,0.36,0.06,0.36,0.05,0.25,0.31,0.05,0.31,Matches
Doku,BEL,"FW,MF",22-352,27,15,1442.0,16.0,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,4.7,5.7,201.0,67.0,274.0,0.19,0.37,0.56,0.19,0.56,0.06,0.29,0.36,0.06,0.36,Matches
Ortega,GER,GK,32-189,13,12,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
