Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Unnamed: 33_level_0 Matches
Kyle Walker-Peters,eng ENG,DF,28-030,33,33,2918.0,32.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,2.8,3.6,114.0,139.0,144.0,0.0,0.06,0.06,0.0,0.06,0.03,0.09,0.11,0.03,0.11,Matches
Mateus Fernandes,pt POR,MF,20-307,34,32,2729.0,30.3,2.0,3.0,5.0,2.0,0.0,0.0,8.0,0.0,3.8,3.8,2.6,6.4,75.0,135.0,103.0,0.07,0.1,0.16,0.07,0.16,0.13,0.09,0.21,0.13,0.21,Matches
Taylor Harwood-Bellis,eng ENG,DF,23-103,33,31,2744.0,30.5,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.8,1.8,1.0,2.8,29.0,121.0,9.0,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,Matches
Jan Bednarek,pl POL,DF,29-031,30,30,2531.0,28.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,0.5,1.2,5.0,60.0,2.0,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches
Aaron Ramsdale,eng ENG,GK,26-364,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Flynn Downes,eng ENG,MF,26-113,25,23,1971.0,21.9,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.6,0.6,1.1,1.7,25.0,63.0,29.0,0.05,0.0,0.05,0.05,0.05,0.03,0.05,0.08,0.03,0.08,Matches
Joe Aribo,ng NGA,"MF,DF",28-296,31,20,1954.0,21.7,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.7,2.7,1.6,4.3,35.0,72.0,65.0,0.14,0.0,0.14,0.14,0.14,0.12,0.07,0.2,0.12,0.2,Matches
Tyler Dibling,eng ENG,"FW,MF",19-062,32,19,1807.0,20.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.5,2.5,1.5,4.1,68.0,64.0,94.0,0.1,0.0,0.1,0.1,0.1,0.13,0.08,0.2,0.13,0.2,Matches
Ryan Manning,ie IRL,"DF,MF",28-333,24,18,1462.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,3.2,3.6,14.0,35.0,74.0,0.0,0.06,0.06,0.0,0.06,0.02,0.2,0.22,0.02,0.22,Matches
Lesley Ugochukwu,fr FRA,MF,21-048,25,17,1570.0,17.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,1.0,1.9,29.0,49.0,20.0,0.06,0.06,0.11,0.06,0.11,0.05,0.06,0.11,0.05,0.11,Matches
Jack Stephens,eng ENG,DF,31-106,18,16,1299.0,14.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.6,0.6,0.2,0.7,13.0,53.0,2.0,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches
Yukinari Sugawara,jp JPN,"DF,MF",24-319,29,15,1467.0,16.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.2,2.7,32.0,68.0,76.0,0.06,0.06,0.12,0.06,0.12,0.03,0.14,0.17,0.03,0.17,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",23-087,24,15,1265.0,14.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,1.0,2.4,59.0,26.0,81.0,0.07,0.07,0.14,0.07,0.14,0.1,0.07,0.17,0.1,0.17,Matches
Adam Armstrong,eng ENG,"FW,MF",28-092,20,15,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Cameron Archer,eng ENG,FW,23-296,33,13,1398.0,15.5,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,5.1,4.3,0.4,4.7,20.0,14.0,65.0,0.13,0.0,0.13,0.13,0.13,0.33,0.03,0.36,0.28,0.3,Matches
James Bree,eng ENG,DF,27-214,16,12,985.0,10.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,12.0,31.0,37.0,0.0,0.09,0.09,0.0,0.09,0.01,0.08,0.09,0.01,0.09,Matches
Paul Onuachu,ng NGA,FW,30-350,24,11,1029.0,11.4,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,3.6,3.6,0.5,4.1,7.0,13.0,40.0,0.35,0.09,0.44,0.35,0.44,0.32,0.04,0.36,0.32,0.36,Matches
Nathan Wood-Gordon,eng ENG,DF,22-347,9,7,624.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches
William Smallbone,ie IRL,MF,25-081,16,6,647.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.6,1.1,5.0,25.0,23.0,0.14,0.0,0.14,0.14,0.14,0.06,0.09,0.15,0.06,0.15,Matches
Alex McCarthy,eng ENG,GK,35-161,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adam Lallana,eng ENG,MF,37-003,14,5,361.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,6.0,24.0,10.0,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,Matches
Ben Brereton,cl CHI,FW,26-025,10,4,449.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.1,1.0,12.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,Matches
Ryan Fraser,sct SCO,"FW,DF",31-078,8,4,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,10.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Welington,br BRA,"DF,MF",24-083,8,4,302.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Ross Stewart,sct SCO,FW,28-306,10,3,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Joe Lumley,eng ENG,GK,30-087,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Armel Bella Kotchap,de GER,DF,23-153,4,2,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Charlie Taylor,eng ENG,DF,31-237,7,2,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Albert Grønbaek,dk DEN,"FW,MF",23-355,4,2,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches
Maxwel Cornet,ci CIV,FW,28-228,2,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
