Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21.0,1,0,0,0,1,0,0,0,0,0,0,1,24,12,0,100.0,Matches
Adrien Truffert,fr FRA,DF,24-055,20.5,3,0,0,22,20,0,93,23,33,0,0,0,105,29,30,49.2,Matches
Antoine Semenyo,gh GHA,"FW,MF",26-007,20.0,6,0,0,38,14,12,28,6,20,0,1,0,101,46,53,46.5,Matches
Marcos Senesi,ar ARG,DF,28-249,19.5,6,0,0,18,20,1,19,32,23,0,0,0,88,47,46,50.5,Matches
Marcus Tavernier,eng ENG,"MF,FW",26-298,18.8,3,0,0,19,21,2,65,11,14,0,0,0,89,13,19,40.6,Matches
Alex Scott,eng ENG,MF,22-146,15.7,2,0,0,23,32,0,45,19,21,0,1,0,83,18,14,56.3,Matches
Evanilson,br BRA,FW,26-100,15.6,1,0,0,14,20,18,2,2,3,1,0,0,38,26,52,33.3,Matches
Bafodé Diakité,fr FRA,DF,25-008,14.0,1,0,0,8,5,2,1,12,15,0,1,0,48,34,36,48.6,Matches
Tyler Adams,us USA,MF,26-334,13.3,5,0,0,21,10,1,0,21,16,0,0,0,61,11,15,42.3,Matches
Álex Jiménez,es ESP,"DF,FW",20-251,12.8,5,0,0,15,8,0,26,9,23,0,0,0,53,8,13,38.1,Matches
David Brooks,wls WAL,"FW,MF",28-190,10.4,6,0,0,11,12,2,46,3,9,0,0,0,43,4,8,33.3,Matches
Justin Kluivert,nl NED,MF,26-254,10.2,4,0,0,15,9,2,42,4,6,0,0,0,44,6,21,22.2,Matches
Adam Smith,eng ENG,DF,34-260,5.8,1,0,0,10,4,0,6,3,3,0,0,0,11,9,10,47.4,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-205,6.4,2,0,0,7,4,3,4,3,3,0,0,0,22,3,6,33.3,Matches
James Hill,eng ENG,DF,24-004,6.4,1,0,0,7,5,0,7,12,5,0,0,0,16,31,16,66.0,Matches
Lewis Cook,eng ENG,"MF,DF",28-345,5.6,1,1,0,7,0,0,26,16,11,0,0,0,34,7,11,38.9,Matches
Veljko Milosavljević,rs SRB,DF,18-200,4.1,0,0,0,0,0,0,0,4,4,0,0,0,13,11,16,40.7,Matches
Amine Adli,ma MAR,"FW,MF",25-249,4.9,1,0,0,17,13,2,12,3,6,0,0,0,26,11,9,55.0,Matches
Ryan Christie,sct SCO,MF,30-326,3.3,1,0,0,12,6,0,10,3,2,0,0,0,17,1,2,33.3,Matches
Enes Ünal,tr TUR,"FW,MF",28-249,1.3,1,0,0,3,3,0,2,0,0,0,0,0,3,2,12,14.3,Matches
Ben Gannon-Doak,sct SCO,FW,20-064,0.6,0,0,0,1,1,0,2,1,0,0,0,0,0,1,1,50.0,Matches
Julio Soler,ar ARG,"DF,FW",20-332,0.4,0,0,0,2,2,0,2,0,0,0,0,0,4,0,0,,Matches
Hamed Junior Traorè,ci CIV,MF,25-332,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0.0,Matches
Ben Winterburn,eng ENG,MF,21-132,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,,,25.7,21.0,51,1,0,270,210,45,439,187,217,1,3,1,925,330,393,45.6,
Opponent Total,,,26.7,21.0,43,1,0,222,261,23,356,151,229,3,3,0,882,393,330,54.4,
