Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21.0,3,0,0,1,2,0,0,0,1,0,0,1,52,5,0,100.0,Matches
Jan Paul van Hecke,nl NED,DF,25-220,20.0,5,0,0,14,24,3,10,18,16,0,1,1,60,56,45,55.4,Matches
Lewis Dunk,eng ENG,DF,34-054,19.5,8,0,0,10,7,1,4,22,14,1,1,0,86,40,24,62.5,Matches
Yankuba Minteh,gm GAM,FW,21-176,17.1,0,0,0,17,16,7,82,10,23,1,0,0,63,13,16,44.8,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-099,17.8,4,0,0,12,21,4,68,11,26,0,0,0,75,10,22,31.3,Matches
Yasin Ayari,se SWE,MF,22-100,16.9,0,0,0,16,21,0,22,22,19,0,0,0,99,7,14,33.3,Matches
Georginio Rutter,fr FRA,"MF,FW",23-269,14.9,2,0,0,22,25,8,12,6,13,1,0,1,40,14,17,45.2,Matches
Diego Gómez,py PAR,"MF,FW",22-293,14.1,5,0,0,24,8,1,11,10,27,0,1,0,55,24,19,55.8,Matches
Carlos Baleba,cm CMR,MF,22-011,10.0,4,0,0,21,10,0,0,15,10,0,1,0,51,14,9,60.9,Matches
Mats Wieffer,nl NED,DF,26-059,13.1,4,0,0,20,11,2,8,18,27,0,0,0,68,30,33,47.6,Matches
Danny Welbeck,eng ENG,FW,35-049,12.5,3,0,0,17,4,1,1,4,6,0,0,0,27,8,17,32.0,Matches
Maxim De Cuyper,be BEL,"DF,FW",25-023,10.9,2,0,0,12,16,1,54,8,8,0,1,0,45,6,12,33.3,Matches
Kaoru Mitoma,jp JPN,FW,28-239,8.3,2,0,0,14,5,2,19,6,3,0,0,0,24,6,9,40.0,Matches
Brajan Gruda,de GER,"MF,FW",21-228,7.3,2,0,0,11,13,2,14,2,5,0,0,0,35,8,3,72.7,Matches
Jack Hinshelwood,eng ENG,"MF,DF",20-278,6.6,0,0,0,13,2,0,3,2,7,0,0,0,26,3,8,27.3,Matches
Joël Veltman,nl NED,DF,33-364,6.5,3,0,0,6,14,1,9,15,15,0,0,0,22,9,6,60.0,Matches
James Milner,eng ENG,MF,40-010,3.4,2,0,0,7,2,0,9,2,5,0,0,0,19,3,6,33.3,Matches
Diego Coppola,it ITA,DF,22-017,2.2,2,0,0,4,0,0,0,1,2,0,0,0,6,10,8,55.6,Matches
Matt O'Riley,dk DEN,MF,25-054,2.0,0,0,0,1,0,1,6,0,2,0,0,0,2,1,5,16.7,Matches
Olivier Boscagli,fr FRA,DF,28-057,1.6,1,0,0,3,2,0,4,2,2,0,0,0,10,3,2,60.0,Matches
Charalampos Kostoulas,gr GRE,"FW,MF",18-229,2.0,1,0,0,3,6,2,5,0,6,0,0,0,17,13,12,52.0,Matches
Stefanos Tzimas,gr GRE,"FW,MF",20-008,1.5,0,0,0,4,1,1,1,0,2,0,0,0,10,0,2,0.0,Matches
Pascal Groß,de GER,MF,34-213,1.2,1,0,0,3,1,1,1,3,1,0,0,0,3,2,3,40.0,Matches
Tom Watson,eng ENG,FW,19-281,0.7,1,0,0,3,0,0,0,0,1,0,0,0,4,0,1,0.0,Matches
Joe Knight,eng ENG,MF,20-115,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Nehemiah Oriola,eng ENG,MF,18-217,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.9,21.0,55,0,0,258,211,38,343,177,241,3,5,3,899,285,293,49.3,
Opponent Total,,,26.7,21.0,44,1,0,218,248,25,330,189,233,4,5,1,846,293,285,50.7,
