Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Virgil van Dijk,nl NED,DF,34-190,21.0,3,0,0,8,11,1,1,15,7,0,1,0,44,105,31,77.2,Matches
Ibrahima Konaté,fr FRA,DF,26-234,19.8,5,0,0,21,22,0,2,12,15,0,1,0,60,78,29,72.9,Matches
Dominik Szoboszlai,hu HUN,"MF,DF",25-081,19.9,5,0,0,21,14,1,106,12,22,0,0,0,102,9,9,50.0,Matches
Ryan Gravenberch,nl NED,MF,23-243,18.7,3,0,0,18,22,0,2,27,19,0,0,0,81,19,11,63.3,Matches
Milos Kerkez,hu HUN,DF,22-068,15.7,3,0,0,12,15,4,58,11,21,0,0,0,53,23,20,53.5,Matches
Alexis Mac Allister,ar ARG,MF,27-021,15.4,3,0,0,14,20,0,18,10,10,0,0,0,58,8,12,40.0,Matches
Alisson,br BRA,GK,33-104,16.0,0,0,0,0,3,0,0,0,0,0,0,0,22,2,0,100.0,Matches
Florian Wirtz,de GER,"MF,FW",22-256,15.6,1,0,0,11,14,2,23,6,20,0,0,0,69,5,27,15.6,Matches
Cody Gakpo,nl NED,FW,26-252,14.9,1,0,0,23,28,13,60,6,5,0,0,0,41,29,24,54.7,Matches
Hugo Ekitike,fr FRA,FW,23-208,12.6,0,0,0,21,7,7,7,1,4,0,0,0,25,21,36,36.8,Matches
Mohamed Salah,eg EGY,"FW,MF",33-213,13.1,1,0,0,6,12,10,47,2,3,0,0,0,39,7,12,36.8,Matches
Conor Bradley,nir NIR,DF,22-189,10.3,5,0,0,18,20,1,24,13,15,0,0,0,43,15,16,48.4,Matches
Curtis Jones,eng ENG,MF,24-349,10.8,1,0,0,7,15,0,6,5,13,0,0,0,69,7,12,36.8,Matches
Alexander Isak,se SWE,FW,26-115,5.6,0,0,0,5,0,0,2,0,5,0,0,0,11,5,12,29.4,Matches
Giorgi Mamardashvili,ge GEO,GK,25-107,5.0,0,0,0,1,1,0,0,0,0,0,1,0,7,2,1,66.7,Matches
Andrew Robertson,sct SCO,DF,31-309,5.4,0,0,0,1,0,5,26,5,8,0,0,0,19,10,11,47.6,Matches
Jeremie Frimpong,nl NED,"FW,DF",25-035,4.4,0,0,0,2,5,2,24,3,2,0,0,0,18,3,5,37.5,Matches
Joe Gomez,eng ENG,DF,28-236,2.8,2,0,0,6,0,0,10,6,0,0,0,0,8,4,5,44.4,Matches
Federico Chiesa,it ITA,"FW,MF",28-081,2.7,2,0,0,6,4,2,12,3,6,0,0,0,6,3,3,50.0,Matches
Rio Ngumoha,eng ENG,"FW,MF",17-138,0.6,0,0,0,1,1,0,2,0,1,0,0,0,2,0,1,0.0,Matches
Wataru Endo,jp JPN,"MF,DF",32-339,0.5,1,0,0,1,1,0,0,0,1,0,0,0,0,2,1,66.7,Matches
Trey Nyoni,eng ENG,FW,18-198,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.0,21.0,36,0,0,203,215,49,430,137,177,0,3,0,777,357,278,56.2,
Opponent Total,,,26.8,21.0,42,5,3,226,196,28,330,196,200,3,1,1,759,278,357,43.8,
