Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21.0,2,0,0,0,8,0,0,0,0,0,0,0,41,13,0,100.0,Matches
Granit Xhaka,ch SUI,MF,33-109,20.8,4,0,0,16,24,0,60,18,21,0,0,0,100,42,23,64.6,Matches
Trai Hume,nir NIR,"DF,MF",23-302,19.4,5,0,0,16,19,1,50,17,29,0,0,0,62,43,40,51.8,Matches
Nordi Mukiele,fr FRA,DF,28-074,19.0,3,0,0,18,16,1,29,28,30,0,0,1,82,54,32,62.8,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,17.5,5,0,0,18,18,3,55,15,30,0,0,0,72,10,31,24.4,Matches
Omar Alderete,py PAR,DF,29-019,16.3,3,0,0,15,3,2,5,23,9,0,0,0,51,39,32,54.9,Matches
Noah Sadiki,cd COD,MF,21-028,15.7,4,0,0,13,20,0,13,20,10,0,0,0,49,3,9,25.0,Matches
Daniel Ballard,nir NIR,DF,26-114,13.6,2,0,0,14,17,3,0,10,11,0,0,0,31,68,40,63.0,Matches
Reinildo Mandava,mz MOZ,DF,31-358,11.4,4,1,0,18,24,1,14,17,13,1,1,0,45,16,16,50.0,Matches
Wilson Isidor,fr FRA,FW,25-140,10.9,1,0,0,12,4,9,0,0,5,0,0,0,16,19,52,26.8,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-180,10.9,0,0,0,7,3,0,1,12,11,0,0,0,41,8,8,50.0,Matches
Chemsdine Talbi,ma MAR,"FW,MF",20-250,9.8,0,0,0,2,0,0,30,1,3,0,0,0,35,0,8,0.0,Matches
Simon Adingra,ci CIV,"FW,MF",24-013,7.3,2,0,0,17,3,4,27,2,8,0,0,0,20,9,14,39.1,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-130,6.8,1,0,0,9,11,1,13,2,4,0,0,0,18,6,10,37.5,Matches
Brian Brobbey,nl NED,FW,23-347,7.9,1,0,0,7,15,5,1,0,1,1,0,0,20,33,29,53.2,Matches
Chris Rigg,eng ENG,"FW,MF",18-210,4.2,0,0,0,5,6,1,3,2,4,0,0,0,14,2,5,28.6,Matches
Eliezer Mayenda,es ESP,FW,20-251,5.5,0,0,0,6,9,1,0,1,1,0,0,0,9,9,15,37.5,Matches
Habib Diarra,sn SEN,MF,22-011,4.1,1,0,0,4,1,0,8,2,1,1,0,0,10,3,3,50.0,Matches
Dennis Cirkin,eng ENG,DF,23-283,2.8,1,0,0,2,2,0,3,4,5,0,0,0,5,3,5,37.5,Matches
Arthur Masuaku,cd COD,"DF,MF",32-068,1.4,1,0,0,3,0,0,8,2,2,0,0,0,3,1,0,100.0,Matches
Jenson Seelt,nl NED,DF,22-236,1.5,0,0,0,1,1,0,1,0,0,0,0,0,6,5,1,83.3,Matches
Romaine Mundle,eng ENG,"FW,MF",22-265,2.0,1,0,0,3,4,0,5,1,2,0,0,0,10,4,2,66.7,Matches
Patrick Roberts,eng ENG,"MF,FW",28-343,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Marc Guiu,es ESP,FW,20-010,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20.0,Matches
Dan Neil,eng ENG,MF,24-032,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0.0,Matches
Luke O'Nien,eng ENG,"DF,MF",31-054,0.1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,,Matches
Squad Total,,,25.9,21.0,41,2,0,207,209,32,326,178,201,3,1,1,742,391,382,50.6,
Opponent Total,,,26.8,21.0,35,1,0,217,196,27,485,126,174,1,3,2,833,382,391,49.4,
