Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Bernd Leno,de GER,GK,33-316,21.0,3,0,0,0,3,0,0,1,0,0,0,0,36,9,0,100.0,Matches
Joachim Andersen,dk DEN,DF,29-228,19.5,4,0,0,21,9,0,8,21,15,0,0,0,74,42,20,67.7,Matches
Sander Berge,no NOR,MF,27-334,19.1,3,0,0,20,4,0,9,14,23,0,1,1,78,37,17,68.5,Matches
Harry Wilson,wls WAL,"FW,MF",28-298,16.6,5,0,0,8,23,6,63,7,11,0,0,0,46,2,14,12.5,Matches
Kenny Tete,nl NED,DF,30-097,14.9,2,0,0,14,27,1,26,21,32,0,0,0,56,22,15,59.5,Matches
Alex Iwobi,ng NGA,"MF,FW",29-256,14.8,2,0,0,3,5,1,41,7,11,0,0,0,63,2,6,25.0,Matches
Raúl Jiménez,mx MEX,FW,34-254,14.6,4,0,0,28,10,14,3,5,12,0,0,0,34,47,74,38.8,Matches
Calvin Bassey,ng NGA,DF,26-014,15.1,3,0,0,15,18,0,6,10,15,0,1,0,66,20,19,51.3,Matches
Saša Lukić,rs SRB,MF,29-154,12.7,5,0,0,37,20,0,44,11,18,0,0,0,49,16,24,40.0,Matches
Ryan Sessegnon,eng ENG,DF,25-241,12.5,0,0,0,22,3,3,32,14,14,0,1,0,44,13,17,43.3,Matches
Joshua King,eng ENG,"MF,FW",19-011,9.7,3,0,0,7,18,2,7,2,8,0,0,0,36,2,12,14.3,Matches
Emile Smith Rowe,eng ENG,MF,25-170,10.2,1,0,0,3,5,1,9,14,7,0,0,0,40,4,7,36.4,Matches
Timothy Castagne,be BEL,"DF,FW",30-040,8.5,2,0,0,7,2,0,25,14,9,0,0,0,27,10,13,43.5,Matches
Jorge Cuenca,es ESP,DF,26-058,6.4,3,0,0,5,1,0,2,9,7,0,0,0,27,9,7,56.3,Matches
Kevin,br BRA,"FW,MF",23-010,7.9,1,0,0,9,13,2,37,8,6,1,0,0,32,6,11,35.3,Matches
Antonee Robinson,us USA,DF,28-159,6.5,0,0,0,4,2,2,38,9,10,0,0,0,37,7,4,63.6,Matches
Issa Diop,fr FRA,DF,29-005,4.6,1,0,0,5,1,0,1,2,3,0,0,0,10,6,6,50.0,Matches
Rodrigo Muniz,br BRA,FW,24-255,3.9,1,0,0,9,6,3,0,0,1,0,0,1,7,19,23,45.2,Matches
Tom Cairney,sct SCO,MF,34-359,4.5,2,0,0,4,7,0,3,2,2,0,0,0,22,7,3,70.0,Matches
Samuel Chukwueze,ng NGA,FW,26-237,4.4,0,0,0,4,9,1,8,2,1,0,0,0,24,3,3,50.0,Matches
Adama Traoré,es ESP,"FW,MF",29-354,3.0,0,0,0,6,8,3,15,0,1,0,0,0,12,1,8,11.1,Matches
Jonah Kusi-Asare,se SWE,FW,18-194,0.3,0,0,0,2,1,0,0,0,0,0,0,0,2,1,5,16.7,Matches
Harrison Reed,eng ENG,MF,30-352,0.2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0.0,Matches
Squad Total,,,28.7,21.0,45,0,0,233,196,39,379,173,206,1,3,2,823,285,309,48.0,
Opponent Total,,,26.5,21.0,32,2,0,204,222,53,375,176,184,2,1,3,822,309,285,52.0,
