Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
David Raya,es ESP,GK,30-121,21.0,1,0,0,0,5,0,0,0,0,0,0,0,39,4,0,100.0,Matches
Martín Zubimendi,es ESP,MF,26-346,19.7,4,0,0,22,6,0,5,25,20,0,0,0,72,37,20,64.9,Matches
Declan Rice,eng ENG,MF,27-000,18.8,1,0,0,15,2,1,101,19,20,0,0,0,100,24,13,64.9,Matches
Jurriën Timber,nl NED,DF,24-211,18.2,2,0,0,26,22,0,31,16,28,1,0,0,66,29,15,65.9,Matches
Bukayo Saka,eng ENG,FW,24-131,15.8,1,0,0,18,35,12,80,4,11,0,0,0,74,15,15,50.0,Matches
William Saliba,fr FRA,DF,24-296,15.0,0,0,0,7,9,1,4,7,8,0,0,0,60,38,29,56.7,Matches
Viktor Gyökeres,se SWE,FW,27-224,14.3,3,0,0,16,17,2,5,0,3,0,0,0,27,18,34,34.6,Matches
Riccardo Calafiori,it ITA,DF,23-240,13.9,5,0,0,22,9,2,20,13,17,0,0,0,56,29,19,60.4,Matches
Gabriel Magalhães,br BRA,DF,28-026,14.1,1,0,0,7,16,0,3,13,6,0,0,0,21,43,30,58.9,Matches
Leandro Trossard,be BEL,FW,31-041,12.6,1,0,0,9,20,4,38,4,10,0,0,0,45,4,7,36.4,Matches
Eberechi Eze,eng ENG,"MF,FW",27-199,10.3,0,0,0,7,19,1,6,5,6,0,0,0,36,5,13,27.8,Matches
Martin Ødegaard,no NOR,MF,27-028,9.7,0,0,0,6,4,2,16,7,5,0,0,0,43,2,5,28.6,Matches
Mikel Merino,es ESP,"MF,FW",29-206,10.4,1,0,0,19,18,3,4,7,12,0,0,0,50,24,36,40.0,Matches
Piero Hincapié,ec ECU,DF,24-005,9.9,2,0,0,9,6,0,8,14,10,0,0,0,36,21,16,56.8,Matches
Noni Madueke,eng ENG,FW,23-310,5.7,0,0,0,6,7,0,38,3,3,0,0,0,14,6,5,54.5,Matches
Gabriel Martinelli,br BRA,FW,24-210,5.7,2,0,0,4,9,2,14,0,5,0,0,0,18,2,8,20.0,Matches
Cristhian Mosquera,es ESP,DF,21-201,4.8,1,0,0,1,2,1,0,6,7,0,0,0,16,7,14,33.3,Matches
Ben White,eng ENG,DF,28-098,3.2,0,0,0,3,2,2,9,1,7,0,0,0,16,5,6,45.5,Matches
Myles Lewis-Skelly,eng ENG,DF,19-110,3.6,3,0,0,6,6,0,0,2,3,0,0,0,14,1,7,12.5,Matches
Ethan Nwaneri,eng ENG,MF,18-299,1.9,0,0,0,2,0,0,2,0,0,0,0,0,10,1,3,25.0,Matches
Gabriel Jesus,br BRA,FW,28-286,1.4,1,0,0,3,1,0,0,1,0,0,0,0,7,2,10,16.7,Matches
Christian Nørgaard,dk DEN,MF,31-310,0.4,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,66.7,Matches
Kai Havertz,de GER,FW,26-217,0.3,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,50.0,Matches
Max Dowman,eng ENG,FW,16-014,0.3,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,,Matches
Squad Total,,,26.5,21.0,29,0,0,209,219,33,384,147,183,2,0,0,826,321,308,51.0,
Opponent Total,,,26.8,21.0,38,1,0,225,203,15,245,148,196,0,3,3,703,308,321,49.0,
