Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Jarrod Bowen,eng ENG,"FW,MF",29-025,21.0,2,0,0,11,29,12,63,13,16,0,0,0,80,15,27,35.7,Matches
Lucas Paquetá,br BRA,"MF,FW",28-140,16.8,7,1,1,28,30,5,35,8,22,0,1,0,76,38,49,43.7,Matches
Mateus Fernandes,pt POR,"MF,FW",21-188,16.6,2,0,0,22,25,0,31,17,31,0,0,0,88,10,9,52.6,Matches
Max Kilman,eng ENG,DF,28-236,17.0,4,0,0,16,2,0,3,8,8,0,2,0,42,46,33,58.2,Matches
Alphonse Areola,fr FRA,GK,32-321,17.0,0,0,0,1,1,0,0,1,0,0,1,0,7,4,1,80.0,Matches
El Hadji Malick Diouf,sn SEN,DF,21-017,15.4,3,0,0,15,12,0,56,16,8,0,1,0,54,19,22,46.3,Matches
Jean-Clair Todibo,fr FRA,DF,26-015,13.9,4,0,0,6,2,1,2,12,15,0,0,0,60,18,17,51.4,Matches
Crysencio Summerville,nl NED,"FW,MF",24-076,12.7,3,0,0,26,32,4,18,6,12,1,0,0,52,2,7,22.2,Matches
Konstantinos Mavropanos,gr GRE,DF,28-034,12.1,2,0,0,5,5,0,1,17,10,0,0,1,47,31,19,62.0,Matches
Aaron Wan-Bissaka,cd COD,DF,28-049,11.2,2,0,0,11,7,1,20,21,9,0,0,0,30,10,9,52.6,Matches
Freddie Potts,eng ENG,MF,22-124,10.8,1,0,0,12,12,0,34,9,15,0,0,0,36,17,8,68.0,Matches
Kyle Walker-Peters,eng ENG,DF,28-276,10.6,2,0,0,9,18,1,9,6,21,0,0,0,40,10,16,38.5,Matches
Soungoutou Magassa,fr FRA,MF,22-098,8.2,2,0,0,14,16,0,6,13,19,0,1,0,43,7,12,36.8,Matches
Callum Wilson,eng ENG,FW,33-321,9.0,0,0,0,9,10,5,3,3,1,0,0,0,18,12,32,27.3,Matches
Tomáš Souček,cz CZE,"MF,FW",30-321,8.1,0,1,0,15,7,3,6,5,7,0,0,0,20,32,22,59.3,Matches
Oliver Scarles,eng ENG,DF,20-033,5.2,0,0,0,5,4,1,24,6,15,0,0,0,26,6,4,60.0,Matches
James Ward-Prowse,eng ENG,MF,31-074,4.6,0,0,0,4,2,0,23,5,2,0,0,0,9,3,5,37.5,Matches
Niclas Füllkrug,de GER,FW,32-339,4.5,0,0,0,11,1,3,0,2,1,0,0,0,10,18,30,37.5,Matches
Mads Hermansen,dk DEN,GK,25-187,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,100.0,Matches
Nayef Aguerd,ma MAR,DF,29-290,2.0,0,0,0,0,1,0,2,1,0,0,0,0,8,4,3,57.1,Matches
Guido Rodríguez,ar ARG,MF,31-277,1.9,1,0,0,2,4,0,2,2,0,0,0,0,10,1,1,50.0,Matches
Andy Irving,sct SCO,MF,25-246,1.8,0,0,0,1,0,0,12,1,3,0,0,0,14,0,4,0.0,Matches
Luis Guilherme,br BRA,"FW,MF",19-339,1.4,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0.0,Matches
Igor,br BRA,DF,27-341,1.2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches
Valentín Castellanos,ar ARG,FW,27-103,1.0,0,0,0,2,0,1,0,0,0,0,0,0,3,2,7,22.2,Matches
Ezra Mayers,bb BRB,DF,18-363,1.3,0,0,0,0,0,0,3,1,0,0,0,0,6,3,1,75.0,Matches
Callum Marshall,nir NIR,FW,21-047,0.7,0,0,0,0,0,1,0,2,0,0,0,0,1,1,3,25.0,Matches
Pablo,br BRA,MF,22-012,0.3,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0.0,Matches
Mohamadou Kanté,fr FRA,"FW,MF",20-116,0.2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100.0,Matches
George Earthy,eng ENG,FW,21-131,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.0,21.0,35,2,1,228,221,38,353,176,218,1,6,1,801,313,344,47.6,
Opponent Total,,,26.7,21.0,35,0,0,233,219,26,493,162,214,5,2,2,842,344,313,52.4,
