Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,20.7,4,0,0,24,27,2,21,9,12,0,1,0,72,13,34,27.7,Matches
Ezri Konsa,eng ENG,DF,28-083,19.7,0,1,0,8,24,0,4,14,5,0,0,0,59,14,12,53.8,Matches
Matty Cash,pl POL,DF,28-160,19.7,5,0,0,23,19,3,78,15,18,0,0,0,47,20,16,55.6,Matches
John McGinn,sct SCO,"FW,MF",31-088,17.5,3,0,0,23,36,0,60,11,15,0,0,0,70,8,13,38.1,Matches
Ollie Watkins,eng ENG,FW,30-015,17.4,1,0,0,13,19,11,4,4,6,0,0,0,32,25,31,44.6,Matches
Emiliano Martínez,ar ARG,GK,33-134,16.5,1,0,0,0,8,0,0,0,0,0,0,0,12,3,1,75.0,Matches
Boubacar Kamara,fr FRA,MF,26-052,15.7,5,0,0,17,30,0,2,18,17,0,0,0,65,35,20,63.6,Matches
Lucas Digne,fr FRA,DF,32-178,13.3,2,0,0,8,11,2,62,9,15,0,0,0,42,18,14,56.3,Matches
Youri Tielemans,be BEL,MF,28-252,12.6,0,0,0,21,26,1,23,7,20,0,0,0,60,11,12,47.8,Matches
Amadou Onana,be BEL,MF,24-151,9.9,2,0,0,12,16,0,0,14,19,0,0,0,37,21,10,67.7,Matches
Pau Torres,es ESP,DF,28-363,10.6,0,0,0,3,4,0,2,6,10,0,0,1,53,11,11,50.0,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,8.5,2,0,0,19,19,0,5,5,13,0,0,0,47,10,19,34.5,Matches
Ian Maatsen,nl NED,DF,23-310,7.8,1,0,0,7,8,1,23,6,17,0,0,0,44,8,4,66.7,Matches
Victor Lindelöf,se SWE,DF,31-181,6.3,0,0,0,1,0,0,0,3,1,0,0,0,12,8,5,61.5,Matches
Evann Guessand,ci CIV,FW,24-197,5.7,0,0,0,11,10,0,10,0,9,0,0,0,26,4,6,40.0,Matches
Tyrone Mings,eng ENG,DF,32-307,5.5,0,0,0,3,4,0,1,4,1,0,0,0,16,21,13,61.8,Matches
Donyell Malen,nl NED,FW,27-005,7.3,0,0,0,2,6,1,7,0,3,0,0,0,10,3,7,30.0,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,4.9,4,0,0,10,14,0,0,1,5,0,0,0,14,4,7,36.4,Matches
Marco Bizot,nl NED,GK,34-310,4.5,2,0,0,1,1,0,0,0,0,0,1,0,9,1,0,100.0,Matches
Jadon Sancho,eng ENG,FW,25-295,3.5,0,0,0,0,1,1,8,1,0,0,0,0,7,0,2,0.0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,1.1,0,0,0,0,2,0,3,0,0,0,0,0,3,0,1,0.0,Matches
Ross Barkley,eng ENG,MF,32-040,1.3,0,0,0,1,1,0,0,0,2,0,0,0,10,2,2,50.0,Matches
Andrés García,es ESP,DF,22-341,0.3,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,,Matches
Bradley Burrowes,eng ENG,DF,17-316,0.2,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,,Matches
George Hemmings,eng ENG,MF,18-316,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Jamaldeen Jimoh,eng ENG,MF,19-104,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,28.4,21.0,32,1,0,207,288,22,319,127,188,0,2,1,751,240,240,50.0,
Opponent Total,,,26.5,21.0,52,1,0,306,206,59,373,193,241,1,0,1,865,240,240,50.0,
