Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
João Gomes,br BRA,MF,24-336,17.7,6,0,0,41,26,0,21,24,31,0,0,0,112,18,17,51.4,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-269,15.4,2,0,0,23,6,0,10,16,11,0,0,1,44,38,26,59.4,Matches
André,br BRA,MF,24-182,15.8,5,0,0,21,21,0,36,15,20,0,0,0,106,4,10,28.6,Matches
Jørgen Strand Larsen,no NOR,FW,25-342,14.6,2,0,0,30,11,7,3,3,2,0,0,0,15,42,60,41.2,Matches
Jhon Arias,co COL,"FW,MF",28-115,11.6,1,0,0,22,9,3,29,8,25,0,0,0,51,9,17,34.6,Matches
Hugo Bueno,es ESP,"DF,MF",23-118,12.9,1,0,0,8,7,0,91,18,17,0,0,0,56,9,8,52.9,Matches
Sam Johnstone,eng ENG,GK,32-295,12.0,0,0,0,0,0,0,0,0,1,0,0,1,22,3,1,75.0,Matches
Toti Gomes,pt POR,DF,26-363,10.5,2,1,0,9,8,0,10,8,8,0,0,0,37,12,12,50.0,Matches
Santiago Bueno,uy URU,DF,27-066,11.4,2,0,0,13,5,0,3,15,15,1,0,0,27,25,17,59.5,Matches
Emmanuel Agbadou,ci CIV,DF,28-211,11.2,1,1,0,10,5,0,14,12,17,0,0,0,62,23,12,65.7,Matches
Hwang Hee-chan,kr KOR,"FW,MF",29-353,9.8,3,0,0,20,9,5,17,6,3,0,0,0,28,5,6,45.5,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-122,12.3,2,0,0,4,3,1,57,9,7,0,0,0,42,18,16,52.9,Matches
Yerson Mosquera,co COL,DF,24-257,9.6,6,0,0,14,22,1,9,12,14,0,1,2,40,16,26,38.1,Matches
Marshall Munetsi,zw ZIM,"MF,FW",29-206,9.7,2,0,0,19,10,4,14,7,12,0,0,0,20,29,34,46.0,Matches
José Sá,pt POR,GK,32-362,9.0,1,0,0,0,3,0,0,0,0,0,0,0,21,10,1,90.9,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-201,7.7,1,0,0,9,20,0,18,7,11,0,0,0,21,4,11,26.7,Matches
David Møller Wolfe,no NOR,"DF,MF",23-266,7.9,1,0,0,6,3,0,24,5,3,0,0,0,18,11,5,68.8,Matches
Matt Doherty,ie IRL,DF,33-363,6.6,4,0,0,14,5,0,5,4,7,1,0,0,23,16,7,69.6,Matches
Tolu Arokodare,ng NGA,FW,25-052,7.5,1,0,0,11,7,2,0,3,2,0,0,0,18,48,45,51.6,Matches
Ki-Jana Hoever,nl NED,"DF,MF",23-361,4.7,0,0,0,3,3,1,22,6,11,0,0,0,16,6,6,50.0,Matches
Mateus Mane,pt POR,MF,18-120,5.0,0,0,0,7,14,0,15,1,4,1,0,0,16,2,7,22.2,Matches
Rodrigo Gomes,pt POR,"FW,DF",22-191,3.7,0,0,0,3,2,2,11,3,6,0,0,0,14,4,5,44.4,Matches
Fer López,es ESP,"MF,FW",21-235,2.6,1,0,0,6,4,0,4,0,1,0,0,0,10,2,4,33.3,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",22-095,0.3,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,,Matches
Sasa Kalajdzic,at AUT,FW,28-191,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,66.7,Matches
Pedro Lima,br BRA,MF,19-197,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,26.7,21.0,44,2,0,296,204,26,413,183,228,3,1,4,822,356,354,50.1,
Opponent Total,,,26.7,21.0,30,2,1,208,289,34,438,159,198,0,3,1,820,354,356,49.9,
