Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Bruno Guimarães,br BRA,MF,28-059,19.4,4,0,0,28,45,1,45,11,30,1,0,0,93,11,18,37.9,Matches
Sandro Tonali,it ITA,MF,25-251,15.9,2,0,0,14,27,1,60,19,12,0,0,0,87,6,6,50.0,Matches
Malick Thiaw,de GER,DF,24-159,16.5,3,0,0,12,2,0,7,18,16,0,1,0,70,62,26,70.5,Matches
Nick Woltemade,de GER,FW,23-334,14.0,0,0,0,15,14,7,2,3,8,0,0,1,27,28,43,39.4,Matches
Nick Pope,eng ENG,GK,33-270,14.8,1,0,0,0,1,0,0,0,1,0,0,0,16,10,0,100.0,Matches
Dan Burn,eng ENG,DF,33-250,13.9,5,1,1,24,8,0,9,15,13,1,1,0,46,56,41,57.7,Matches
Joelinton,br BRA,MF,29-153,13.6,5,0,0,23,18,1,5,15,13,0,0,0,76,34,28,54.8,Matches
Anthony Gordon,eng ENG,FW,24-324,11.1,2,1,0,10,22,1,49,1,7,0,0,0,34,5,7,41.7,Matches
Jacob Murphy,eng ENG,FW,30-324,11.2,0,0,0,2,6,5,90,1,5,0,0,0,26,5,7,41.7,Matches
Fabian Schär,ch SUI,DF,34-025,12.1,1,0,0,15,6,1,4,18,10,0,0,0,43,46,26,63.9,Matches
Valentino Livramento,eng ENG,DF,23-063,11.7,1,0,0,5,11,2,25,6,14,0,0,0,68,4,8,33.3,Matches
Lewis Miley,eng ENG,"MF,DF",19-258,11.4,0,0,0,3,4,1,26,17,14,0,0,0,55,24,10,70.6,Matches
Lewis Hall,eng ENG,DF,21-128,10.5,1,0,0,4,16,0,49,16,17,0,0,0,49,18,17,51.4,Matches
Harvey Barnes,eng ENG,FW,28-036,10.6,0,0,0,8,10,2,45,1,3,0,0,0,33,4,4,50.0,Matches
Sven Botman,nl NED,DF,26-002,7.8,0,0,0,6,3,0,1,6,3,0,0,1,39,23,20,53.5,Matches
Kieran Trippier,eng ENG,DF,35-117,7.8,1,0,0,13,8,0,45,4,6,0,0,0,35,9,7,56.3,Matches
Anthony Elanga,se SWE,"FW,MF",23-262,7.6,0,0,0,3,10,0,47,1,6,0,0,0,15,6,11,35.3,Matches
Aaron Ramsdale,eng ENG,GK,27-245,6.2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,100.0,Matches
Jacob Ramsey,eng ENG,MF,24-231,5.7,2,0,0,6,5,1,5,4,3,0,1,0,42,6,4,60.0,Matches
Yoane Wissa,cd COD,FW,29-133,2.7,1,0,0,1,0,3,0,0,1,0,0,0,7,6,12,33.3,Matches
Joe Willock,eng ENG,"MF,FW",26-147,2.7,1,0,0,4,1,0,6,1,9,0,0,0,11,2,5,28.6,Matches
William Osula,dk DEN,FW,22-163,2.4,0,0,0,13,1,0,0,0,0,0,0,0,6,5,9,35.7,Matches
Emil Krafth,se SWE,DF,31-165,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches
Jamaal Lascelles,eng ENG,DF,32-064,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,,,27.4,21.0,30,2,1,210,218,26,521,157,191,2,3,2,888,373,309,54.7,
Opponent Total,,,26.7,21.0,49,2,0,227,196,26,354,219,205,1,4,0,890,309,373,45.3,
