Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21.0,4,0,0,32,48,1,98,25,38,0,1,0,177,32,25,56.1,Matches
Nikola Milenković,rs SRB,DF,28-094,21.0,4,0,0,10,17,1,2,19,7,0,0,1,64,54,25,68.4,Matches
Neco Williams,wls WAL,DF,24-276,21.0,4,0,0,17,39,1,80,22,41,0,0,0,96,21,23,47.7,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,19.8,0,0,0,16,22,2,20,10,7,1,0,0,62,26,46,36.1,Matches
Matz Sels,be BEL,GK,33-322,16.1,1,0,0,0,2,0,0,0,1,0,0,0,23,3,1,75.0,Matches
Murillo,br BRA,DF,23-194,14.2,3,0,0,14,6,0,2,23,17,0,0,1,65,18,14,56.3,Matches
Dan Ndoye,ch SUI,FW,25-081,11.1,1,0,0,13,11,4,33,9,10,0,0,0,43,7,8,46.7,Matches
Igor Jesus,br BRA,FW,24-323,12.8,0,0,0,26,21,7,8,1,6,0,0,0,29,46,72,39.0,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,12.4,0,0,0,7,6,1,58,5,5,0,0,0,39,2,6,25.0,Matches
Nicolò Savona,it ITA,DF,22-301,11.4,2,0,0,12,5,1,27,4,12,0,0,0,27,7,4,63.6,Matches
Ibrahim Sangaré,ci CIV,MF,28-043,9.6,2,0,0,14,8,0,6,10,13,0,2,0,40,11,11,50.0,Matches
Omari Hutchinson,eng ENG,FW,22-076,9.8,0,0,0,14,8,3,76,5,7,1,0,0,53,1,17,5.6,Matches
Morato,br BRA,DF,24-198,7.9,4,0,0,10,5,0,0,4,10,0,0,0,32,10,6,62.5,Matches
Nicolás Domínguez,ar ARG,"MF,FW",27-200,6.3,2,0,0,8,3,0,10,3,11,0,0,0,25,6,10,37.5,Matches
Chris Wood,nz NZL,FW,34-038,6.0,0,0,0,5,4,3,1,0,1,0,0,0,7,11,19,36.7,Matches
John,br BRA,GK,29-335,4.9,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
Ola Aina,ng NGA,DF,29-098,4.8,1,0,0,6,4,0,16,10,6,0,0,0,25,4,3,57.1,Matches
Douglas Luiz,br BRA,MF,27-250,3.5,2,0,0,4,5,0,15,7,4,0,1,0,20,3,2,60.0,Matches
Oleksandr Zinchenko,ua UKR,DF,29-030,3.9,0,0,0,1,2,1,18,2,6,0,0,0,17,3,6,33.3,Matches
Dilane Bakwa,fr FRA,FW,23-141,3.4,1,0,0,5,8,0,25,0,1,0,0,0,19,0,2,0.0,Matches
Ryan Yates,eng ENG,MF,28-054,3.4,1,0,0,6,7,0,2,4,4,0,0,0,11,10,6,62.5,Matches
Taiwo Awoniyi,ng NGA,FW,28-155,2.1,0,0,0,3,3,3,0,1,1,0,0,0,6,6,19,24.0,Matches
James Mcatee,eng ENG,"MF,FW",23-088,1.9,1,0,0,3,3,1,7,0,3,0,0,0,6,1,4,20.0,Matches
Jair Cunha,br BRA,DF,20-313,1.0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,100.0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-359,1.1,0,0,0,2,0,1,2,0,1,0,0,0,4,4,3,57.1,Matches
Zach Abbott,eng ENG,DF,19-246,0.5,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,75.0,Matches
Jota Silva,pt POR,FW,26-166,0.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.0,Matches
Squad Total,,,26.2,21.0,34,0,0,228,239,30,507,166,216,2,4,2,899,290,334,46.5,
Opponent Total,,,26.6,21.0,41,1,1,247,214,24,354,184,227,3,2,0,878,334,290,53.5,
