Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Martin Dúbravka,sk SVK,GK,36-364,21.0,0,0,0,0,1,0,0,0,0,0,0,0,20,16,4,80.0,Matches
Kyle Walker,eng ENG,"DF,MF",35-231,19.8,7,0,0,25,14,1,17,27,17,0,0,0,92,34,27,55.7,Matches
Maxime Estève,fr FRA,DF,23-233,17.1,0,0,0,6,9,0,3,25,13,0,0,2,56,41,22,65.1,Matches
Josh Cullen,ie IRL,MF,29-282,16.8,2,0,0,16,18,0,12,22,18,0,1,1,73,15,14,51.7,Matches
Quilindschy Hartman,nl NED,DF,24-061,14.9,1,0,0,8,2,1,65,20,20,0,0,0,49,9,17,34.6,Matches
Florentino Luís,pt POR,MF,26-148,14.6,3,0,0,24,6,1,8,23,35,0,0,0,67,11,19,36.7,Matches
Lesley Ugochukwu,fr FRA,MF,21-294,14.3,2,1,1,17,22,1,4,12,16,0,1,0,59,17,21,44.7,Matches
Jaidon Anthony,eng ENG,"MF,FW",26-044,14.0,3,0,0,14,26,3,28,8,13,1,1,0,66,7,16,30.4,Matches
Hjalmar Ekdal,se SWE,DF,27-085,12.9,0,0,0,5,3,2,1,9,13,0,0,0,31,38,25,60.3,Matches
Josh Laurent,eng ENG,"DF,MF",30-253,11.8,3,0,0,13,3,2,8,21,16,0,0,0,35,18,15,54.5,Matches
Lyle Foster,za RSA,FW,25-133,9.8,3,0,0,15,8,9,4,3,10,0,0,0,24,19,44,30.2,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-117,9.6,0,0,0,1,0,3,32,6,4,0,0,0,27,6,16,27.3,Matches
Loum Tchaouna,fr FRA,"MF,FW",22-128,8.4,1,0,0,4,10,1,12,2,7,0,0,0,19,12,15,44.4,Matches
Axel Tuanzebe,cd COD,DF,28-061,7.8,1,0,0,10,2,1,1,5,4,0,1,0,24,15,18,45.5,Matches
Zian Flemming,nl NED,FW,27-166,7.4,3,0,0,16,13,2,2,0,3,0,0,0,10,29,41,41.4,Matches
Armando Broja,al ALB,FW,24-126,7.1,0,0,0,8,12,2,2,2,3,0,0,0,21,31,51,37.8,Matches
Lucas,br BRA,"DF,MF",24-296,5.6,0,1,0,5,1,1,26,4,8,0,0,0,29,1,6,14.3,Matches
Hannibal Mejbri,tn TUN,MF,22-358,5.1,4,0,0,8,20,2,12,3,5,0,1,0,22,1,16,5.9,Matches
Marcus Edwards,eng ENG,"FW,MF",27-042,4.5,0,0,0,4,5,0,12,0,1,0,0,0,19,1,2,33.3,Matches
Bashir Humphreys,eng ENG,DF,22-305,3.9,1,0,0,4,0,0,5,1,3,0,0,0,12,8,12,40.0,Matches
Oliver Sonne,pe PER,"DF,FW",25-065,1.9,0,0,0,4,0,0,5,1,1,0,0,0,4,5,2,71.4,Matches
Joe Worrall,eng ENG,DF,29-004,1.7,0,0,0,2,1,0,0,1,1,0,0,0,4,4,2,66.7,Matches
Mike Trésor,be BEL,"MF,FW",26-231,0.3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0.0,Matches
Ashley Barnes,eng ENG,FW,36-076,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3,57.1,Matches
Jaydon Amauri Banel,nl NED,MF,21-087,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,,,27.8,21.0,34,2,1,211,177,32,261,195,211,1,5,3,766,342,412,45.4,
Opponent Total,,,26.6,21.0,25,0,0,186,201,37,492,163,206,3,2,1,884,412,342,54.6,
