Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21.0,1,0,0,0,2,0,0,0,0,0,0,0,40,11,1,91.7,Matches
Micky van de Ven,nl NED,DF,24-270,19.9,5,0,0,14,9,1,1,18,12,0,0,0,73,24,35,40.7,Matches
Pedro Porro,es ESP,DF,26-123,18.8,5,0,0,19,17,0,135,16,26,0,0,0,83,15,17,46.9,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,17.1,3,0,0,23,15,10,122,3,19,0,0,0,95,11,18,37.9,Matches
Rodrigo Bentancur,uy URU,MF,28-203,15.7,5,0,0,15,3,1,7,22,22,0,1,0,100,25,36,41.0,Matches
Cristian Romero,ar ARG,DF,27-262,16.2,9,1,1,22,11,0,1,23,21,0,0,0,65,51,21,70.8,Matches
Djed Spence,eng ENG,DF,25-158,15.0,2,0,0,14,13,1,29,10,17,0,0,0,66,18,13,58.1,Matches
João Palhinha,pt POR,MF,30-189,14.5,5,0,0,15,23,0,4,17,45,0,0,0,52,24,17,58.5,Matches
Richarlison,br BRA,FW,28-249,14.3,4,0,0,14,21,5,10,4,10,0,0,0,37,40,67,37.4,Matches
Xavi Simons,nl NED,"MF,FW",22-268,10.3,2,1,0,10,19,0,26,6,13,0,0,0,49,9,16,36.0,Matches
Randal Kolo Muani,fr FRA,FW,27-040,9.3,2,0,0,16,7,1,5,2,11,0,0,0,27,13,22,37.1,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,8.9,2,0,0,18,5,3,17,2,12,0,0,0,34,4,11,26.7,Matches
Archie Gray,eng ENG,MF,19-308,6.7,3,0,0,8,0,0,3,8,3,0,0,0,26,4,7,36.4,Matches
Pape Matar Sarr,sn SEN,MF,23-122,7.9,0,0,0,18,5,3,6,7,8,0,0,0,41,18,24,42.9,Matches
Kevin Danso,at AUT,DF,27-117,6.5,4,0,0,5,4,0,4,4,5,0,0,0,25,32,19,62.7,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,8.0,0,0,0,2,7,1,24,1,6,0,0,0,35,3,11,21.4,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,6.8,2,0,0,2,4,8,23,2,9,0,0,0,13,4,3,57.1,Matches
Destiny Udogie,it ITA,DF,23-047,6.8,1,0,0,7,10,3,8,3,9,0,0,0,38,4,7,36.4,Matches
Mathys Tel,fr FRA,FW,20-262,5.2,0,0,0,5,7,2,24,0,4,0,0,0,26,5,18,21.7,Matches
Ben Davies,wls WAL,DF,32-265,1.3,0,0,0,2,0,0,2,1,3,0,0,0,3,3,3,50.0,Matches
Dominic Solanke,eng ENG,FW,28-122,0.4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0.0,Matches
Radu Drăgușin,ro ROU,DF,23-345,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Dane Scarlett,eng ENG,FW,21-296,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
Squad Total,,,25.9,21.0,55,2,1,229,183,39,451,150,256,0,1,0,929,319,370,46.3,
Opponent Total,,,26.7,21.0,36,1,0,191,226,47,375,169,239,1,0,1,910,370,319,53.7,
