Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Trevoh Chalobah,eng ENG,DF,26-193,19.3,3,1,0,13,15,1,5,19,19,0,0,0,78,43,37,53.8,Matches
Robert Sánchez,es ESP,GK,28-057,19.0,2,1,0,2,6,0,0,1,0,0,0,0,31,7,1,87.5,Matches
Enzo Fernández,ar ARG,MF,24-362,18.9,5,0,0,22,21,1,42,10,19,0,0,0,80,17,15,53.1,Matches
Pedro Neto,pt POR,FW,25-311,18.2,2,0,0,7,17,4,119,6,7,0,0,0,54,6,15,28.6,Matches
Marc Cucurella,es ESP,DF,27-176,16.9,3,1,0,24,17,1,13,18,25,0,0,0,71,20,21,48.8,Matches
João Pedro,br BRA,"FW,MF",24-110,16.9,2,0,0,21,34,8,11,5,11,0,0,0,48,42,40,51.2,Matches
Moisés Caicedo,ec ECU,MF,24-073,14.9,5,1,0,27,29,0,2,37,26,0,0,0,92,10,14,41.7,Matches
Reece James,eng ENG,"DF,MF",26-037,15.2,4,0,0,22,19,1,75,25,25,0,0,0,76,27,16,62.8,Matches
Malo Gusto,fr FRA,"DF,MF",22-240,13.6,3,1,1,10,9,0,18,20,19,0,0,0,76,9,9,50.0,Matches
Alejandro Garnacho,ar ARG,FW,21-197,8.5,1,0,0,7,14,0,36,3,6,0,0,0,30,3,6,33.3,Matches
Wesley Fofana,fr FRA,DF,25-028,8.4,1,0,0,12,8,1,0,17,8,0,0,0,43,39,18,68.4,Matches
Cole Palmer,eng ENG,"MF,FW",23-253,7.4,1,0,0,7,13,1,13,7,6,0,0,0,31,0,0,,Matches
Estêvão Willian,br BRA,FW,18-265,6.8,3,0,0,10,6,3,12,2,5,1,0,0,28,2,8,20.0,Matches
Liam Delap,eng ENG,FW,22-340,6.4,2,0,0,12,13,2,4,0,1,0,0,0,11,12,21,36.4,Matches
Tosin Adarabioyo,eng ENG,DF,28-112,7.2,2,0,0,5,0,1,0,6,6,0,0,0,16,32,16,66.7,Matches
Joshua Acheampong,eng ENG,DF,19-254,5.2,0,0,0,1,5,1,1,8,5,0,0,0,19,10,7,58.8,Matches
Andrey Santos,br BRA,MF,21-256,5.8,3,0,0,10,7,1,1,9,7,0,0,0,27,9,5,64.3,Matches
Jamie Gittens,eng ENG,FW,21-159,5.0,0,0,0,6,6,2,13,2,3,0,0,0,15,3,4,42.9,Matches
Benoît Badiashile,fr FRA,DF,24-294,3.7,2,0,0,3,2,0,0,7,1,0,0,0,11,3,4,42.9,Matches
Jorrel Hato,nl NED,DF,19-313,2.9,2,0,0,2,0,0,2,5,5,0,0,0,9,3,3,50.0,Matches
Marc Guiu,es ESP,FW,20-010,2.6,1,0,0,9,2,0,0,0,0,0,0,0,3,4,5,44.4,Matches
Filip Jørgensen,dk DEN,GK,23-273,1.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,100.0,Matches
Roméo Lavia,be BEL,MF,22-008,1.2,0,0,0,3,3,0,1,3,2,0,0,0,4,1,0,100.0,Matches
Facundo Buonanotte,ar ARG,MF,21-022,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Tyrique George,eng ENG,FW,19-344,1.6,2,0,0,6,1,2,1,0,2,0,0,0,1,1,0,100.0,Matches
Squad Total,,,24.7,21.0,49,5,1,241,247,30,369,211,208,1,0,0,857,304,265,53.4,
Opponent Total,,,27.0,21.0,48,1,1,258,234,33,327,196,223,0,2,0,819,265,304,46.6,
