player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Milos Kerkez,HUN,DF,20,37.1,83,2.24,67,4,2,2,5,3,9,0.24,7,0,1,0,0,1
Antoine Semenyo,GHA,FW,24,35.6,132,3.71,85,4,21,15,5,2,13,0.37,7,1,2,1,2,0
Illia Zabarnyi,UKR,DF,21,34.5,29,0.84,26,1,0,0,0,2,1,0.03,1,0,0,0,0,0
Lewis Cook,ENG,"MF,DF",27,33.1,89,2.69,69,18,0,2,0,0,5,0.15,2,1,0,2,0,0
Kepa Arrizabalaga,ESP,GK,29,31.0,4,0.13,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Justin Kluivert,NED,MF,25,26.0,101,3.88,73,8,7,7,5,1,12,0.46,11,0,0,0,1,0
Evanilson,BRA,FW,24,25.8,61,2.37,39,0,3,10,9,0,8,0.31,2,0,1,1,4,0
Ryan Christie,SCO,MF,29,23.5,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0
Dean Huijsen,ESP,DF,19,27.0,43,1.59,40,1,0,1,1,0,3,0.11,3,0,0,0,0,0
Dango Ouattara,BFA,FW,22,22.3,72,3.23,57,0,3,10,1,1,6,0.27,4,0,1,1,0,0
Tyler Adams,USA,MF,25,21.8,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1
Marcus Tavernier,ENG,"FW,MF",25,21.5,98,4.55,68,12,3,10,5,0,11,0.51,5,3,0,2,1,0
Adam Smith,ENG,DF,33,17.7,23,1.3,17,1,1,0,3,1,2,0.11,1,0,0,0,1,0
Marcos Senesi,ARG,DF,27,12.3,16,1.3,16,0,0,0,0,0,1,0.08,1,0,0,0,0,0
David Brooks,WAL,"FW,MF",27,10.7,46,4.31,36,6,2,2,0,0,2,0.19,1,0,0,1,0,0
Alex Scott,ENG,MF,20,8.4,29,3.45,19,2,0,2,3,3,2,0.24,2,0,0,0,0,0
Julian Araujo,MEX,DF,22,5.5,5,0.91,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
James Hill,ENG,DF,22,5.0,8,1.61,5,2,0,0,0,1,1,0.2,1,0,0,0,0,0
Mark Travers,IRL,GK,25,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Enes Ünal,TUR,"FW,MF",27,3.8,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0
Neto,BRA,GK,35,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Luis Sinisterra,COL,"FW,MF",25,2.6,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0
Philip Billing,DEN,MF,28,2.0,16,7.83,13,0,0,1,0,2,0,0.0,0,0,0,0,0,0
Max Aarons,ENG,DF,24,1.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Daniel Jebbison,ENG,FW,20,1.3,6,4.54,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Ben Winterburn,ENG,"MF,FW",19,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Julio Soler,ARG,"DF,FW",19,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Remy Rees-Dottin,ENG,FW,18,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Zain Silcott-Duberry,MSR,FW,19,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,25,38.0,1012,26.63,767,68,44,70,42,21,93,2.45,62,6,5,8,10,2
Opponent Total,,,26,38.0,878,23.11,647,78,54,46,39,14,84,2.21,59,5,10,4,5,1
