player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Jamie Vardy,ENG,FW,37,31.4,47,1.5,33,0,6,2,6,0,10,0.32,5,0,2,1,2,0
James Justin,ENG,DF,26,32.4,33,1.02,21,2,1,4,5,0,2,0.06,2,0,0,0,0,0
Wout Faes,BEL,DF,26,31.3,17,0.54,15,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Victor Bernth Kristiansen,DEN,DF,21,27.6,42,1.52,33,6,1,0,2,0,3,0.11,3,0,0,0,0,0
Wilfred Ndidi,NGA,MF,27,25.8,31,1.2,29,0,1,1,0,0,4,0.15,4,0,0,0,0,0
Mads Hermansen,DEN,GK,24,26.5,3,0.11,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bilal El Khannouss,MAR,"MF,FW",20,24.2,78,3.22,54,9,8,4,3,0,7,0.29,5,1,0,1,0,0
Boubakary Soumaré,FRA,MF,25,24.1,35,1.45,27,0,5,1,2,0,3,0.12,3,0,0,0,0,0
Conor Coady,ENG,DF,31,19.0,6,0.32,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jordan Ayew,GHA,"FW,MF",32,18.2,41,2.25,24,8,3,4,1,1,2,0.11,1,0,0,1,0,0
Harry Winks,ENG,MF,28,17.1,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0
Stephy Mavididi,ENG,FW,26,17.9,50,2.78,39,2,4,2,2,1,7,0.39,6,0,1,0,0,0
Jannik Vestergaard,DEN,DF,31,15.5,7,0.45,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Facundo Buonanotte,ARG,"FW,MF",19,16.9,51,3.01,27,11,9,1,3,0,5,0.3,1,2,2,0,0,0
Luke Thomas,ENG,DF,23,12.3,16,1.3,12,3,0,0,0,1,1,0.08,1,0,0,0,0,0
Caleb Okoli,ITA,DF,23,12.5,4,0.32,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oliver Skipp,ENG,MF,23,12.5,15,1.2,13,1,0,0,1,0,0,0.0,0,0,0,0,0,0
Jakub Stolarczyk,POL,GK,23,10.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kasey McAteer,IRL,FW,22,9.5,20,2.11,18,0,0,0,2,0,2,0.21,1,0,0,0,1,0
Bobby De Cordova-Reid,JAM,FW,31,8.3,13,1.57,8,0,0,3,2,0,3,0.36,1,0,0,1,1,0
Patson Daka,ZAM,"FW,MF",25,8.2,10,1.23,7,0,2,1,0,0,1,0.12,0,0,1,0,0,0
Abdul Fatawu Issahaku,GHA,FW,20,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0
Ricardo Pereira,POR,DF,30,4.3,3,0.7,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Danny Ward,WAL,GK,31,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hamza Choudhury,BAN,"MF,DF",26,1.5,3,2.05,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Woyo Coulibaly,MLI,DF,25,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jeremy Monga,,"FW,MF",na,1.2,2,1.61,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Odsonne Édouard,FRA,FW,26,0.3,2,6.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jake Evans,,FW,na,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Olabade Aluko,,DF,na,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Will Alves,ENG,FW,19,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Michael Golding,ENG,MF,18,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26,38.0,585,15.39,427,49,44,26,34,5,56,1.47,37,4,6,5,4,0
Opponent Total,,,26,38.0,1136,29.89,827,88,68,79,49,25,134,3.53,105,7,5,12,5,0
