player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Sergio Reguilón,ESP,DF,28,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Dane Scarlett,ENG,"FW,MF",21,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22
Alfie Dorrington,ENG,DF,20,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,na,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Player,Nation,Pos,Ag,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Will Lankshear,ENG,"FW,MF",20,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oyindamola Ajayi,ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Cassanova,JAM,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Devine,ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Hardy,ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maeson King,ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yang Minhyeok,KOR,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callum Olusesi,ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Whiteman,ENG,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Williams Barnett,ENG,FW,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,25,36,396,3240,36.0,60,47,107,58,2,3,67,1,56.2,53.9,42.7,96.5,813,1565,1554,1.67,1.31,2.97,1.61,2.92,1.56,1.18,2.75,1.50,2.68
Opponent Total,,,27,36,396,3240,36.0,55,40,95,53,2,2,83,3,59.7,58.2,44.4,102.6,609,1198,1185,1.53,1.11,2.64,1.47,2.58,1.66,1.23,2.89,1.62,2.85
