player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Jamie Vardy,ENG,FW,38,34,34,2744,30.5,8,4,12,7,1,2,5,0,10.7,9.2,3.0,12.2,28,21,116,0.26,0.13,0.39,0.23,0.36,0.35,0.10,0.45,0.30,0.40
James Justin,ENG,DF,27,34,32,2759,30.7,2,1,3,2,0,0,6,0,1.5,1.5,0.6,2.1,39,87,94,0.07,0.03,0.10,0.07,0.10,0.05,0.02,0.07,0.05,0.07
Wout Faes,BEL,DF,27,32,28,2635,29.3,1,0,1,1,0,0,4,0,1.5,1.5,0.1,1.6,12,83,1,0.03,0.00,0.03,0.03,0.03,0.05,0.00,0.06,0.05,0.06
Victor Bernth Kristiansen,DEN,DF,22,29,28,2394,26.6,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,39,69,75,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06
Mads Hermansen,DEN,GK,24,27,27,2385,26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wilfred Ndidi,NGA,MF,28,27,27,2237,24.9,0,4,4,0,0,0,8,0,2.0,2.0,1.9,3.9,18,67,75,0.00,0.16,0.16,0.00,0.16,0.08,0.08,0.16,0.08,0.16
Bilal El Khannouss,MAR,MF,21,31,26,2092,23.2,2,3,5,2,0,0,4,0,1.2,1.2,4.3,5.5,72,122,84,0.09,0.13,0.22,0.09,0.22,0.05,0.18,0.24,0.05,0.24
Boubakary Soumaré,FRA,MF,26,29,23,1991,22.1,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,32,100,22,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Harry Winks,ENG,MF,29,22,17,1538,17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.09,0.01,0.09
Conor Coady,ENG,DF,32,20,17,1534,17.0,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,3,30,0,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.03,0.02,0.03
Jordan Ayew,GHA,"FW,MF",33,28,17,1485,16.5,5,0,5,4,1,1,5,0,3.0,2.2,1.0,3.2,43,39,79,0.30,0.00,0.30,0.24,0.24,0.18,0.06,0.24,0.13,0.19
Stephy Mavididi,ENG,FW,26,30,16,1615,17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.10,0.15,0.25,0.10,0.25
Jannik Vestergaard,DEN,DF,32,18,16,1391,15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Facundo Buonanotte,ARG,"FW,MF",20,30,14,1504,16.7,5,2,7,5,0,0,8,0,3.9,3.9,3.1,7.0,39,54,72,0.30,0.12,0.42,0.30,0.42,0.24,0.18,0.42,0.24,0.42
Caleb Okoli,ITA,DF,23,19,12,1125,12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05
Luke Thomas,ENG,DF,23,12,11,949,10.5,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,4,33,15,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08
Oliver Skipp,ENG,MF,24,22,9,1055,11.7,0,0,0,0,0,0,8,0,0.2,0.2,0.3,0.4,16,34,19,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
Bobby De Cordova-Reid,JAM,FW,32,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.12,0.24,0.36,0.12,0.36,0.10,0.15,0.24,0.10,0.24
Jakub Stolarczyk,POL,GK,24,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kasey McAteer,IRL,"FW,MF",23,16,7,688,7.6,0,1,1,0,0,0,2,0,0.9,0.9,0.7,1.6,16,11,59,0.00,0.13,0.13,0.00,0.13,0.11,0.09,0.21,0.11,0.21
Abdul Fatawu Issahaku,GHA,FW,21,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31
Patson Daka,ZAM,"FW,MF",26,21,5,654,7.3,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,10,8,34,0.14,0.00,0.14,0.14,0.14,0.17,0.01,0.18,0.17,0.18
Ricardo Pereira,POR,DF,31,8,4,342,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,14,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Danny Ward,WAL,GK,31,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hamza Choudhury,BAN,"MF,DF",27,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27
Woyo Coulibaly,FRA,DF,25,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Jeremy Monga,,"FW,MF",na,5,0,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,5,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
Odsonne Édouard,FRA,FW,27,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
Jake Evans,,FW,na,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Will Alves,ENG,FW,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,na,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
