player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Emiliano Martínez,ARG,GK,31,37,37,3194.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.5,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Morgan Rogers,ENG,"FW,MF",22,37,37,3114.0,34.6,8.0,10.0,18.0,8.0,0.0,0.0,10.0,0.0,6.6,6.6,7.8,14.4,114.0,123.0,188.0,0.23,0.29,0.52,0.23,0.52,0.19,0.23,0.42,0.19,0.42
Youri Tielemans,BEL,MF,27,36,35,3026.0,33.6,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,3.3,2.5,7.0,9.5,39.0,235.0,48.0,0.09,0.21,0.3,0.09,0.3,0.1,0.21,0.31,0.07,0.28
Ezri Konsa,ENG,DF,26,34,33,2936.0,32.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,0.4,1.7,24.0,90.0,11.0,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05
Ollie Watkins,ENG,FW,28,38,31,2598.0,28.9,16.0,8.0,24.0,14.0,2.0,2.0,2.0,0.0,15.3,13.8,3.3,17.1,55.0,31.0,165.0,0.55,0.28,0.83,0.48,0.76,0.53,0.12,0.65,0.48,0.59
Lucas Digne,FRA,DF,31,32,28,2351.0,26.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,4.7,5.5,23.0,57.0,142.0,0.0,0.15,0.15,0.0,0.15,0.03,0.18,0.21,0.03,0.21
John McGinn,SCO,"MF,FW",29,34,27,2223.0,24.7,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,3.1,2.8,3.5,6.3,32.0,103.0,87.0,0.04,0.16,0.2,0.04,0.2,0.13,0.14,0.27,0.11,0.26
Matty Cash,POL,DF,26,27,24,2070.0,23.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.5,0.5,1.1,1.6,48.0,42.0,90.0,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07
Pau Torres,ESP,DF,27,24,23,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,40.0,97.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Boubacar Kamara,FRA,MF,24,26,20,1726.0,19.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.9,1.7,19.0,85.0,7.0,0.05,0.0,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09
Amadou Onana,BEL,MF,22,26,20,1617.0,18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.1,2.1,0.7,2.8,29.0,75.0,16.0,0.17,0.0,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16
Jacob Ramsey,ENG,"FW,MF",23,29,19,1623.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,1.6,1.6,2.3,3.9,61.0,68.0,114.0,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22
Leon Bailey,JAM,"FW,MF",26,24,14,1139.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,1.5,3.3,58.0,35.0,121.0,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26
Tyrone Mings,ENG,DF,31,14,12,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,7.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08
Ian Maatsen,NED,DF,22,29,10,1139.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,2.7,3.6,31.0,50.0,104.0,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28
Marco Asensio,ESP,MF,28,13,9,743.0,8.3,3.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0,4.4,2.9,1.0,3.8,22.0,45.0,38.0,0.36,0.12,0.48,0.36,0.48,0.54,0.12,0.66,0.35,0.47
Diego Carlos,BRA,DF,31,10,8,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
Axel Disasi,FRA,DF,26,7,5,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,10.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
Lamare Bogarde,NED,"DF,MF",20,8,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.2,12.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Andrés García,ESP,"DF,MF",21,7,5,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,26.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Jáder Durán,COL,FW,20,20,4,638.0,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,4.9,4.9,0.2,5.1,7.0,13.0,44.0,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71
Marcus Rashford,ENG,FW,26,10,4,444.0,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.1,2.3,2.3,4.5,22.0,13.0,42.0,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92
