player,nation,position,age,matches_played,starts,minutes,90s_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percent,wins,draws,losses,clean_sheets,clean_sheet_percent,pk_attempted,pk_allowed,pk_saved,pk_missed,pk_save_percent
Mads Hermansen,DEN,GK,24,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0
Jakub Stolarczyk,POL,GK,24,8,8,720,8.0,14,1.75,35,21,60.0,2,1,5,1,12.5,0,0,0,0,
Danny Ward,WAL,GK,31,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,
Squad Total,,,27,36,36,3240,36.0,78,2.17,200,124,62.5,5,7,24,2,5.6,4,3,1,0,25.0
Opponent Total,,,27,36,36,3240,36.0,31,0.86,105,73,72.4,24,7,5,16,44.4,3,2,1,0,33.3
