player,nation,position,age,matches_played,starts,minutes,90s_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percent,wins,draws,losses,clean_sheets,clean_sheet_percent,pk_attempted,pk_allowed,pk_saved,pk_missed,pk_save_percent
André Onana,CMR,GK,29,33,33,2970,33.0,43,1.3,129,86,69.0,10,9,14,9,27.3,4,3,1,0,25.0
Altay Bayındır,TUR,GK,27,3,3,270,3.0,10,3.33,16,7,37.5,0,0,3,0,0.0,0,0,0,0,
Squad Total,,,26,36,36,3240,36.0,53,1.47,145,93,65.5,10,9,17,9,25.0,4,3,1,0,25.0
Opponent Total,,,27,36,36,3240,36.0,42,1.17,161,121,75.8,17,9,10,14,38.9,3,3,0,0,0.0
