player,nation,position,age,matches_played,starts,minutes,90s_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percent,wins,draws,losses,clean_sheets,clean_sheet_percent,pk_attempted,pk_allowed,pk_saved,pk_missed,pk_save_percent
Nick Pope,ENG,GK,32,28,28,2520,28.0,35,1.25,120,86,71.7,13,6,9,8,28.6,2,1,1,0,50.0
Martin Dúbravka,SVK,GK,35,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,
Squad Total,,,27,38,38,3420,38.0,47,1.24,161,115,71.4,20,6,12,13,34.2,2,1,1,0,50.0
Opponent Total,,,26,38,38,3420,38.0,68,1.79,169,102,62.7,12,6,20,7,18.4,6,5,1,0,16.7
