player,nation,position,age,matches_played,starts,minutes,90s_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percent,wins,draws,losses,clean_sheets,clean_sheet_percent,pk_attempted,pk_allowed,pk_saved,pk_missed,pk_save_percent
Mark Flekken,NED,GK,31,35,35,3095,34.4,51,1.48,190,141,73.7,16,7,12,7,20.0,1,1,0,0,0.0
Hákon Rafn Valdimarsson,ISL,GK,23,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,
Squad Total,,,26,36,36,3240,36.0,53,1.47,194,144,73.2,16,7,13,8,22.2,1,1,0,0,0.0
Opponent Total,,,27,36,36,3240,36.0,63,1.75,167,105,65.3,13,7,16,8,22.2,5,5,0,0,0.0
