Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Erling Haaland,no NOR,FW,25-177,20.2,238,222,14,2,4,0,1,0,0,0,0,0,151,2,6,Matches
Rúben Dias,pt POR,DF,28-245,19.0,1407,1361,46,29,1,5,5,3,0,0,0,0,1308,0,8,Matches
Gianluigi Donnarumma,it ITA,GK,26-323,18.0,514,435,79,31,0,0,0,0,0,0,0,0,414,0,2,Matches
Phil Foden,eng ENG,MF,25-231,17.4,983,895,85,11,11,7,92,3,70,43,24,0,811,3,21,Matches
Matheus Nunes,pt POR,DF,27-140,17.5,1388,1250,135,24,3,9,26,111,0,0,0,0,1213,3,18,Matches
Bernardo Silva,pt POR,MF,31-157,16.6,1004,944,57,30,7,6,23,11,6,3,1,1,885,3,15,Matches
Nico O’Reilly,eng ENG,DF,20-299,16.4,896,741,152,19,1,1,24,133,0,0,0,0,755,3,20,Matches
Tijjani Reijnders,nl NED,MF,27-169,14.8,701,655,44,11,7,1,29,2,17,12,1,0,604,2,13,Matches
Nicolás González,es ESP,MF,24-011,14.8,1129,1073,54,46,1,5,2,5,0,0,0,0,1012,2,11,Matches
Joško Gvardiol,hr CRO,DF,23-356,14.5,1013,962,50,14,3,11,2,13,0,0,0,0,907,1,12,Matches
Jeremy Doku,be BEL,"MF,FW",23-232,12.1,480,475,5,1,13,0,37,4,0,0,0,0,380,0,13,Matches
Rayan Cherki,fr FRA,"MF,FW",22-150,9.3,641,580,60,14,15,2,41,17,25,22,2,0,524,1,12,Matches
Sávio,br BRA,"MF,FW",21-279,6.0,286,279,7,0,3,0,24,6,1,1,0,0,227,0,15,Matches
Oscar Bobb,no NOR,"MF,FW",22-186,5.2,218,210,8,2,1,1,5,6,0,0,0,0,195,0,4,Matches
Rodri,es ESP,MF,29-206,5.1,412,393,18,17,1,3,0,1,0,0,0,0,361,1,4,Matches
Abdukodir Khusanov,uz UZB,DF,21-319,4.2,282,255,26,4,0,2,0,20,0,0,0,0,245,1,5,Matches
John Stones,eng ENG,DF,31-231,3.9,263,258,5,4,0,1,4,0,0,0,0,0,240,0,2,Matches
Nathan Aké,nl NED,DF,30-330,4.5,308,280,27,8,0,2,3,11,0,0,0,0,276,1,0,Matches
James Trafford,eng ENG,GK,23-096,3.0,118,100,18,3,0,0,0,0,0,0,0,0,88,0,1,Matches
Rayan Aït-Nouri,dz ALG,DF,24-222,2.3,127,106,21,2,0,0,2,19,0,0,0,0,111,0,6,Matches
Rico Lewis,eng ENG,"DF,MF",21-054,2.5,192,172,20,2,3,2,1,18,0,0,0,0,166,0,6,Matches
Omar Marmoush,eg EGY,"FW,MF",26-341,2.3,62,61,1,1,2,0,2,0,0,0,0,0,52,0,5,Matches
Max Alleyne,eng ENG,DF,20-177,1.0,84,80,3,0,0,1,0,0,0,0,0,0,77,1,0,Matches
Divine Mukasa,eng ENG,MF,18-145,0.2,17,17,0,0,1,0,0,0,0,0,0,0,16,0,0,Matches
Mateo Kovačić,hr CRO,MF,31-253,0.1,22,22,0,0,0,0,0,0,0,0,0,0,22,0,0,Matches
Squad Total,,,25.8,21.0,12785,11826,935,275,77,59,323,383,119,81,28,1,11040,24,199,
Opponent Total,,,26.6,21.0,9026,8108,866,221,52,81,296,337,80,66,7,2,7156,52,156,
