Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Dean Henderson,eng ENG,GK,28-308,21.0,720,496,223,73,0,0,0,0,0,0,0,0,431,1,0,Matches
Maxence Lacroix,fr FRA,DF,25-283,21.0,913,896,15,14,1,1,4,1,0,0,0,0,785,2,5,Matches
Tyrick Mitchell,eng ENG,DF,26-135,20.9,840,691,147,4,1,1,60,143,0,0,0,0,600,2,50,Matches
Jean-Philippe Mateta,fr FRA,FW,28-200,19.2,261,247,11,0,4,1,5,0,0,0,0,0,164,3,16,Matches
Marc Guéhi,eng ENG,DF,25-185,20.0,1080,1025,52,31,1,19,10,3,1,0,0,0,913,3,7,Matches
Adam Wharton,eng ENG,MF,21-342,17.4,800,738,53,25,12,4,54,0,28,27,0,0,607,9,9,Matches
Chris Richards,us USA,DF,25-292,16.9,736,672,62,11,1,5,5,51,0,0,0,0,571,2,5,Matches
Yeremi Pino,es ESP,MF,23-086,15.0,551,471,78,23,12,4,49,2,28,23,3,0,371,2,15,Matches
Daniel Muñoz,co COL,"DF,MF",29-233,14.0,489,414,73,4,1,1,32,69,0,0,0,0,358,2,10,Matches
Daichi Kamada,jp JPN,MF,29-162,12.9,479,449,27,10,5,3,25,0,15,12,1,0,376,3,4,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-323,11.2,226,220,3,1,1,1,7,2,0,0,0,0,156,3,11,Matches
Will Hughes,eng ENG,MF,30-272,9.7,379,361,18,10,0,0,19,1,5,3,2,0,297,0,10,Matches
Jefferson Lerma,co COL,"MF,DF",31-081,8.4,451,395,53,4,2,2,8,49,0,0,0,0,335,3,4,Matches
Nathaniel Clyne,eng ENG,DF,34-284,4.6,160,139,21,0,0,0,11,21,0,0,0,0,117,0,11,Matches
Justin Devenny,nir NIR,"MF,DF",22-095,5.7,196,174,17,1,1,2,9,14,0,0,0,0,133,5,10,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-229,4.7,89,87,1,0,1,1,1,0,0,0,0,0,70,1,0,Matches
Jaydee Canvot,fr FRA,DF,19-169,3.3,140,132,7,4,0,1,0,3,0,0,0,0,121,1,2,Matches
Brennan Johnson,wls WAL,MF,24-236,1.8,35,35,0,0,1,1,4,0,0,0,0,0,19,0,0,Matches
Eberechi Eze,eng ENG,MF,27-199,0.9,25,19,6,3,0,1,4,0,2,2,0,0,16,0,0,Matches
Christantus Uche,ng NGA,"MF,FW",22-240,1.3,48,47,1,0,0,0,4,0,0,0,0,0,25,0,1,Matches
Romain Esse,eng ENG,"FW,MF",20-246,0.5,22,22,0,0,0,0,2,0,0,0,0,0,13,0,2,Matches
Borna Sosa,hr CRO,DF,27-358,0.3,19,14,5,0,1,0,3,2,3,3,0,0,9,0,0,Matches
Joél Drakes-Thomas,eng ENG,MF,16-219,0.1,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Kaden Rodney,eng ENG,MF,21-099,0.0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Odsonne Édouard,fr FRA,FW,27-363,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.8,21.0,8676,7760,873,218,45,48,316,361,82,70,6,0,6498,43,172,
Opponent Total,,,27.0,21.0,11444,10434,977,238,32,47,414,425,108,75,24,0,9287,33,210,
