Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Virgil van Dijk,nl NED,DF,34-190,21.0,1689,1565,120,52,1,12,1,3,0,0,0,0,1518,4,3,Matches
Ibrahima Konaté,fr FRA,DF,26-234,19.8,1303,1259,39,22,3,2,2,4,0,0,0,0,1164,5,5,Matches
Dominik Szoboszlai,hu HUN,"MF,DF",25-081,19.9,1385,1196,181,47,3,8,106,86,45,8,34,0,1153,8,23,Matches
Ryan Gravenberch,nl NED,MF,23-243,18.7,1181,1163,17,11,4,3,2,4,0,0,0,0,1062,1,10,Matches
Milos Kerkez,hu HUN,DF,22-068,15.7,866,743,122,13,2,2,58,109,0,0,0,0,702,1,17,Matches
Alexis Mac Allister,ar ARG,MF,27-021,15.4,792,748,39,10,3,2,18,5,9,4,4,0,673,5,15,Matches
Alisson,br BRA,GK,33-104,16.0,568,499,68,33,0,1,0,0,0,0,0,0,459,1,0,Matches
Florian Wirtz,de GER,"MF,FW",22-256,15.6,878,828,44,6,3,2,23,15,17,7,5,0,724,6,14,Matches
Cody Gakpo,nl NED,FW,26-252,14.9,477,444,29,1,4,2,60,5,23,22,0,0,337,4,13,Matches
Hugo Ekitike,fr FRA,FW,23-208,12.6,261,254,7,0,1,0,7,0,0,0,0,0,189,0,11,Matches
Mohamed Salah,eg EGY,"FW,MF",33-213,13.1,470,439,27,5,11,2,47,13,8,8,0,0,328,4,17,Matches
Conor Bradley,nir NIR,DF,22-189,10.3,614,504,109,11,3,1,24,97,1,0,0,0,508,1,11,Matches
Curtis Jones,eng ENG,MF,24-349,10.8,890,856,32,10,8,3,6,11,2,0,0,0,816,2,4,Matches
Alexander Isak,se SWE,FW,26-115,5.6,71,66,4,0,1,1,2,2,0,0,0,0,46,1,6,Matches
Giorgi Mamardashvili,ge GEO,GK,25-107,5.0,201,167,34,9,0,0,0,0,0,0,0,0,156,0,0,Matches
Andrew Robertson,sct SCO,DF,31-309,5.4,379,338,38,9,2,3,26,26,3,3,0,0,307,3,1,Matches
Jeremie Frimpong,nl NED,"FW,DF",25-035,4.4,194,186,8,2,0,0,24,6,0,0,0,0,146,0,5,Matches
Joe Gomez,eng ENG,DF,28-236,2.8,155,128,26,0,0,0,10,26,0,0,0,0,113,1,5,Matches
Federico Chiesa,it ITA,"FW,MF",28-081,2.7,99,87,10,0,1,1,12,6,0,0,0,0,62,2,6,Matches
Rio Ngumoha,eng ENG,"FW,MF",17-138,0.6,35,34,1,0,0,0,2,1,0,0,0,0,30,0,0,Matches
Wataru Endo,jp JPN,"MF,DF",32-339,0.5,28,27,1,1,0,0,0,0,0,0,0,0,22,0,3,Matches
Trey Nyoni,eng ENG,FW,18-198,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,0.0,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Squad Total,,,27.0,21.0,12546,11541,956,242,50,45,430,419,108,52,43,0,10521,49,169,
Opponent Total,,,26.8,21.0,8131,7165,938,234,31,33,330,355,94,61,17,2,6092,28,179,
