Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Luke Shaw,eng ENG,DF,30-186,20.2,1236,1101,132,21,2,12,36,68,11,10,1,0,1036,3,18,Matches
Bruno Fernandes,pt POR,MF,31-128,17.1,1127,985,134,79,18,13,85,8,43,34,1,3,891,8,24,Matches
Casemiro,br BRA,MF,33-325,14.5,805,788,16,16,7,6,8,0,0,0,0,0,655,1,13,Matches
Diogo Dalot,pt POR,DF,26-302,15.6,771,609,161,5,2,3,37,156,0,0,0,0,593,1,22,Matches
Bryan Mbeumo,cm CMR,MF,26-160,15.6,555,478,73,11,12,4,62,5,22,18,0,1,409,4,24,Matches
Matheus Cunha,br BRA,"MF,FW",26-232,15.2,519,491,25,8,4,3,27,3,5,5,0,0,406,3,11,Matches
Senne Lammens,be BEL,GK,23-191,15.0,501,378,121,43,0,0,0,0,0,0,0,0,289,2,0,Matches
Amad Diallo,ci CIV,"DF,MF",23-187,13.4,589,524,64,3,3,3,28,52,8,6,0,0,498,1,11,Matches
Matthijs de Ligt,nl NED,DF,26-155,13.0,626,606,18,9,2,1,5,7,0,0,0,0,545,2,2,Matches
Patrick Dorgu,dk DEN,"DF,FW",21-080,12.9,537,469,68,2,1,3,53,66,0,0,0,0,384,0,23,Matches
Leny Yoro,fr FRA,DF,20-062,12.7,669,636,33,16,0,4,2,15,0,0,0,0,589,0,6,Matches
Benjamin Šeško,si SVN,FW,22-228,11.6,213,207,3,0,2,0,2,0,0,0,0,0,139,3,2,Matches
Mason Mount,eng ENG,MF,27-004,9.1,342,327,15,1,6,5,18,3,10,9,0,0,259,0,10,Matches
Ayden Heaven,eng ENG,DF,19-114,7.1,361,347,13,9,0,2,1,0,0,0,0,0,325,1,2,Matches
Manuel Ugarte,uy URU,MF,24-278,8.1,391,384,5,4,1,2,0,1,0,0,0,0,327,2,11,Matches
Altay Bayındır,tr TUR,GK,27-275,6.0,192,160,32,16,0,0,0,0,0,0,0,0,122,0,0,Matches
Noussair Mazraoui,ma MAR,DF,28-061,4.9,303,271,32,2,0,0,10,29,0,0,0,0,258,0,5,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-237,5.4,185,184,1,1,1,1,3,0,0,0,0,0,138,0,4,Matches
Lisandro Martínez,ar ARG,DF,27-361,5.1,368,349,18,8,0,2,1,2,0,0,0,0,325,1,2,Matches
Harry Maguire,eng ENG,DF,32-315,3.8,160,158,2,1,0,0,1,0,0,0,0,0,133,0,1,Matches
Kobbie Mainoo,eng ENG,MF,20-270,2.6,164,156,8,7,1,0,5,0,1,0,0,0,142,0,3,Matches
Jack Fletcher,eng ENG,"MF,FW",18-301,1.2,45,45,0,0,0,0,0,0,0,0,0,0,37,0,1,Matches
Bendito Mantato,eng ENG,FW,17-354,0.2,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
Shea Lacey,eng ENG,"FW,DF",18-275,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Tyler Fredricson,eng ENG,DF,20-325,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tyrell Malacia,nl NED,DF,26-150,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.3,21.0,10671,9665,974,262,62,64,385,415,100,82,2,4,8509,32,195,
Opponent Total,,,26.6,21.0,9193,8179,975,241,25,46,401,379,100,64,24,0,6988,39,195,
