Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21.0,858,623,234,120,0,8,0,0,0,0,0,0,545,1,0,Matches
James Tarkowski,eng ENG,DF,33-056,21.0,907,830,77,28,7,12,5,2,0,0,0,0,725,0,8,Matches
James Garner,eng ENG,"MF,DF",24-307,20.9,1108,930,176,42,4,4,105,50,53,39,6,1,888,2,28,Matches
Jake O'Brien,ie IRL,DF,24-244,19.6,855,671,183,1,2,1,36,182,0,0,0,0,593,1,36,Matches
Michael Keane,eng ENG,DF,33-003,18.6,696,682,12,8,1,8,1,1,0,0,0,0,593,2,2,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,17.9,833,680,148,9,2,2,50,139,0,0,0,0,598,5,17,Matches
Jack Grealish,eng ENG,FW,30-126,17.1,603,583,17,5,5,6,39,10,2,0,0,0,484,3,26,Matches
Iliman Ndiaye,sn SEN,FW,25-314,14.9,469,454,12,5,0,1,26,7,0,0,0,0,366,3,14,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,14.0,533,468,64,31,7,2,63,2,25,24,0,0,405,1,6,Matches
Thierno Barry,fr FRA,FW,23-085,12.3,196,196,0,0,2,0,1,0,0,0,0,0,117,0,3,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,11.7,526,517,6,1,2,3,8,1,0,0,0,0,450,3,7,Matches
Tim Iroegbunam,eng ENG,MF,22-198,10.3,316,316,0,0,1,3,2,0,0,0,0,0,256,0,3,Matches
Beto,gw GNB,FW,27-348,9.3,111,111,0,0,0,0,2,0,0,0,0,0,68,0,2,Matches
Carlos Alcaraz,ar ARG,"MF,FW",23-045,7.4,285,272,10,3,2,3,5,0,3,0,1,0,225,3,8,Matches
Dwight McNeil,eng ENG,"FW,MF",26-053,5.4,148,135,13,6,2,0,23,1,5,4,0,0,106,0,11,Matches
Tyler Dibling,eng ENG,FW,19-308,3.6,98,98,0,0,0,0,7,0,0,0,0,0,80,0,1,Matches
Merlin Röhl,de GER,MF,23-193,3.0,94,92,2,0,0,0,4,2,0,0,0,0,67,0,5,Matches
Harrison Armstrong,eng ENG,MF,18-360,1.1,39,39,0,0,1,0,0,0,0,0,0,0,32,0,2,Matches
Nathan Patterson,sct SCO,DF,24-090,0.9,31,24,7,0,0,0,1,7,0,0,0,0,18,0,0,Matches
Séamus Coleman,ie IRL,"DF,FW",37-095,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
Squad Total,,,28.0,21.0,8711,7726,961,259,38,53,379,404,88,67,7,1,6620,24,179,
Opponent Total,,,26.4,21.0,11551,10577,946,227,45,41,397,422,110,78,16,0,9503,28,184,
