Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21.0,1537,1395,140,55,6,14,98,7,57,30,19,0,1264,2,18,Matches
Nikola Milenković,rs SRB,DF,28-094,21.0,953,927,25,22,0,3,2,2,0,0,0,0,830,1,7,Matches
Neco Williams,wls WAL,DF,24-276,21.0,1084,883,195,14,0,5,80,178,3,3,0,0,837,6,32,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,19.8,793,763,27,8,6,3,20,5,1,0,0,0,634,3,25,Matches
Matz Sels,be BEL,GK,33-322,16.1,488,349,138,35,0,1,0,0,0,0,0,0,298,1,0,Matches
Murillo,br BRA,DF,23-194,14.2,717,672,45,28,2,9,2,2,0,0,0,0,599,0,3,Matches
Dan Ndoye,ch SUI,FW,25-081,11.1,274,268,4,1,1,2,33,1,2,1,0,0,198,2,12,Matches
Igor Jesus,br BRA,FW,24-323,12.8,226,220,3,2,0,1,8,0,0,0,0,0,158,3,12,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,12.4,464,446,16,2,1,3,58,7,7,3,1,0,364,2,13,Matches
Nicolò Savona,it ITA,DF,22-301,11.4,531,417,113,9,0,1,27,104,0,0,0,0,398,1,10,Matches
Ibrahim Sangaré,ci CIV,MF,28-043,9.6,469,451,16,13,1,1,6,3,0,0,0,0,407,2,8,Matches
Omari Hutchinson,eng ENG,FW,22-076,9.8,386,354,32,3,0,2,76,10,19,17,0,0,272,0,9,Matches
Morato,br BRA,DF,24-198,7.9,481,457,24,14,0,1,0,3,0,0,0,0,414,0,2,Matches
Nicolás Domínguez,ar ARG,"MF,FW",27-200,6.3,253,234,19,9,1,0,10,1,4,0,3,0,217,0,4,Matches
Chris Wood,nz NZL,FW,34-038,6.0,81,80,1,0,0,0,1,0,0,0,0,0,54,0,4,Matches
John,br BRA,GK,29-335,4.9,140,98,39,8,0,0,0,0,0,0,0,0,90,3,0,Matches
Ola Aina,ng NGA,DF,29-098,4.8,231,185,45,6,0,1,16,38,1,0,0,0,184,1,6,Matches
Douglas Luiz,br BRA,MF,27-250,3.5,239,212,27,15,0,1,15,0,9,6,2,0,208,0,2,Matches
Oleksandr Zinchenko,ua UKR,DF,29-030,3.9,310,261,49,9,2,0,18,38,2,1,0,0,268,0,7,Matches
Dilane Bakwa,fr FRA,FW,23-141,3.4,148,133,14,2,1,1,25,5,7,5,1,0,100,1,5,Matches
Ryan Yates,eng ENG,MF,28-054,3.4,147,136,11,3,0,1,2,0,0,0,0,0,123,0,1,Matches
Taiwo Awoniyi,ng NGA,FW,28-155,2.1,32,32,0,0,0,0,0,0,0,0,0,0,27,0,1,Matches
James Mcatee,eng ENG,"MF,FW",23-088,1.9,75,70,4,0,1,0,7,0,2,2,0,0,63,1,2,Matches
Jair Cunha,br BRA,DF,20-313,1.0,49,45,3,2,0,0,0,1,0,0,0,0,38,1,1,Matches
Arnaud Kalimuendo,fr FRA,FW,23-359,1.1,31,30,1,0,0,0,2,0,0,0,0,0,24,0,0,Matches
Zach Abbott,eng ENG,DF,19-246,0.5,26,18,8,1,0,0,0,7,0,0,0,0,17,0,0,Matches
Jota Silva,pt POR,FW,26-166,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
Squad Total,,,26.2,21.0,10168,9139,999,261,22,50,507,412,114,68,26,0,8088,30,184,
Opponent Total,,,26.6,21.0,10107,9171,912,248,29,53,354,365,93,60,16,0,8101,24,181,
