Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
João Gomes,br BRA,MF,24-336,17.7,889,850,37,16,1,5,21,11,0,0,0,0,757,2,19,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-269,15.4,815,787,27,15,1,9,10,7,0,0,0,0,687,1,6,Matches
André,br BRA,MF,24-182,15.8,731,679,49,26,0,4,36,2,18,10,7,0,641,3,7,Matches
Jørgen Strand Larsen,no NOR,FW,25-342,14.6,249,237,11,1,1,0,3,1,0,0,0,0,160,1,9,Matches
Jhon Arias,co COL,"FW,MF",28-115,11.6,412,375,37,5,0,2,29,3,16,12,2,0,354,0,11,Matches
Hugo Bueno,es ESP,"DF,MF",23-118,12.9,622,475,147,17,0,1,91,112,18,16,1,0,483,0,22,Matches
Sam Johnstone,eng ENG,GK,32-295,12.0,496,350,145,45,0,0,0,0,0,0,0,0,301,1,0,Matches
Toti Gomes,pt POR,DF,26-363,10.5,598,567,31,17,0,0,10,14,0,0,0,0,508,0,3,Matches
Santiago Bueno,uy URU,DF,27-066,11.4,473,458,14,10,1,0,3,4,0,0,0,0,416,1,1,Matches
Emmanuel Agbadou,ci CIV,DF,28-211,11.2,633,597,33,21,2,5,14,11,0,0,0,0,510,3,6,Matches
Hwang Hee-chan,kr KOR,"FW,MF",29-353,9.8,264,239,25,5,2,1,17,7,6,6,0,0,192,0,6,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-122,12.3,467,400,67,0,0,0,57,67,0,0,0,0,333,0,15,Matches
Yerson Mosquera,co COL,DF,24-257,9.6,360,317,43,6,0,1,9,37,0,0,0,0,282,0,8,Matches
Marshall Munetsi,zw ZIM,"MF,FW",29-206,9.7,184,182,1,0,0,0,14,0,0,0,0,0,110,1,10,Matches
José Sá,pt POR,GK,32-362,9.0,302,210,91,27,0,0,0,0,0,0,0,0,184,1,0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-201,7.7,265,240,22,8,3,2,18,0,5,5,0,0,199,3,8,Matches
David Møller Wolfe,no NOR,"DF,MF",23-266,7.9,268,213,54,2,0,0,24,50,2,2,0,0,185,1,16,Matches
Matt Doherty,ie IRL,DF,33-363,6.6,248,223,21,6,0,2,5,15,0,0,0,0,199,4,1,Matches
Tolu Arokodare,ng NGA,FW,25-052,7.5,141,141,0,0,0,0,0,0,0,0,0,0,80,0,5,Matches
Ki-Jana Hoever,nl NED,"DF,MF",23-361,4.7,209,175,33,1,0,4,22,32,0,0,0,0,140,1,7,Matches
Mateus Mane,pt POR,MF,18-120,5.0,108,104,3,0,1,0,15,1,0,0,0,0,75,1,5,Matches
Rodrigo Gomes,pt POR,"FW,DF",22-191,3.7,130,111,19,0,0,0,11,19,0,0,0,0,96,0,5,Matches
Fer López,es ESP,"MF,FW",21-235,2.6,109,100,8,1,4,0,4,1,3,1,1,0,77,1,2,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",22-095,0.3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Sasa Kalajdzic,at AUT,FW,28-191,0.2,6,5,0,0,0,0,0,0,0,0,0,0,4,1,0,Matches
Pedro Lima,br BRA,MF,19-197,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.7,21.0,8983,8039,918,229,16,36,413,394,68,52,11,0,6977,26,172,
Opponent Total,,,26.7,21.0,11061,10018,1009,310,68,55,438,407,131,94,10,2,9061,34,186,
