Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
David Raya,es ESP,GK,30-121,21.0,739,613,125,53,0,0,0,0,0,0,0,0,522,1,0,Matches
Martín Zubimendi,es ESP,MF,26-346,19.7,1283,1261,18,15,9,0,5,3,0,0,0,0,1139,4,9,Matches
Declan Rice,eng ENG,MF,27-000,18.8,1346,1178,166,67,7,13,101,35,52,39,7,0,1130,2,10,Matches
Jurriën Timber,nl NED,DF,24-211,18.2,889,774,113,15,8,1,31,97,1,0,0,0,745,2,12,Matches
Bukayo Saka,eng ENG,FW,24-131,15.8,581,527,53,2,2,0,80,11,40,34,0,0,426,1,17,Matches
William Saliba,fr FRA,DF,24-296,15.0,1182,1159,21,14,3,5,4,3,0,0,0,0,1100,2,5,Matches
Viktor Gyökeres,se SWE,FW,27-224,14.3,163,162,0,0,0,1,5,0,0,0,0,0,99,1,9,Matches
Riccardo Calafiori,it ITA,DF,23-240,13.9,692,564,127,9,0,0,20,118,0,0,0,0,558,1,21,Matches
Gabriel Magalhães,br BRA,DF,28-026,14.1,900,858,39,14,2,3,3,1,0,0,0,0,796,3,4,Matches
Leandro Trossard,be BEL,FW,31-041,12.6,464,454,8,0,6,6,38,4,4,4,0,0,332,2,25,Matches
Eberechi Eze,eng ENG,"MF,FW",27-199,10.3,331,316,14,2,7,1,6,1,1,1,0,0,279,1,3,Matches
Martin Ødegaard,no NOR,MF,27-028,9.7,569,536,27,10,15,0,16,3,3,2,0,0,472,6,7,Matches
Mikel Merino,es ESP,"MF,FW",29-206,10.4,337,334,2,1,11,0,4,1,0,0,0,0,252,1,9,Matches
Piero Hincapié,ec ECU,DF,24-005,9.9,570,530,39,5,1,1,8,30,0,0,0,0,506,1,5,Matches
Noni Madueke,eng ENG,FW,23-310,5.7,203,186,16,0,0,0,38,1,15,15,0,0,125,1,11,Matches
Gabriel Martinelli,br BRA,FW,24-210,5.7,128,120,7,3,0,1,14,2,2,1,0,0,85,1,9,Matches
Cristhian Mosquera,es ESP,DF,21-201,4.8,326,313,12,7,1,0,0,5,0,0,0,0,296,1,1,Matches
Ben White,eng ENG,DF,28-098,3.2,162,140,21,0,2,0,9,21,0,0,0,0,128,1,0,Matches
Myles Lewis-Skelly,eng ENG,DF,19-110,3.6,192,158,33,9,0,0,0,24,0,0,0,0,165,1,5,Matches
Ethan Nwaneri,eng ENG,MF,18-299,1.9,89,84,5,3,1,1,2,0,0,0,0,0,79,0,1,Matches
Gabriel Jesus,br BRA,FW,28-286,1.4,36,36,0,0,1,0,0,0,0,0,0,0,25,0,1,Matches
Christian Nørgaard,dk DEN,MF,31-310,0.4,18,17,1,0,0,0,0,1,0,0,0,0,16,0,0,Matches
Kai Havertz,de GER,FW,26-217,0.3,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Max Dowman,eng ENG,FW,16-014,0.3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Squad Total,,,26.5,21.0,11213,10333,847,229,76,33,384,361,118,96,7,0,9284,33,164,
Opponent Total,,,26.8,21.0,8166,7239,912,235,31,44,245,369,63,45,13,2,6318,15,143,
