Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Martin Dúbravka,sk SVK,GK,36-364,21.0,793,485,307,74,0,1,0,0,0,0,0,0,469,1,0,Matches
Kyle Walker,eng ENG,"DF,MF",35-231,19.8,1010,775,230,37,2,30,17,193,0,0,0,0,697,5,27,Matches
Maxime Estève,fr FRA,DF,23-233,17.1,695,683,11,9,0,7,3,2,0,0,0,0,618,1,3,Matches
Josh Cullen,ie IRL,MF,29-282,16.8,887,830,52,32,6,2,12,4,5,2,1,0,733,5,5,Matches
Quilindschy Hartman,nl NED,DF,24-061,14.9,675,538,133,20,0,6,65,92,21,20,0,0,464,4,34,Matches
Florentino Luís,pt POR,MF,26-148,14.6,666,655,6,2,3,4,8,0,0,0,0,0,561,5,11,Matches
Lesley Ugochukwu,fr FRA,MF,21-294,14.3,433,432,1,0,0,0,4,0,0,0,0,0,351,0,11,Matches
Jaidon Anthony,eng ENG,"MF,FW",26-044,14.0,418,364,52,1,3,0,28,10,13,10,1,1,297,2,16,Matches
Hjalmar Ekdal,se SWE,DF,27-085,12.9,476,469,7,7,1,2,1,0,0,0,0,0,402,0,6,Matches
Josh Laurent,eng ENG,"DF,MF",30-253,11.8,385,379,5,3,0,3,8,2,0,0,0,0,284,1,8,Matches
Lyle Foster,za RSA,FW,25-133,9.8,186,182,3,0,1,3,4,2,0,0,0,0,118,1,13,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-117,9.6,288,253,34,4,2,1,32,11,17,14,1,0,217,1,14,Matches
Loum Tchaouna,fr FRA,"MF,FW",22-128,8.4,212,208,4,0,1,2,12,0,1,0,0,0,146,0,7,Matches
Axel Tuanzebe,cd COD,DF,28-061,7.8,369,359,9,5,0,4,1,3,0,0,0,0,317,1,4,Matches
Zian Flemming,nl NED,FW,27-166,7.4,132,126,4,0,2,0,2,4,0,0,0,0,82,2,4,Matches
Armando Broja,al ALB,FW,24-126,7.1,106,104,2,0,0,0,2,1,0,0,0,0,68,0,3,Matches
Lucas,br BRA,"DF,MF",24-296,5.6,243,195,48,3,0,1,26,32,13,12,0,0,177,0,5,Matches
Hannibal Mejbri,tn TUN,MF,22-358,5.1,173,155,18,4,3,2,12,3,1,1,0,0,128,0,5,Matches
Marcus Edwards,eng ENG,"FW,MF",27-042,4.5,155,149,6,1,2,0,12,1,4,1,0,0,126,0,3,Matches
Bashir Humphreys,eng ENG,DF,22-305,3.9,209,201,7,4,0,0,5,3,0,0,0,0,172,1,2,Matches
Oliver Sonne,pe PER,"DF,FW",25-065,1.9,76,64,12,0,0,0,5,12,0,0,0,0,49,0,3,Matches
Joe Worrall,eng ENG,DF,29-004,1.7,45,41,2,1,0,0,0,1,0,0,0,0,30,2,0,Matches
Mike Trésor,be BEL,"MF,FW",26-231,0.3,17,14,3,0,0,0,2,0,2,2,0,0,12,0,0,Matches
Ashley Barnes,eng ENG,FW,36-076,0.1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Jaydon Amauri Banel,nl NED,MF,21-087,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Squad Total,,,27.8,21.0,8658,7670,956,207,26,68,261,376,77,62,3,1,6523,32,184,
Opponent Total,,,26.6,21.0,12060,11133,890,231,42,45,492,371,125,82,20,2,9947,37,195,
