Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Jarrod Bowen,eng ENG,"FW,MF",29-025,21.0,496,449,43,0,4,4,63,3,14,14,0,0,338,4,30,Matches
Lucas Paquetá,br BRA,"MF,FW",28-140,16.8,846,779,59,28,10,6,35,15,11,6,5,0,628,8,22,Matches
Mateus Fernandes,pt POR,"MF,FW",21-188,16.6,750,685,61,24,7,6,31,1,10,6,4,0,646,4,9,Matches
Max Kilman,eng ENG,DF,28-236,17.0,682,651,30,14,0,2,3,0,0,0,0,0,599,1,1,Matches
Alphonse Areola,fr FRA,GK,32-321,17.0,535,322,212,61,0,0,0,0,0,0,0,0,290,1,0,Matches
El Hadji Malick Diouf,sn SEN,DF,21-017,15.4,647,516,128,6,3,3,56,115,7,6,1,0,463,3,19,Matches
Jean-Clair Todibo,fr FRA,DF,26-015,13.9,563,549,13,12,0,0,2,1,0,0,0,0,486,1,2,Matches
Crysencio Summerville,nl NED,"FW,MF",24-076,12.7,334,314,16,5,3,0,18,2,6,4,0,0,272,4,10,Matches
Konstantinos Mavropanos,gr GRE,DF,28-034,12.1,570,552,18,16,0,13,1,2,0,0,0,0,487,0,0,Matches
Aaron Wan-Bissaka,cd COD,DF,28-049,11.2,505,394,110,3,1,1,20,107,0,0,0,0,391,1,13,Matches
Freddie Potts,eng ENG,MF,22-124,10.8,501,440,57,28,0,2,34,3,25,15,8,0,388,4,7,Matches
Kyle Walker-Peters,eng ENG,DF,28-276,10.6,526,442,83,6,1,0,9,77,0,0,0,0,448,1,9,Matches
Soungoutou Magassa,fr FRA,MF,22-098,8.2,316,306,9,5,0,7,6,4,0,0,0,0,251,1,10,Matches
Callum Wilson,eng ENG,FW,33-321,9.0,97,94,1,0,0,0,3,1,0,0,0,0,57,2,8,Matches
Tomáš Souček,cz CZE,"MF,FW",30-321,8.1,307,300,6,6,0,2,6,0,0,0,0,0,217,1,9,Matches
Oliver Scarles,eng ENG,DF,20-033,5.2,268,206,60,6,1,0,24,41,13,13,0,0,196,2,5,Matches
James Ward-Prowse,eng ENG,MF,31-074,4.6,218,190,28,11,0,2,23,2,14,8,5,0,185,0,3,Matches
Niclas Füllkrug,de GER,FW,32-339,4.5,94,93,1,0,0,1,0,1,0,0,0,0,58,0,5,Matches
Mads Hermansen,dk DEN,GK,25-187,4.0,157,130,27,11,0,0,0,0,0,0,0,0,104,0,0,Matches
Nayef Aguerd,ma MAR,DF,29-290,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1,Matches
Guido Rodríguez,ar ARG,MF,31-277,1.9,75,73,2,2,0,1,2,0,0,0,0,0,66,0,3,Matches
Andy Irving,sct SCO,MF,25-246,1.8,106,87,19,5,0,1,12,2,12,6,2,0,87,0,1,Matches
Luis Guilherme,br BRA,"FW,MF",19-339,1.4,30,30,0,0,0,0,0,0,0,0,0,0,27,0,0,Matches
Igor,br BRA,DF,27-341,1.2,22,21,1,1,0,0,0,0,0,0,0,0,16,0,0,Matches
Valentín Castellanos,ar ARG,FW,27-103,1.0,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Ezra Mayers,bb BRB,DF,18-363,1.3,83,79,4,0,0,0,3,4,0,0,0,0,68,0,2,Matches
Callum Marshall,nir NIR,FW,21-047,0.7,4,3,1,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Pablo,br BRA,MF,22-012,0.3,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
Mohamadou Kanté,fr FRA,"FW,MF",20-116,0.2,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
George Earthy,eng ENG,FW,21-131,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Squad Total,,,27.0,21.0,8884,7850,996,252,30,54,353,383,112,78,25,0,6903,38,170,
Opponent Total,,,26.7,21.0,11579,10588,965,251,31,52,493,411,130,92,17,1,9550,26,188,
