Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Muric,KVX,GK,26-188,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2,Matches
Palmer,ENG,GK,28-277,12.0,28,1,0,9,2,24.3,0.36,-1.7,-0.14,70,184,38.0,303,49,39.3,34.9,91,71.4,52.1,244,19,7.8,12,1.0,11.4,Matches
Walton,ENG,GK,29-186,6.0,16,2,0,0,0,15.0,0.41,-1.0,-0.17,38,108,35.2,176,27,45.5,35.2,50,56.0,43.8,105,11,10.5,1,0.17,7.6,Matches
Total,,,26.6,36.0,77,6,0,11,2,70.7,0.33,-4.3,-0.12,184,521,35.3,947,170,37.7,,301,54.5,41.7,598,69,11.5,33,0.92,,
Total,,,27.0,36.0,35,2,0,4,1,34.7,0.29,0.7,0.02,95,398,23.9,1091,106,28.6,31.4,187,46.0,37.8,355,33,9.3,45,1.25,15.3,
