Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Sá,POR,GK,32-117,28.0,47,5,1,6,2,40.9,0.34,-4.1,-0.15,90,366,24.6,736,111,39.1,35.2,148,52.7,41.5,422,30,7.1,43,1.54,15.7,Matches
Johnstone,ENG,GK,32-050,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4,Matches
Bentley,ENG,GK,31-305,1.0,0,0,0,0,0,0.1,0.04,0.1,0.09,4,16,25.0,24,0,41.7,33.3,10,60.0,46.3,22,0,0.0,0,0.0,7.7,Matches
Total,,,27.7,36.0,64,7,1,11,3,54.0,0.32,-7.0,-0.2,146,511,28.6,961,139,42.6,,234,43.6,36.3,548,38,6.9,54,1.5,,
Total,,,27.0,36.0,51,0,1,3,1,42.5,0.29,-7.5,-0.21,132,393,33.6,1027,166,30.8,32.8,246,31.3,29.4,399,26,6.5,51,1.42,15.4,
