Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Martínez,ARG,GK,32-254,34.0,45,1,1,2,0,44.9,0.32,-0.1,0.0,158,409,38.6,1155,126,26.7,30.6,170,59.4,46.4,484,53,11.0,33,0.97,13.8,Matches
Olsen,SWE,GK,35-126,2.0,4,0,0,0,0,4.2,0.47,0.2,0.1,10,31,32.3,64,1,34.4,32.3,12,75.0,56.1,32,3,9.4,0,0.0,8.6,Matches
Total,,,27.8,36.0,49,1,1,2,0,49.1,0.33,0.1,0.0,168,440,38.2,1120,127,29.4,30.6,281,39.5,33.8,516,56,10.9,33,0.92,13.8,
Total,,,27.2,36.0,56,3,0,8,2,55.4,0.33,1.4,0.04,142,354,40.1,840,154,30.4,32.3,245,40.4,33.3,437,35,8.0,42,1.17,13.2,
