Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Onana,CMR,GK,29-042,33.0,43,3,1,10,1,43.2,0.31,1.2,0.04,109,414,26.3,1114,132,28.8,29.9,140,66.4,47.5,391,21,5.4,22,0.67,11.7
Bayındır,TUR,GK,27-030,3.0,10,0,0,0,1,10.0,0.63,1.0,0.34,10,52,19.2,111,10,36.0,35.0,18,66.7,48.7,48,4,8.3,7,2.33,12.7
