player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Mateus Fernandes,POR,MF,20,32.3,1361,1184,175,61,9,10,113,10,54,39,14,0,1087,2,36
Kyle Walker-Peters,ENG,DF,27,32.4,1693,1500,190,36,5,2,51,144,3,0,0,0,1493,3,33
Taylor Harwood-Bellis,ENG,DF,22,31.4,2164,2080,81,51,3,9,10,27,0,0,0,0,1892,3,11
Aaron Ramsdale,ENG,GK,26,30.0,1223,918,298,108,0,4,0,0,0,0,0,0,774,7,1
Jan Bednarek,POL,DF,28,28.1,1687,1606,79,33,0,7,1,1,0,0,0,0,1564,2,4
Flynn Downes,ENG,MF,25,23.9,1109,1079,29,29,7,1,4,0,0,0,0,0,1003,1,13
Joe Aribo,NGA,"MF,DF",28,22.4,1046,1032,13,4,2,1,10,4,0,0,0,0,929,1,15
Tyler Dibling,ENG,"FW,MF",18,20.8,620,585,32,4,8,3,28,3,11,8,0,0,504,3,17
Lesley Ugochukwu,FRA,MF,20,18.4,706,697,9,9,2,0,6,0,0,0,0,0,600,0,11
Ryan Manning,IRL,"DF,MF",28,16.2,803,634,162,38,1,3,84,92,32,24,5,0,619,7,21
Kamaldeen Sulemana,GHA,"FW,MF",22,15.6,357,354,2,0,0,2,26,2,0,0,0,0,285,1,9
Jack Stephens,ENG,DF,30,15.4,955,912,42,19,0,2,1,15,0,0,0,0,879,1,4
Yukinari Sugawara,JPN,"DF,MF",24,17.3,891,765,124,17,1,7,70,97,10,4,6,0,713,2,22
Adam Armstrong,ENG,"FW,MF",27,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12
Cameron Archer,ENG,FW,23,16.0,251,231,19,0,2,0,3,0,0,0,0,0,205,1,8
James Bree,ENG,DF,26,11.9,599,549,49,9,0,0,29,36,3,2,0,0,500,1,9
Paul Onuachu,NGA,FW,30,11.7,263,261,0,0,0,4,0,0,0,0,0,0,160,2,8
Nathan Wood-Gordon,ENG,DF,22,8.6,476,465,10,4,0,0,3,1,0,0,0,0,444,1,1
William Smallbone,IRL,MF,24,7.7,356,294,60,12,1,2,36,4,25,15,7,0,270,2,8
Welington,BRA,DF,23,5.4,186,147,39,5,0,1,17,28,6,5,0,0,145,0,8
Alex McCarthy,ENG,GK,34,5.0,156,126,29,6,0,1,0,0,0,0,0,0,117,1,1
Adam Lallana,ENG,MF,36,4.0,260,255,4,3,1,0,4,0,0,0,0,0,221,1,3
Ben Brereton,CHI,FW,25,5.0,166,163,2,1,1,0,5,1,0,0,0,0,128,1,3
Ross Stewart,SCO,FW,28,4.3,95,94,1,1,0,0,0,0,0,0,0,0,67,0,3
Ryan Fraser,SCO,"FW,DF",30,3.4,103,97,5,0,0,0,12,3,2,2,0,0,77,1,2
Charlie Taylor,ENG,DF,30,4.0,223,192,30,7,0,0,9,21,2,1,1,0,196,1,3
Joe Lumley,ENG,GK,29,3.0,151,128,22,7,0,0,0,0,0,0,0,0,106,1,0
Armel Bella Kotchap,GER,DF,22,3.7,224,219,4,4,0,0,0,0,0,0,0,0,202,1,1
Albert Grønbaek,DEN,"FW,MF",23,1.6,18,18,0,0,0,0,1,0,0,0,0,0,13,0,1
Jay Robinson,ENG,"MF,FW",17,1.5,34,34,0,0,0,0,1,0,0,0,0,0,23,0,2
Maxwel Cornet,CIV,FW,27,0.8,22,20,2,0,0,0,3,0,2,2,0,0,17,0,0
Samuel Edozie,ENG,"DF,FW",21,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2
Samuel Amo-Ameyaw,ENG,"FW,DF",18,0.3,9,8,1,0,0,0,2,0,1,0,0,0,8,0,0
Joachim Kayi Sanda,FRA,DF,17,0.2,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0
Ronnie Edwards,ENG,DF,21,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Carlos Alcaraz,ARG,MF,21,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0
Squad Total,,,25,38.0,18561,16979,1533,468,43,60,548,493,152,102,33,0,15530,49,272
Opponent Total,,,26,38.0,19683,18108,1526,474,73,70,758,570,242,151,40,4,16575,49,287
